LHLLLLLHLHLLLLLHHHLHHLHLLHHLLLLLHHHLLHLHHHHHLHHLHLLHLLLHHLHHHLLH
W_LIST: 6.15378e-05 -1.53669e-05 9.21873e-05 4.11492e-05 8.9603e-05 5.75184e-06 8.20159e-06 -9.76376e-05 -6.90068e-05 6.58873e-05 5.38281e-05 -1.47237e-05 -1.51341e-05 -6.59313e-05 -3.28008e-05 2.60515e-05 -7.34101e-06 -1.05662e-05 3.06414e-05 9.00824e-05 7.56399e-05 2.64994e-05 -4.75011e-05 -3.18981e-05 -6.21988e-06 9.38857e-05 -9.32397e-05 -8.12905e-05 1.92728e-05 -4.46298e-05 7.78086e-05 -3.33959e-05 -3.49208e-05 -9.54748e-05 -9.21873e-05 -6.36858e-05 -8.77875e-05 -8.71709e-05 5.07191e-05 -2.20272e-05 3.90352e-05 4.60232e-05 -4.98987e-07 -7.5304e-05 7.16701e-05 -5.5383e-05 7.22676e-05 1.03785e-05 4.669e-05 -6.81681e-05 -8.19707e-05 7.22289e-05 -9.44222e-05 -1.40988e-05 -6.56374e-05 -3.58744e-05 -7.49862e-05 -6.46947e-06 -2.30892e-05 -8.51193e-05 -7.21299e-05 -1.25459e-05 8.46057e-05 -2.0242e-05 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 0	2	4	0
SITE: 0	3	5	1
SITE: 0	0	6	0
SITE: 4	5	7	0
SITE: 4	4	8	1
SITE: 6	7	9	1
SITE: 6	6	10	1
SITE: 8	8	11	0
SITE: 9	11	12	1
SITE: 9	10	13	0
SITE: 9	13	14	1
SITE: 9	14	15	0
SITE: 9	12	16	0
SITE: 9	15	17	0
SITE: 9	9	18	0
SITE: 16	17	19	0
SITE: 16	18	20	1
SITE: 16	16	21	1
SITE: 19	19	22	1
SITE: 20	21	23	0
SITE: 20	20	24	0
SITE: 22	23	25	1
SITE: 22	22	26	1
SITE: 24	25	27	1
SITE: 24	26	28	1
SITE: 24	27	29	0
SITE: 24	24	30	1
SITE: 28	28	31	0
SITE: 29	29	32	1
SITE: 30	30	33	0
SITE: 31	31	34	1
SITE: 32	33	35	0
SITE: 32	32	36	1
SITE: 34	35	37	0
SITE: 34	36	38	1
SITE: 34	37	39	1
SITE: 34	34	40	0
SITE: 38	40	41	1
SITE: 38	38	42	0
SITE: 39	39	43	1
SITE: 41	41	44	1
SITE: 42	42	45	1
SITE: 43	43	46	0
SITE: 44	44	47	0
SITE: 45	45	48	0
SITE: 46	47	49	1
SITE: 46	49	50	0
SITE: 46	48	51	0
SITE: 46	46	52	1
SITE: 50	51	53	0
SITE: 50	53	54	1
SITE: 50	50	55	0
SITE: 52	52	56	1
SITE: 54	54	57	0
SITE: 55	55	58	0
SITE: 56	58	59	0
SITE: 56	57	60	1
SITE: 56	56	61	0
SITE: 59	59	62	1
SITE: 60	60	63	0
SITE: 61	63	63	1
WARN: Unitary gate is identity
SITE: 61	61	61	1
WARN: Unitary gate is identity
SITE: 62	62	62	0
MPS Info: -2.34687 3.37622 0.939187 
Writing MPS done!
