HHHHLHLLHHLLLHLHLLLLHHHHHLLLLHLHHLLHLLHLLHHLHHLLHHHHLLHLHHLLLLLL
W_LIST: 7.93675e-05 -7.55166e-05 -4.45588e-05 9.45389e-05 5.66233e-06 -3.15778e-05 -4.74756e-05 9.49843e-05 1.64717e-05 7.12652e-05 -2.06059e-05 -1.84029e-05 -5.61872e-05 -2.65854e-05 8.31899e-05 -5.10536e-06 3.88877e-05 -2.46676e-05 7.51186e-05 6.62972e-05 -1.69304e-05 -4.62519e-05 -3.92845e-05 1.7161e-07 7.02153e-05 -3.86789e-05 7.79078e-05 -4.7704e-05 -4.63801e-05 -1.36871e-06 9.0203e-05 1.40304e-05 9.80009e-05 8.9755e-05 3.25178e-05 8.19842e-05 8.02196e-05 4.13132e-05 1.36063e-05 -3.02711e-05 -5.79841e-05 1.97657e-05 -5.82519e-05 -9.88862e-05 -8.61432e-05 -5.71455e-05 -4.07062e-05 -8.60005e-05 1.06346e-06 4.84845e-05 -5.31312e-05 9.87302e-05 -4.82908e-05 7.79612e-05 8.94745e-05 -2.57241e-06 1.03437e-05 9.03885e-05 8.44278e-05 9.81915e-05 2.42559e-06 1.11629e-05 -8.49809e-05 -2.74436e-05 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 0	2	4	1
SITE: 0	0	5	1
SITE: 3	5	6	1
SITE: 3	4	7	0
SITE: 3	3	8	1
SITE: 6	6	9	0
SITE: 7	7	10	1
SITE: 8	9	11	1
SITE: 8	8	12	1
SITE: 10	12	13	0
SITE: 10	10	14	1
SITE: 11	11	15	1
SITE: 13	13	16	1
SITE: 14	15	17	1
SITE: 14	16	18	0
SITE: 14	14	19	1
SITE: 17	17	20	0
SITE: 18	18	21	1
SITE: 19	19	22	0
SITE: 20	20	23	0
SITE: 21	22	24	0
SITE: 21	24	25	0
SITE: 21	23	26	0
SITE: 21	26	27	1
SITE: 21	21	28	1
SITE: 25	27	29	0
SITE: 25	25	30	1
SITE: 28	28	31	1
SITE: 29	29	32	1
SITE: 30	31	33	1
SITE: 30	32	34	1
SITE: 30	30	35	1
SITE: 33	35	36	1
SITE: 33	34	37	0
SITE: 33	33	38	0
SITE: 36	36	39	1
SITE: 37	37	40	0
SITE: 38	38	41	0
SITE: 39	39	42	1
SITE: 40	40	43	0
SITE: 41	41	44	0
SITE: 42	42	45	1
SITE: 43	43	46	1
SITE: 44	45	47	1
SITE: 44	46	48	0
SITE: 44	44	49	0
SITE: 47	48	50	0
SITE: 47	49	51	0
SITE: 47	47	52	0
SITE: 50	50	53	0
SITE: 51	52	54	1
SITE: 51	54	55	1
SITE: 51	51	56	1
SITE: 53	55	57	0
SITE: 53	53	58	1
SITE: 56	56	59	0
SITE: 57	58	60	0
SITE: 57	59	61	1
SITE: 57	60	62	0
SITE: 57	62	63	1
WARN: Unitary gate is identity
SITE: 61	61	61	0
WARN: Unitary gate is identity
SITE: 63	63	63	0
WARN: Unitary gate is identity
SITE: 57	57	57	0
MPS Info: -2.09626 3.15738 1.12578 
Writing MPS done!
