HHLLHLHHHHLHHLLHLLHLHHHLHHHHLHLLHLHLHHHLLLHLHLLHHLLHHLHLHHHHLLLH
W_LIST: 1.80567e-05 5.09635e-05 -2.42299e-05 -9.67092e-05 9.267e-05 -1.15035e-05 2.64107e-05 5.90375e-05 6.4987e-06 6.27029e-05 -3.85407e-05 6.72644e-05 6.04442e-05 -9.41627e-06 6.47131e-05 6.12989e-05 4.45148e-05 -9.00275e-06 7.27087e-05 -2.40818e-05 -1.36884e-05 3.83657e-05 -5.75172e-05 -3.31071e-05 7.08416e-05 9.98383e-05 -7.28642e-05 -7.30481e-05 -7.50287e-05 -5.52184e-05 -9.34794e-05 -9.25472e-05 6.91219e-06 5.78553e-05 -2.94291e-05 2.55493e-05 4.44408e-05 3.55608e-05 5.92298e-05 1.34042e-05 -7.48652e-05 1.03516e-06 2.56377e-05 -5.09948e-05 -4.22799e-05 3.29945e-05 8.17801e-06 9.73977e-05 -4.30086e-06 -2.78853e-05 7.21806e-05 -1.33419e-05 -5.72517e-05 4.17692e-05 -8.64766e-05 4.46866e-05 4.39422e-05 9.99266e-05 4.07163e-06 -6.9091e-05 -9.23138e-05 2.51449e-05 -9.71642e-05 -8.8768e-05 
st	op	ed	phy
SITE: 0	1	3	0
SITE: 0	0	4	0
SITE: 2	3	5	0
SITE: 2	2	6	1
SITE: 4	4	7	0
SITE: 5	5	8	0
SITE: 6	7	9	0
SITE: 6	8	10	0
SITE: 6	9	11	0
SITE: 6	10	12	1
SITE: 6	6	13	0
SITE: 11	12	14	1
SITE: 11	11	15	0
SITE: 13	13	16	1
SITE: 14	14	17	0
SITE: 15	16	18	1
SITE: 15	15	19	1
SITE: 17	17	20	1
SITE: 18	18	21	1
SITE: 19	20	22	1
SITE: 19	21	23	1
SITE: 19	19	24	1
SITE: 22	23	25	0
SITE: 22	25	26	0
SITE: 22	26	27	0
SITE: 22	24	28	0
SITE: 22	28	29	1
SITE: 22	27	30	1
SITE: 22	29	31	1
SITE: 22	31	32	0
SITE: 22	30	33	1
SITE: 22	32	34	1
SITE: 22	34	35	1
SITE: 22	35	36	0
SITE: 22	33	37	1
SITE: 22	36	38	0
SITE: 22	37	39	0
SITE: 22	22	40	1
SITE: 38	38	41	0
SITE: 39	39	42	1
SITE: 40	40	43	0
SITE: 41	41	44	1
SITE: 42	42	45	1
SITE: 43	44	46	1
SITE: 43	45	47	0
SITE: 43	43	48	1
SITE: 46	47	49	1
SITE: 46	49	50	0
SITE: 46	46	51	1
SITE: 48	50	52	0
SITE: 48	48	53	0
SITE: 51	52	54	0
SITE: 51	54	55	0
SITE: 51	53	56	1
SITE: 51	51	57	0
SITE: 55	55	58	1
SITE: 56	57	59	1
SITE: 56	58	60	1
SITE: 56	56	61	0
SITE: 59	59	62	1
SITE: 60	61	63	1
SITE: 60	60	63	0
SITE: 62	63	63	1
SITE: 62	62	62	1
MPS Info: 2.58886 3.3542 1.76438 
Writing MPS done!
