HHHLHHHHLHLHLLLLHHLLLLLHLHLLLLLLHHLLHLHLLHLHHLHHLLHLHLLHHLHHHHHL
W_LIST: 0.31168 -0.145718 -0.0164916 0.0534703 -0.144148 0.0274661 0.178231 -0.188386 -0.121762 0.27285 0.230914 0.222334 0.181404 -0.163276 0.135824 -0.0890264 -0.11643 -0.150328 0.258495 -0.263552 -0.0701354 -0.0849488 -0.0494146 -0.0730075 0.228955 -0.0771164 -0.179508 0.174091 -0.0270008 -0.207578 0.225873 0.075242 0.284193 0.21655 -0.060125 -0.141138 -0.237849 -0.278356 0.284157 -0.0720664 0.10293 -0.292359 0.0986543 -0.317047 -0.257271 0.294804 0.310579 0.00924593 0.247112 0.0560259 0.153295 -0.0610728 0.100068 -0.243483 0.189451 -0.216429 0.326301 0.256315 0.192179 -0.0399247 -0.0151421 0.195317 0.213169 -0.0407368 
st	op	ed	phy
SITE: 0	0	3	0
SITE: 1	1	4	0
SITE: 2	3	5	0
SITE: 2	2	6	0
SITE: 4	5	7	0
SITE: 4	6	8	0
SITE: 4	7	9	1
SITE: 4	8	10	0
SITE: 4	4	11	0
SITE: 9	9	12	0
SITE: 10	11	13	0
SITE: 10	12	14	1
SITE: 10	13	15	0
SITE: 10	14	16	1
SITE: 10	15	17	0
SITE: 10	16	18	0
SITE: 10	18	19	1
SITE: 10	19	20	0
SITE: 10	20	21	1
SITE: 10	21	22	0
SITE: 10	22	23	1
SITE: 10	23	24	1
SITE: 10	17	25	1
SITE: 10	25	26	1
SITE: 10	26	27	0
SITE: 10	27	28	1
SITE: 10	28	29	0
SITE: 10	29	30	1
SITE: 10	10	31	1
SITE: 24	24	32	1
SITE: 30	30	33	0
SITE: 31	32	34	0
SITE: 31	33	35	0
SITE: 31	34	36	1
SITE: 31	35	37	0
SITE: 31	37	38	0
SITE: 31	38	39	0
SITE: 31	36	40	0
SITE: 31	40	41	1
SITE: 31	39	42	0
SITE: 31	31	43	1
SITE: 41	42	44	1
SITE: 41	43	45	1
SITE: 41	41	46	1
SITE: 44	46	47	0
SITE: 44	44	48	1
SITE: 45	48	49	1
SITE: 45	45	50	0
SITE: 47	50	51	0
SITE: 47	47	52	0
SITE: 49	52	53	0
SITE: 49	53	54	0
SITE: 49	54	55	1
SITE: 49	55	56	1
SITE: 49	49	57	0
SITE: 51	57	58	1
SITE: 51	56	59	1
SITE: 51	51	60	0
SITE: 58	58	61	0
SITE: 59	59	62	1
SITE: 60	61	63	0
WARN: Unitary gate is identity
SITE: 62	62	62	0
WARN: Unitary gate is identity
SITE: 63	63	63	1
WARN: Unitary gate is identity
SITE: 60	60	60	1
MPS Info: -0.0690286 2.96313 0.898251 
Writing MPS done!
