HHHLHHLHLLLLHLLHHLHLLLHHHLLHHHHHHHHLHHLHHLLHHLLHHHHHLHLHHLLLHHHH
W_LIST: 0.103541 -0.257686 0.043113 -0.00719107 -0.0386423 -0.244365 0.0172648 0.021464 0.124515 0.142079 0.239806 0.0452839 -0.123586 -0.066485 0.169162 0.230328 -0.194707 0.102982 0.0799093 -0.0580632 0.278142 -0.0479169 -0.317202 0.041884 -0.0150145 0.208775 -0.0944848 -0.271287 -0.188507 0.258844 -0.259637 -0.168089 -0.0368193 -0.155784 0.0306494 -0.0467903 0.0554484 -0.118285 -0.31114 -0.128347 0.200262 0.207048 0.0765821 -0.267059 0.182508 0.170468 0.0086638 0.108154 0.326871 -0.0170088 -0.26776 -0.307879 -0.170449 0.294984 -0.00497356 0.297494 -0.171788 0.0625855 0.0966711 -0.21298 -0.191736 0.30164 -0.0480138 -0.166453 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 0	2	4	1
SITE: 0	4	5	1
SITE: 0	3	6	0
SITE: 0	0	7	1
SITE: 5	5	8	1
SITE: 6	7	9	0
SITE: 6	9	10	1
SITE: 6	6	11	0
SITE: 8	10	12	1
SITE: 8	8	13	0
SITE: 11	11	14	0
SITE: 12	14	15	1
SITE: 12	13	16	0
SITE: 12	16	17	1
SITE: 12	12	18	0
SITE: 15	15	19	0
SITE: 17	17	20	0
SITE: 18	20	21	1
SITE: 18	21	22	0
SITE: 18	19	23	1
SITE: 18	22	24	0
SITE: 18	18	25	1
SITE: 23	25	26	1
SITE: 23	24	27	1
SITE: 23	26	28	0
SITE: 23	23	29	0
SITE: 27	27	30	1
SITE: 28	29	31	0
SITE: 28	31	32	1
SITE: 28	28	33	0
SITE: 30	30	34	0
SITE: 32	33	35	1
SITE: 32	34	36	1
SITE: 32	32	37	0
SITE: 35	36	38	0
SITE: 35	35	39	0
SITE: 37	39	40	0
SITE: 37	40	41	0
SITE: 37	41	42	1
SITE: 37	37	43	0
SITE: 38	43	44	1
SITE: 38	42	45	0
SITE: 38	44	46	0
SITE: 38	38	47	1
SITE: 45	45	48	1
SITE: 46	46	49	0
SITE: 47	48	50	0
SITE: 47	50	51	1
SITE: 47	51	52	1
SITE: 47	52	53	0
SITE: 47	53	54	0
SITE: 47	47	55	0
SITE: 49	55	56	0
SITE: 49	54	57	1
SITE: 49	57	58	1
SITE: 49	56	59	1
SITE: 49	59	60	0
SITE: 49	60	61	0
SITE: 49	61	62	0
SITE: 49	62	63	0
WARN: Unitary gate is identity
SITE: 49	49	49	0
WARN: Unitary gate is identity
SITE: 58	58	58	0
WARN: Unitary gate is identity
SITE: 63	63	63	0
MPS Info: 4.51445 2.47915 0.978648 
Writing MPS done!
