HHHHLLLHHHHHLLHLHHLLHLLLHLHHHLHLLLHHLLHHHHLLHLHHLHHLHHLHLLHHLLLL
W_LIST: -0.136924 -0.205083 -0.00539188 -0.200717 0.114556 -0.29364 0.0757709 -0.252275 -0.290653 0.281178 -0.254447 0.304427 -0.0457764 -0.0145484 0.0582692 0.3212 0.262315 -0.179632 -0.257381 -0.22146 0.287949 -0.0119486 -0.0423559 0.216216 -0.17812 0.297789 -0.00057005 0.0370477 -0.275169 0.315949 0.284724 -0.105487 -0.257363 -0.307281 0.06326 0.277494 0.277218 -0.080686 -0.228129 -0.271229 0.204197 0.0403879 0.0003482 0.0978126 -0.289805 0.168142 -0.00846153 0.112933 -0.129356 0.136973 0.166308 0.123102 0.0224445 0.0205034 0.0677743 -0.0545473 0.204848 -0.073562 0.238594 0.16099 -0.0933223 0.0689359 -0.139868 0.088041 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 0	2	4	1
SITE: 0	3	5	1
SITE: 0	5	6	0
SITE: 0	4	7	1
SITE: 0	7	8	1
SITE: 0	8	9	1
SITE: 0	9	10	0
SITE: 0	10	11	1
SITE: 0	11	12	0
SITE: 0	0	13	0
SITE: 6	13	14	1
SITE: 6	12	15	0
SITE: 6	15	16	1
SITE: 6	14	17	1
SITE: 6	6	18	1
SITE: 16	18	19	0
SITE: 16	16	20	0
SITE: 17	20	21	0
SITE: 17	17	22	1
SITE: 19	21	23	1
SITE: 19	22	24	0
SITE: 19	24	25	1
SITE: 19	23	26	1
SITE: 19	26	27	1
SITE: 19	25	28	1
SITE: 19	28	29	1
SITE: 19	27	30	1
SITE: 19	30	31	0
SITE: 19	31	32	1
SITE: 19	29	33	0
SITE: 19	32	34	0
SITE: 19	34	35	0
SITE: 19	35	36	0
SITE: 19	36	37	1
SITE: 19	37	38	0
SITE: 19	38	39	0
SITE: 19	19	40	0
SITE: 33	40	41	0
SITE: 33	33	42	1
SITE: 39	41	43	0
SITE: 39	39	44	0
SITE: 42	44	45	1
SITE: 42	43	46	0
SITE: 42	42	47	1
SITE: 45	45	48	1
SITE: 46	48	49	0
SITE: 46	47	50	0
SITE: 46	49	51	0
SITE: 46	50	52	0
SITE: 46	46	53	1
SITE: 51	53	54	0
SITE: 51	51	55	1
SITE: 52	55	56	1
SITE: 52	52	57	0
SITE: 54	54	58	1
SITE: 56	57	59	0
SITE: 56	56	60	1
SITE: 58	58	61	0
SITE: 59	60	62	0
SITE: 59	61	63	1
WARN: Unitary gate is identity
SITE: 62	62	62	0
WARN: Unitary gate is identity
SITE: 59	59	59	0
WARN: Unitary gate is identity
SITE: 63	63	63	0
MPS Info: 2.11037 2.80766 0.955621 
Writing MPS done!
