LLLHLLHLLHLHHHLHLHLHHLLLLLHHLLHHHLLLHLHHHHLHLHLHLLLLHHLLHHHLLHHH
W_LIST: 0.230336 0.282039 0.11615 0.343788 0.649193 -0.456425 0.333693 0.0490308 0.452278 -0.625783 0.207303 0.609578 -0.127676 -0.293501 -0.038919 0.0597753 -0.00202735 -0.600502 -0.477649 0.508917 0.52597 -0.447009 0.196073 0.504923 -0.365885 -0.217587 0.120749 -0.415606 -0.10915 0.581183 0.318157 0.550322 0.00804094 -0.563306 0.200502 0.104086 -0.214572 0.367215 -0.27886 0.544942 -0.211637 -0.510774 0.0287961 -0.101902 0.504895 -0.611873 0.55026 -0.398467 0.263899 0.57004 0.162815 0.212116 0.622886 0.598364 -0.234804 0.483116 -0.547721 -0.29401 -0.485327 -0.621868 0.392342 0.362549 -0.532114 -0.639523 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 0	2	4	0
SITE: 0	3	5	0
SITE: 0	0	6	0
SITE: 4	4	7	1
SITE: 5	5	8	0
SITE: 6	6	9	0
SITE: 7	9	10	1
SITE: 7	8	11	1
SITE: 7	11	12	0
SITE: 7	7	13	0
SITE: 10	13	14	1
SITE: 10	14	15	0
SITE: 10	10	16	1
SITE: 12	15	17	0
SITE: 12	17	18	1
SITE: 12	18	19	0
SITE: 12	19	20	0
SITE: 12	20	21	0
SITE: 12	21	22	0
SITE: 12	22	23	1
SITE: 12	23	24	1
SITE: 12	24	25	0
SITE: 12	25	26	1
SITE: 12	26	27	1
SITE: 12	27	28	1
SITE: 12	28	29	0
SITE: 12	29	30	1
SITE: 12	30	31	1
SITE: 12	31	32	0
SITE: 12	12	33	0
SITE: 16	33	34	0
SITE: 16	34	35	1
SITE: 16	35	36	0
SITE: 16	32	37	0
SITE: 16	37	38	1
SITE: 16	38	39	1
SITE: 16	39	40	0
SITE: 16	16	41	1
SITE: 36	41	42	1
SITE: 36	40	43	1
SITE: 36	43	44	1
SITE: 36	44	45	1
SITE: 36	45	46	1
SITE: 36	46	47	1
SITE: 36	47	48	1
SITE: 36	42	49	0
SITE: 36	49	50	1
SITE: 36	48	51	0
SITE: 36	51	52	1
SITE: 36	50	53	0
SITE: 36	53	54	0
SITE: 36	54	55	0
SITE: 36	55	56	1
SITE: 36	56	57	1
SITE: 36	52	58	0
SITE: 36	58	59	1
SITE: 36	59	60	0
SITE: 36	60	61	1
SITE: 36	61	62	1
SITE: 36	62	63	1
SITE: 36	63	63	1
SITE: 36	57	57	1
SITE: 36	36	36	0
MPS Info: -0.357958 2.62037 0.505825 
Writing MPS done!
