HHLLLHLLHLHLLHLLHHLHHHHLLLHLLLLHLLHLLHHLLHLLLLHLLLHHHHHHHLLLHLHL
W_LIST: 0.588477 0.492449 -0.0778694 -0.430314 -0.0580134 -0.653525 0.567717 0.274074 0.111604 -0.0693879 -0.449708 0.326153 0.183564 -0.0857549 -0.482488 0.423267 0.50606 -0.410957 -0.506809 -0.144669 0.565199 -0.303135 -0.0245437 -0.117748 0.301693 0.138472 0.496407 -0.502269 -0.455797 -0.510398 -0.1444 -0.519267 0.445867 0.150707 0.330945 0.0812234 -0.647495 0.517611 0.0531846 -0.0265858 -0.195899 0.142587 -0.276139 0.0375837 -0.0643597 -0.621179 0.481759 -0.379348 -0.24101 -0.134034 0.579088 0.616043 0.0744598 -0.49956 0.0561873 0.394951 -0.361179 0.4814 0.0823626 -0.445987 -0.534005 -0.568269 0.420469 0.378452 
st	op	ed	phy
SITE: 0	1	3	0
SITE: 0	0	4	0
SITE: 2	3	5	0
SITE: 2	2	6	1
SITE: 4	6	7	1
SITE: 4	5	8	1
SITE: 4	7	9	0
SITE: 4	8	10	0
SITE: 4	10	11	1
SITE: 4	11	12	1
SITE: 4	9	13	0
SITE: 4	12	14	0
SITE: 4	4	15	1
SITE: 13	14	16	0
SITE: 13	15	17	1
SITE: 13	17	18	1
SITE: 13	18	19	0
SITE: 13	13	20	0
SITE: 16	20	21	0
SITE: 16	19	22	0
SITE: 16	22	23	0
SITE: 16	21	24	1
SITE: 16	24	25	1
SITE: 16	25	26	0
SITE: 16	26	27	0
SITE: 16	23	28	1
SITE: 16	28	29	0
SITE: 16	27	30	1
SITE: 16	29	31	0
SITE: 16	31	32	1
SITE: 16	32	33	1
SITE: 16	33	34	0
SITE: 16	34	35	0
SITE: 16	35	36	1
SITE: 16	36	37	0
SITE: 16	37	38	0
SITE: 16	38	39	0
SITE: 16	30	40	1
SITE: 16	39	41	1
SITE: 16	40	42	0
SITE: 16	41	43	0
SITE: 16	43	44	1
SITE: 16	42	45	0
SITE: 16	45	46	0
SITE: 16	46	47	0
SITE: 16	16	48	1
SITE: 44	48	49	0
SITE: 44	47	50	1
SITE: 44	50	51	0
SITE: 44	51	52	0
SITE: 44	44	53	1
SITE: 49	53	54	1
SITE: 49	54	55	1
SITE: 49	55	56	0
SITE: 49	56	57	1
SITE: 49	57	58	1
SITE: 49	58	59	0
SITE: 49	49	60	1
SITE: 52	60	61	1
SITE: 52	61	62	0
SITE: 52	62	63	0
SITE: 52	63	63	1
SITE: 52	59	59	0
SITE: 52	52	52	0
MPS Info: -3.02908 3.53739 0.790062 
Writing MPS done!
