LLHLHLHLHHLLHLHHLLLLHLLLHHLLHHHLHHHLLHLLHHLHLHLLLHHHHHLHHHHHLHLH
W_LIST: -0.43469 -0.799289 0.129023 0.995468 -1.1984 0.309291 0.482527 0.344 1.18252 0.539056 0.262642 -0.148352 0.417516 -0.867372 0.994343 -0.725049 0.348816 0.533151 -0.258805 -0.403655 -0.322193 -0.487333 -1.30687 -0.996853 -1.07988 -0.669558 -1.10197 -0.541042 0.240452 -1.06675 -1.2836 0.0509401 -0.625758 -1.17666 -0.373753 0.784205 0.807598 -1.27339 0.810681 0.285409 0.39898 -0.506605 0.704852 -0.0883366 0.866687 1.19753 1.32075 0.0180001 0.174671 -0.39479 -1.1316 0.676871 -0.374114 0.12493 0.470349 0.54656 -0.202864 -1.07826 0.20255 0.991878 -0.457663 -0.934945 1.22934 -1.18987 
st	op	ed	phy
SITE: 0	1	3	0
SITE: 0	3	4	1
SITE: 0	4	5	1
SITE: 0	5	6	0
SITE: 0	6	7	0
SITE: 0	7	8	1
SITE: 0	8	9	0
SITE: 0	9	10	0
SITE: 0	10	11	1
SITE: 0	11	12	0
SITE: 0	12	13	0
SITE: 0	13	14	0
SITE: 0	14	15	0
SITE: 0	15	16	1
SITE: 0	2	17	0
SITE: 0	17	18	1
SITE: 0	18	19	0
SITE: 0	0	20	0
SITE: 16	19	21	1
SITE: 16	20	22	1
SITE: 16	22	23	0
SITE: 16	23	24	0
SITE: 16	24	25	1
SITE: 16	25	26	1
SITE: 16	26	27	0
SITE: 16	27	28	0
SITE: 16	28	29	0
SITE: 16	29	30	1
SITE: 16	30	31	1
SITE: 16	21	32	0
SITE: 16	32	33	1
SITE: 16	33	34	1
SITE: 16	34	35	1
SITE: 16	31	36	0
SITE: 16	36	37	1
SITE: 16	37	38	1
SITE: 16	38	39	1
SITE: 16	39	40	0
SITE: 16	40	41	0
SITE: 16	35	42	0
SITE: 16	42	43	1
SITE: 16	43	44	1
SITE: 16	44	45	1
SITE: 16	45	46	0
SITE: 16	46	47	1
SITE: 16	47	48	0
SITE: 16	48	49	1
SITE: 16	16	50	0
SITE: 41	50	51	1
SITE: 41	49	52	1
SITE: 41	52	53	1
SITE: 41	53	54	1
SITE: 41	51	55	0
SITE: 41	55	56	0
SITE: 41	54	57	1
SITE: 41	57	58	1
SITE: 41	56	59	1
SITE: 41	59	60	0
SITE: 41	41	61	1
SITE: 58	61	62	1
SITE: 58	63	63	1
SITE: 58	62	62	1
SITE: 58	60	60	0
SITE: 58	58	58	0
MPS Info: 4.81719 2.40048 1.23583 
Writing MPS done!
