LHHLLHLHHHLHLLLLHHHLLHLLHLHHLHLLLHHLLHLHLLHHLHLHHHHHLHLHLLLHHHLH
W_LIST: -1.25012 0.882896 0.399398 1.11187 -0.0411942 0.576279 -1.19479 -0.134093 1.04988 0.425177 0.0241084 0.991023 -0.691286 -0.639023 0.748602 0.158128 0.423656 0.741493 -0.290857 1.0543 -0.279074 0.638082 1.11064 1.22054 -1.07155 1.17272 -0.447242 -0.878118 -0.140573 0.877048 -1.06658 1.29346 0.822762 1.05907 -1.19765 0.0336206 0.331741 1.3101 -1.24253 0.866291 0.174461 -0.755721 -0.839416 0.548619 -1.20993 -0.263613 -0.689092 -0.202803 0.103326 1.24949 0.535046 -0.813688 -0.493294 -0.356424 0.790199 1.17511 0.243996 -0.951402 -0.866188 -1.23298 0.942303 -0.748984 1.0673 0.654517 
st	op	ed	phy
SITE: 0	0	3	0
SITE: 1	1	4	0
SITE: 2	3	5	1
SITE: 2	5	6	0
SITE: 2	6	7	0
SITE: 2	2	8	0
SITE: 4	8	9	0
SITE: 4	7	10	0
SITE: 4	9	11	0
SITE: 4	11	12	0
SITE: 4	10	13	1
SITE: 4	13	14	0
SITE: 4	14	15	1
SITE: 4	15	16	0
SITE: 4	16	17	0
SITE: 4	17	18	0
SITE: 4	12	19	1
SITE: 4	19	20	1
SITE: 4	20	21	0
SITE: 4	21	22	0
SITE: 4	22	23	1
SITE: 4	23	24	1
SITE: 4	24	25	1
SITE: 4	25	26	1
SITE: 4	26	27	1
SITE: 4	27	28	1
SITE: 4	28	29	0
SITE: 4	29	30	0
SITE: 4	30	31	0
SITE: 4	31	32	1
SITE: 4	18	33	0
SITE: 4	33	34	0
SITE: 4	34	35	1
SITE: 4	35	36	0
SITE: 4	36	37	1
SITE: 4	37	38	0
SITE: 4	38	39	0
SITE: 4	39	40	0
SITE: 4	40	41	1
SITE: 4	41	42	0
SITE: 4	32	43	1
SITE: 4	43	44	0
SITE: 4	44	45	0
SITE: 4	45	46	0
SITE: 4	46	47	0
SITE: 4	47	48	0
SITE: 4	48	49	0
SITE: 4	49	50	0
SITE: 4	50	51	0
SITE: 4	42	52	0
SITE: 4	52	53	0
SITE: 4	51	54	0
SITE: 4	54	55	1
SITE: 4	55	56	0
SITE: 4	53	57	1
SITE: 4	57	58	0
SITE: 4	56	59	1
SITE: 4	59	60	1
SITE: 4	60	61	0
SITE: 4	61	62	1
SITE: 4	62	63	1
SITE: 4	58	63	0
SITE: 4	63	63	1
SITE: 4	4	4	1
MPS Info: 1.71225 1.41983 0.155317 
Writing MPS done!
