LLLLHLLHHHHLHLHHLLLHHLHLLLLLHLHHHLLHLLHHHHLLHHLLHHHHHLLLLLLHLHHL
W_LIST: 0.878442 0.711995 -1.08865 0.000117785 -1.19644 0.411883 -0.349746 -0.698017 -0.196327 1.20915 0.906858 0.467351 0.554709 -0.210867 1.28534 -0.180916 -0.766019 -0.862865 -1.01595 0.795477 1.13178 0.088234 -0.00904331 -0.606847 -0.723431 -0.0280054 0.447881 -0.512636 -0.854997 0.864171 1.00284 -0.366822 -1.11626 -0.0689248 -0.0824471 -1.04123 -1.22549 -1.16085 -0.43729 0.292945 0.0859876 -0.557814 -0.742418 -0.917089 0.216409 -1.00825 -0.467542 -0.284309 1.29955 0.34252 -1.32749 -0.283487 -0.716756 0.403537 0.0599175 -0.638872 -1.24564 -0.381048 0.787429 1.24541 -0.422761 -0.732808 0.430981 -0.874759 
st	op	ed	phy
SITE: 0	2	3	0
SITE: 0	1	4	1
SITE: 0	4	5	1
SITE: 0	5	6	1
SITE: 0	6	7	0
SITE: 0	7	8	1
SITE: 0	3	9	1
SITE: 0	9	10	0
SITE: 0	10	11	0
SITE: 0	11	12	1
SITE: 0	0	13	1
SITE: 8	13	14	0
SITE: 8	14	15	0
SITE: 8	12	16	0
SITE: 8	16	17	0
SITE: 8	15	18	0
SITE: 8	18	19	0
SITE: 8	19	20	0
SITE: 8	20	21	0
SITE: 8	21	22	1
SITE: 8	22	23	1
SITE: 8	23	24	0
SITE: 8	24	25	0
SITE: 8	25	26	1
SITE: 8	8	27	0
SITE: 17	27	28	0
SITE: 17	26	29	1
SITE: 17	29	30	1
SITE: 17	28	31	1
SITE: 17	30	32	0
SITE: 17	32	33	1
SITE: 17	33	34	0
SITE: 17	34	35	1
SITE: 17	35	36	1
SITE: 17	36	37	0
SITE: 17	31	38	1
SITE: 17	37	39	0
SITE: 17	39	40	0
SITE: 17	40	41	0
SITE: 17	38	42	0
SITE: 17	42	43	0
SITE: 17	41	44	0
SITE: 17	43	45	0
SITE: 17	45	46	1
SITE: 17	44	47	0
SITE: 17	47	48	0
SITE: 17	48	49	0
SITE: 17	49	50	0
SITE: 17	50	51	1
SITE: 17	46	52	1
SITE: 17	52	53	1
SITE: 17	51	54	1
SITE: 17	53	55	1
SITE: 17	55	56	0
SITE: 17	56	57	0
SITE: 17	54	58	0
SITE: 17	58	59	1
SITE: 17	59	60	0
SITE: 17	57	61	0
SITE: 17	61	62	1
SITE: 17	63	63	0
SITE: 17	62	62	0
SITE: 17	60	60	0
SITE: 17	17	17	1
MPS Info: 0.359319 2.49441 0.378006 
Writing MPS done!
