LLLLLLHLHHHLHHHLLLHLHLHHHLLLHLHLHHLLHHHLLHLHLLHHHLHHHLHLHHLLHHHL
W_LIST: -0.398133 0.643634 0.444134 0.0874177 1.00146 -0.717875 1.05227 -0.391586 0.369192 0.458743 0.727958 1.32188 1.05311 -0.0396053 0.436031 -0.848533 -0.709889 0.623392 0.290007 1.22395 1.16411 0.932295 1.13908 -0.273801 -0.0521837 0.0237041 0.27393 1.22956 -1.14077 0.32702 -0.829391 0.565066 1.30013 -1.05212 -0.700367 -0.939164 -0.252383 -0.553231 -0.647196 0.063607 0.582598 0.585349 -1.23562 -0.439372 1.31894 -0.7741 0.685077 0.215089 1.24604 -1.08427 0.587494 -0.0714069 -0.80614 0.707522 0.299805 -0.832464 -0.245496 0.379094 -0.679124 -0.423233 0.627213 -1.25834 -0.355547 1.17353 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 0	0	4	0
SITE: 2	4	5	1
SITE: 2	5	6	0
SITE: 2	6	7	0
SITE: 2	2	8	0
SITE: 3	8	9	0
SITE: 3	9	10	0
SITE: 3	10	11	0
SITE: 3	11	12	1
SITE: 3	12	13	0
SITE: 3	7	14	1
SITE: 3	14	15	0
SITE: 3	15	16	0
SITE: 3	13	17	0
SITE: 3	17	18	1
SITE: 3	16	19	0
SITE: 3	19	20	1
SITE: 3	18	21	1
SITE: 3	20	22	0
SITE: 3	3	23	1
SITE: 21	21	24	1
SITE: 22	22	25	0
SITE: 23	23	26	1
SITE: 24	24	27	1
SITE: 25	27	28	1
SITE: 25	28	29	1
SITE: 25	25	30	0
SITE: 26	30	31	1
SITE: 26	29	32	0
SITE: 26	32	33	0
SITE: 26	31	34	1
SITE: 26	33	35	1
SITE: 26	35	36	0
SITE: 26	34	37	0
SITE: 26	37	38	1
SITE: 26	38	39	1
SITE: 26	36	40	1
SITE: 26	26	41	0
SITE: 39	41	42	0
SITE: 39	42	43	0
SITE: 39	40	44	1
SITE: 39	44	45	1
SITE: 39	45	46	0
SITE: 39	46	47	0
SITE: 39	39	48	0
SITE: 43	48	49	0
SITE: 43	49	50	0
SITE: 43	50	51	0
SITE: 43	47	52	0
SITE: 43	52	53	1
SITE: 43	53	54	1
SITE: 43	54	55	1
SITE: 43	55	56	0
SITE: 43	51	57	1
SITE: 43	57	58	0
SITE: 43	58	59	0
SITE: 43	56	60	0
SITE: 43	60	61	0
SITE: 43	61	62	1
SITE: 43	63	63	1
SITE: 43	62	62	1
SITE: 43	43	59	0
SITE: 59	59	59	0
MPS Info: -0.346785 2.00643 0.533062 
Writing MPS done!
