LLLLLHHHHHHHLHLLLLHHHHHHLLLHHLLLHLHHLLLLLLHHHLLLLHHHHHHHLHLHLLHL
W_LIST: 1.00872 0.0487251 -0.652934 0.535601 1.27135 -0.485084 -1.23428 1.25099 -0.190501 0.121498 0.274686 -1.29064 -0.988093 -0.0300908 -0.793375 0.739932 -0.263437 1.29707 -0.376329 -0.377805 -0.164089 0.0925205 0.463981 -0.84641 -1.04934 0.765466 0.412044 -0.890321 -1.15664 -0.146155 -0.487849 1.06017 1.13882 -0.958969 0.15197 0.692062 -0.937211 -0.667252 -0.51108 0.641977 0.46241 -0.533364 -0.52413 0.473834 1.23242 1.16002 1.04467 0.0950551 0.799738 -0.572424 0.546104 -0.35518 0.0755606 1.01997 -1.01687 0.191226 0.548957 -0.61312 -0.169488 -0.959268 1.12888 0.633577 -0.251465 0.25288 
st	op	ed	phy
SITE: 0	0	3	1
SITE: 1	2	4	0
SITE: 1	4	5	1
SITE: 1	3	6	1
SITE: 1	6	7	1
SITE: 1	7	8	0
SITE: 1	5	9	1
SITE: 1	9	10	0
SITE: 1	10	11	0
SITE: 1	11	12	1
SITE: 1	12	13	0
SITE: 1	8	14	1
SITE: 1	14	15	0
SITE: 1	15	16	1
SITE: 1	16	17	0
SITE: 1	17	18	1
SITE: 1	18	19	1
SITE: 1	19	20	1
SITE: 1	13	21	0
SITE: 1	20	22	1
SITE: 1	22	23	0
SITE: 1	23	24	1
SITE: 1	24	25	0
SITE: 1	25	26	1
SITE: 1	1	27	0
SITE: 21	27	28	1
SITE: 21	28	29	1
SITE: 21	26	30	0
SITE: 21	29	31	0
SITE: 21	31	32	1
SITE: 21	32	33	0
SITE: 21	33	34	0
SITE: 21	34	35	0
SITE: 21	35	36	0
SITE: 21	30	37	1
SITE: 21	37	38	0
SITE: 21	36	39	1
SITE: 21	39	40	1
SITE: 21	38	41	0
SITE: 21	41	42	0
SITE: 21	40	43	1
SITE: 21	43	44	0
SITE: 21	44	45	0
SITE: 21	45	46	1
SITE: 21	46	47	1
SITE: 21	47	48	0
SITE: 21	48	49	1
SITE: 21	49	50	1
SITE: 21	50	51	0
SITE: 21	51	52	1
SITE: 21	42	53	1
SITE: 21	53	54	0
SITE: 21	54	55	1
SITE: 21	21	56	0
SITE: 52	56	57	1
SITE: 52	57	58	1
SITE: 52	55	59	1
SITE: 52	59	60	1
SITE: 52	60	61	1
SITE: 52	58	62	0
SITE: 52	62	63	1
SITE: 52	61	63	0
SITE: 52	63	63	1
SITE: 52	52	52	0
MPS Info: -2.2248 2.16848 1.30282 
Writing MPS done!
