LLLHHLLHHLHLHHHHHLLHHLLLLHHLLLLLLHLHHHHHLHHLHHLLLHLLLHLHLLHLLHLL
W_LIST: 0.608576 0.0521759 0.329767 1.3151 -0.773579 0.552649 -0.444492 -1.52901 -0.266853 -1.05826 0.178949 0.525878 -0.170849 -0.940081 -0.572298 -0.353793 0.482069 0.795454 -0.343023 -1.25396 -0.375227 0.0940766 1.53754 0.139594 0.317381 0.314004 0.693195 0.774358 0.0623303 1.54161 0.193344 0.838985 0.122942 -0.0733804 -0.980648 -1.14963 0.711016 0.0229068 -0.269498 -0.94127 -1.30214 -0.787767 1.57602 0.287244 -0.214205 0.582818 0.394192 1.54467 0.173487 0.533385 1.28771 -0.0853823 -0.541315 1.51553 0.786658 -0.585577 -1.63433 0.39337 1.24585 -0.150462 0.302445 0.609127 -0.22676 1.32591 
st	op	ed	phy
SITE: 0	0	3	1
SITE: 1	3	4	0
SITE: 1	1	5	0
SITE: 2	4	6	1
SITE: 2	2	7	1
SITE: 5	7	8	1
SITE: 5	6	9	0
SITE: 5	9	10	0
SITE: 5	10	11	0
SITE: 5	11	12	1
SITE: 5	5	13	1
SITE: 8	13	14	1
SITE: 8	14	15	1
SITE: 8	15	16	1
SITE: 8	12	17	1
SITE: 8	17	18	1
SITE: 8	18	19	0
SITE: 8	19	20	1
SITE: 8	20	21	1
SITE: 8	16	22	1
SITE: 8	22	23	1
SITE: 8	21	24	0
SITE: 8	24	25	1
SITE: 8	23	26	0
SITE: 8	26	27	0
SITE: 8	27	28	1
SITE: 8	28	29	0
SITE: 8	29	30	1
SITE: 8	30	31	0
SITE: 8	31	32	1
SITE: 8	32	33	0
SITE: 8	33	34	0
SITE: 8	25	35	0
SITE: 8	35	36	1
SITE: 8	34	37	0
SITE: 8	36	38	0
SITE: 8	37	39	0
SITE: 8	39	40	1
SITE: 8	40	41	0
SITE: 8	41	42	1
SITE: 8	42	43	0
SITE: 8	43	44	1
SITE: 8	44	45	1
SITE: 8	45	46	1
SITE: 8	46	47	1
SITE: 8	47	48	1
SITE: 8	48	49	0
SITE: 8	49	50	0
SITE: 8	50	51	1
SITE: 8	8	52	0
SITE: 38	52	53	0
SITE: 38	53	54	0
SITE: 38	54	55	1
SITE: 38	55	56	1
SITE: 38	56	57	0
SITE: 38	51	58	1
SITE: 38	58	59	0
SITE: 38	57	60	1
SITE: 38	60	61	1
SITE: 38	59	62	0
SITE: 38	63	63	1
SITE: 38	62	62	0
SITE: 38	61	61	0
SITE: 38	38	38	1
MPS Info: -5.15403 2.07862 0.319853 
Writing MPS done!
