LLLHLHHHHLHLLHHLLHHHHLLLHLHHHLLHLHHHLHLHLLLLLHHLHLLLHLLLHLLLHHLH
W_LIST: -0.477644 -0.914568 -0.298604 -0.468169 -0.407614 -0.16646 -0.652047 -0.220644 -0.577197 0.291141 -0.708323 -0.969312 -0.797659 -0.423238 -0.832064 -0.326426 -0.996038 0.60973 -0.226723 -0.841887 -0.199023 -0.571514 0.774289 -0.526563 -0.803588 -0.656531 0.494488 0.588614 -0.20119 -0.186731 -0.747547 -0.0494009 -0.351678 -0.643369 0.226358 -0.162838 0.130167 0.299196 -0.115486 0.130264 -0.591763 0.702687 -0.351507 -0.0945332 0.569821 -0.564405 -0.355167 -0.874489 -0.606859 0.0182346 0.15333 -0.318703 0.932566 -0.388628 0.674297 -0.958932 0.962118 -0.683547 0.41421 -0.151328 -0.273966 0.816794 -0.571463 0.95437 
st	op	ed	phy
SITE: 0	1	3	0
SITE: 0	3	4	1
SITE: 0	4	5	0
SITE: 0	5	6	0
SITE: 0	6	7	1
SITE: 0	0	8	1
SITE: 2	8	9	1
SITE: 2	2	10	1
SITE: 7	10	11	1
SITE: 7	11	12	0
SITE: 7	9	13	0
SITE: 7	7	14	1
SITE: 12	13	15	1
SITE: 12	14	16	1
SITE: 12	16	17	0
SITE: 12	17	18	0
SITE: 12	12	19	0
SITE: 15	19	20	1
SITE: 15	18	21	1
SITE: 15	21	22	0
SITE: 15	22	23	1
SITE: 15	23	24	0
SITE: 15	20	25	0
SITE: 15	25	26	0
SITE: 15	26	27	0
SITE: 15	27	28	0
SITE: 15	28	29	0
SITE: 15	24	30	0
SITE: 15	30	31	0
SITE: 15	31	32	0
SITE: 15	29	33	1
SITE: 15	33	34	1
SITE: 15	32	35	0
SITE: 15	35	36	1
SITE: 15	34	37	1
SITE: 15	37	38	0
SITE: 15	38	39	0
SITE: 15	39	40	0
SITE: 15	40	41	0
SITE: 15	41	42	1
SITE: 15	42	43	0
SITE: 15	36	44	1
SITE: 15	44	45	1
SITE: 15	45	46	1
SITE: 15	43	47	0
SITE: 15	47	48	0
SITE: 15	46	49	0
SITE: 15	48	50	1
SITE: 15	50	51	1
SITE: 15	51	52	0
SITE: 15	52	53	0
SITE: 15	53	54	0
SITE: 15	54	55	1
SITE: 15	55	56	0
SITE: 15	56	57	0
SITE: 15	57	58	0
SITE: 15	58	59	1
SITE: 15	59	60	0
SITE: 15	60	61	0
SITE: 15	61	62	0
SITE: 15	63	63	0
SITE: 15	62	62	1
SITE: 15	15	49	0
SITE: 49	49	49	1
MPS Info: -1.32849 2.40168 0.65285 
Writing MPS done!
