LHLHLHHLLLLLLHHLLHHLLHLLHLHHHHHHLHHHLLLLLLLHLHLHLHLHHLHHHHHLLLLL
W_LIST: 4.99804 7.4093 5.71599 -2.62467 4.9019 -2.92544 -4.79556 5.5358 1.51576 -8.33992 -7.80106 -2.18627 9.18133 -6.73621 -4.79278 -1.28155 -7.44766 8.81284 -6.91578 -6.90527 7.53697 -4.72188 5.40183 5.42085 -5.62721 -1.76574 8.59913 3.74881 2.16602 2.65243 2.64488 9.21523 -1.06634 9.05168 -2.03584 9.10171 1.5194 -7.00248 3.02505 9.09999 5.71087 1.42507 9.25102 -1.26283 8.46815 5.3772 1.81939 2.84286 -8.61963 5.48627 -7.57467 -8.50984 -2.70088 -6.10828 -6.76415 1.01874 0.554727 -5.72643 -9.97261 -0.45124 5.24317 -9.70444 6.89543 -8.17983 
st	op	ed	phy
SITE: 0	1	3	0
SITE: 0	2	4	1
SITE: 0	0	5	1
SITE: 3	4	6	1
SITE: 3	6	7	1
SITE: 3	7	8	1
SITE: 3	5	9	1
SITE: 3	9	10	0
SITE: 3	10	11	0
SITE: 3	3	12	1
SITE: 8	12	13	1
SITE: 8	13	14	1
SITE: 8	14	15	1
SITE: 8	11	16	0
SITE: 8	16	17	0
SITE: 8	17	18	0
SITE: 8	18	19	1
SITE: 8	19	20	0
SITE: 8	20	21	1
SITE: 8	21	22	1
SITE: 8	22	23	1
SITE: 8	23	24	1
SITE: 8	24	25	1
SITE: 8	25	26	0
SITE: 8	26	27	0
SITE: 8	27	28	0
SITE: 8	28	29	0
SITE: 8	29	30	0
SITE: 8	30	31	0
SITE: 8	31	32	0
SITE: 8	8	33	1
SITE: 15	33	34	0
SITE: 15	34	35	1
SITE: 15	35	36	0
SITE: 15	36	37	1
SITE: 15	37	38	0
SITE: 15	38	39	1
SITE: 15	39	40	1
SITE: 15	40	41	1
SITE: 15	15	42	0
SITE: 32	42	43	1
SITE: 32	43	44	1
SITE: 32	44	45	1
SITE: 32	45	46	0
SITE: 32	46	47	1
SITE: 32	47	48	0
SITE: 32	48	49	0
SITE: 32	49	50	0
SITE: 32	50	51	0
SITE: 32	51	52	1
SITE: 32	52	53	1
SITE: 32	53	54	0
SITE: 32	54	55	1
SITE: 32	55	56	0
SITE: 32	56	57	0
SITE: 32	57	58	1
SITE: 32	58	59	1
SITE: 32	59	60	0
SITE: 32	60	61	1
SITE: 32	61	62	0
SITE: 32	63	63	0
SITE: 32	62	62	1
SITE: 32	41	41	1
WARN: Unitary gate is identity
SITE: 32	32	32	0
MPS Info: -12.8632 0.371097 1.86095e-05 
Writing MPS done!
