LLHHLLLLLLHHLLLHHHLLLHLHHLHLHLHLHHLHLHLLHHLHHHLHLHHLLLHLHLHHHLHH
W_LIST: -9.57559 -9.40267 2.7763 5.6465 -5.81335 -5.91181 -1.24974 8.94555 -3.64596 0.0903171 2.24421 -6.4806 -6.10292 -3.58854 8.48648 4.2259 0.250636 -8.31527 -7.3576 3.19192 8.13135 -2.54198 2.05916 -4.01358 4.48761 3.62909 -5.70907 2.43574 -3.08622 6.11332 -4.36357 -6.99067 5.5674 -0.129932 -0.0594323 8.75531 -5.04003 -4.72376 8.05603 0.440471 5.94932 -8.67553 4.63079 0.850596 -0.156915 5.2362 0.781489 3.13254 3.73025 -5.18152 -1.26751 -2.38973 8.98963 -2.74348 -2.35519 -0.317105 3.38112 6.02221 -1.37125 2.21362 -8.79239 -3.80773 1.3285 7.24404 
st	op	ed	phy
SITE: 0	0	3	0
SITE: 1	1	4	0
SITE: 2	4	5	0
SITE: 2	3	6	0
SITE: 2	5	7	0
SITE: 2	7	8	1
SITE: 2	8	9	0
SITE: 2	2	10	0
SITE: 6	10	11	0
SITE: 6	11	12	1
SITE: 6	12	13	0
SITE: 6	13	14	0
SITE: 6	14	15	1
SITE: 6	15	16	0
SITE: 6	6	17	0
SITE: 9	17	18	1
SITE: 9	18	19	0
SITE: 9	19	20	1
SITE: 9	20	21	1
SITE: 9	21	22	1
SITE: 9	22	23	1
SITE: 9	23	24	1
SITE: 9	24	25	0
SITE: 9	25	26	1
SITE: 9	26	27	1
SITE: 9	27	28	1
SITE: 9	28	29	1
SITE: 9	29	30	1
SITE: 9	30	31	1
SITE: 9	31	32	0
SITE: 9	32	33	0
SITE: 9	9	34	1
SITE: 16	33	35	0
SITE: 16	35	36	0
SITE: 16	36	37	0
SITE: 16	37	38	1
SITE: 16	38	39	1
SITE: 16	16	40	0
SITE: 34	40	41	0
SITE: 34	41	42	1
SITE: 34	42	43	1
SITE: 34	43	44	0
SITE: 34	34	45	1
SITE: 39	45	46	0
SITE: 39	46	47	1
SITE: 39	47	48	0
SITE: 39	48	49	1
SITE: 39	49	50	1
SITE: 39	50	51	1
SITE: 39	51	52	0
SITE: 39	52	53	1
SITE: 39	53	54	0
SITE: 39	54	55	1
SITE: 39	55	56	0
SITE: 39	56	57	0
SITE: 39	57	58	1
SITE: 39	58	59	1
SITE: 39	59	60	0
SITE: 39	60	61	1
SITE: 39	61	62	0
SITE: 39	63	63	0
SITE: 39	62	62	0
SITE: 39	39	44	1
WARN: Unitary gate is identity
SITE: 44	44	44	0
MPS Info: -9.80895 0.874038 6.26623e-05 
Writing MPS done!
