LLLLLHHHHLLLHHLHLLHLLLLHHLLLLLLHLHHHLHLHLHHLLHHHLHHLLHLLLLLLLLLL
W_LIST: -0.329639 -0.970663 -9.20177 -0.436708 6.65383 2.09315 3.67602 6.5491 9.02251 -0.480508 7.71522 -0.769444 8.33917 -2.44393 0.588026 -4.68048 -6.04089 -7.27095 -7.51826 -9.50002 8.34748 -3.56747 0.843643 7.10118 4.52936 -7.13643 -9.09387 7.4128 -4.99612 9.19001 -3.27573 -7.42918 6.16148 -8.92325 2.47744 4.99298 -7.42528 1.55942 4.43093 -9.98117 -8.50942 -3.25756 -9.77657 -9.28998 9.43397 -2.0878 4.04043 8.69243 -9.96071 -3.60617 -6.24673 3.47212 -4.9411 -5.15628 -0.751936 2.8335 -1.04565 6.65808 -0.0616678 -2.27188 -8.44168 3.79107 -6.15038 -3.51092 
st	op	ed	phy
SITE: 0	2	3	0
SITE: 0	1	4	0
SITE: 0	4	5	1
SITE: 0	5	6	0
SITE: 0	6	7	0
SITE: 0	7	8	0
SITE: 0	8	9	0
SITE: 0	0	10	1
SITE: 3	10	11	1
SITE: 3	11	12	0
SITE: 3	12	13	0
SITE: 3	13	14	1
SITE: 3	9	15	0
SITE: 3	15	16	1
SITE: 3	16	17	0
SITE: 3	17	18	0
SITE: 3	18	19	1
SITE: 3	19	20	0
SITE: 3	20	21	1
SITE: 3	21	22	0
SITE: 3	22	23	1
SITE: 3	23	24	0
SITE: 3	24	25	0
SITE: 3	25	26	0
SITE: 3	26	27	0
SITE: 3	27	28	1
SITE: 3	28	29	0
SITE: 3	29	30	1
SITE: 3	30	31	0
SITE: 3	31	32	1
SITE: 3	32	33	1
SITE: 3	33	34	1
SITE: 3	34	35	0
SITE: 3	35	36	0
SITE: 3	36	37	0
SITE: 3	37	38	0
SITE: 3	38	39	1
SITE: 3	39	40	1
SITE: 3	40	41	0
SITE: 3	41	42	1
SITE: 3	42	43	1
SITE: 3	43	44	0
SITE: 3	44	45	1
SITE: 3	45	46	1
SITE: 3	46	47	0
SITE: 3	47	48	0
SITE: 3	48	49	0
SITE: 3	49	50	1
SITE: 3	50	51	1
SITE: 3	51	52	1
SITE: 3	52	53	0
SITE: 3	53	54	1
SITE: 3	54	55	0
SITE: 3	55	56	1
SITE: 3	56	57	0
SITE: 3	57	58	1
SITE: 3	3	59	0
SITE: 14	59	60	0
SITE: 14	60	61	0
SITE: 14	61	62	1
SITE: 14	62	63	0
SITE: 14	63	63	0
SITE: 14	14	58	0
SITE: 58	58	58	1
MPS Info: -36.6583 0.298762 5.92494e-08 
Writing MPS done!
