LHLHLLLHLHHLLLHHLLHHLHHLHHHLHHHLLHHHHHHLLHLHLHLHLLLHHLLHHHHHHLHH
W_LIST: -0.222947 -0.909094 1.85831 0.224594 -0.208234 2.17313 -1.19775 -1.86695 -1.85044 -1.41889 1.9438 0.0727801 0.40769 -1.45286 -2.21312 0.541005 -0.920397 0.994847 -0.462754 2.04854 -0.551854 -2.07848 2.29972 -1.09893 0.440617 -0.635077 -0.962692 -1.82293 0.309991 -0.524603 0.144648 -1.1013 -2.22665 -1.40858 0.658003 -1.17532 1.27587 1.63016 -2.28595 -0.107059 -0.143256 0.593086 1.56059 1.58456 0.912 1.6713 0.173626 -0.809603 1.8385 -1.76486 -2.27247 -0.80275 0.863132 -2.25168 0.917385 -1.18897 0.551748 0.478061 -0.733873 -2.01863 -1.94634 2.29972 -1.77699 0.784016 
st	op	ed	phy
SITE: 0	2	3	1
SITE: 0	1	4	1
SITE: 0	3	5	1
SITE: 0	5	6	1
SITE: 0	6	7	0
SITE: 0	7	8	1
SITE: 0	8	9	0
SITE: 0	9	10	1
SITE: 0	10	11	0
SITE: 0	11	12	1
SITE: 0	4	13	0
SITE: 0	13	14	0
SITE: 0	14	15	1
SITE: 0	15	16	0
SITE: 0	16	17	0
SITE: 0	17	18	1
SITE: 0	18	19	1
SITE: 0	19	20	0
SITE: 0	0	21	0
SITE: 12	21	22	1
SITE: 12	22	23	0
SITE: 12	23	24	0
SITE: 12	24	25	0
SITE: 12	20	26	0
SITE: 12	26	27	1
SITE: 12	27	28	0
SITE: 12	28	29	0
SITE: 12	29	30	1
SITE: 12	12	31	0
SITE: 25	31	32	0
SITE: 25	32	33	0
SITE: 25	33	34	1
SITE: 25	34	35	0
SITE: 25	35	36	1
SITE: 25	36	37	0
SITE: 25	37	38	0
SITE: 25	38	39	1
SITE: 25	39	40	0
SITE: 25	30	41	0
SITE: 25	41	42	0
SITE: 25	42	43	1
SITE: 25	43	44	0
SITE: 25	44	45	1
SITE: 25	45	46	0
SITE: 25	46	47	1
SITE: 25	47	48	1
SITE: 25	48	49	1
SITE: 25	49	50	0
SITE: 25	50	51	0
SITE: 25	51	52	1
SITE: 25	52	53	0
SITE: 25	53	54	0
SITE: 25	54	55	1
SITE: 25	55	56	1
SITE: 25	56	57	1
SITE: 25	57	58	0
SITE: 25	58	59	1
SITE: 25	59	60	1
SITE: 25	60	61	1
SITE: 25	61	62	1
SITE: 25	62	63	1
SITE: 25	63	63	0
SITE: 25	40	40	1
SITE: 25	25	25	0
MPS Info: 4.86235 1.55215 0.25705 
Writing MPS done!
