LLLLLHHHHLLLHHLHLLHLLLLHHLLLLLLHLHHHLHLHLHHLLHHHLHHLLHLLLLLLLLLL
W_LIST: -0.0768058 -0.226164 -2.14401 -0.101753 1.55034 0.487703 0.856512 1.52594 2.10224 -0.111958 1.79765 -0.17928 1.94303 -0.569435 0.13701 -1.09055 -1.40753 -1.69413 -1.75175 -2.2135 1.94496 -0.83122 0.196569 1.65457 1.05534 -1.66279 -2.11887 1.72718 -1.1641 2.14127 -0.763244 -1.731 1.43563 -2.07912 0.577244 1.16337 -1.73009 0.363344 1.03241 -2.32561 -1.98269 -0.759012 -2.27794 -2.16456 2.19811 -0.486457 0.941421 2.02534 -2.32084 -0.840238 -1.45549 0.809005 -1.15128 -1.20141 -0.175201 0.660205 -0.243636 1.55133 -0.0143686 -0.529348 -1.96691 0.883318 -1.43304 -0.818044 
st	op	ed	phy
SITE: 0	2	3	0
SITE: 0	1	4	1
SITE: 0	4	5	1
SITE: 0	0	6	0
SITE: 3	6	7	0
SITE: 3	7	8	0
SITE: 3	8	9	0
SITE: 3	5	10	0
SITE: 3	10	11	1
SITE: 3	11	12	0
SITE: 3	12	13	0
SITE: 3	13	14	1
SITE: 3	3	15	0
SITE: 9	15	16	1
SITE: 9	16	17	0
SITE: 9	17	18	0
SITE: 9	18	19	1
SITE: 9	19	20	0
SITE: 9	20	21	1
SITE: 9	21	22	0
SITE: 9	22	23	1
SITE: 9	23	24	0
SITE: 9	24	25	0
SITE: 9	25	26	0
SITE: 9	26	27	0
SITE: 9	27	28	1
SITE: 9	28	29	0
SITE: 9	29	30	1
SITE: 9	30	31	0
SITE: 9	31	32	1
SITE: 9	32	33	1
SITE: 9	33	34	1
SITE: 9	14	35	0
SITE: 9	35	36	0
SITE: 9	36	37	0
SITE: 9	37	38	0
SITE: 9	38	39	1
SITE: 9	39	40	1
SITE: 9	40	41	0
SITE: 9	34	42	0
SITE: 9	42	43	1
SITE: 9	43	44	0
SITE: 9	44	45	1
SITE: 9	41	46	1
SITE: 9	45	47	1
SITE: 9	47	48	0
SITE: 9	48	49	0
SITE: 9	46	50	0
SITE: 9	50	51	1
SITE: 9	51	52	1
SITE: 9	52	53	0
SITE: 9	53	54	1
SITE: 9	49	55	1
SITE: 9	55	56	1
SITE: 9	56	57	0
SITE: 9	57	58	1
SITE: 9	58	59	0
SITE: 9	54	60	0
SITE: 9	60	61	0
SITE: 9	61	62	1
SITE: 9	62	63	0
SITE: 9	59	63	1
SITE: 9	63	63	0
SITE: 9	9	9	0
MPS Info: -12.624 1.52657 9.46504e-05 
Writing MPS done!
