LHHHHLHHHHHLHHLHHHLLLHLLHLLLHLLLLHLHLLLLLHHLHLLHHHLHLLLLHHHHLHLH
W_LIST: -0.42252 1.00886 0.894568 -1.15514 -0.990421 1.16522 1.84875 1.45738 0.0949319 -0.20366 -0.968275 -0.0803066 -1.5111 -1.2757 1.79779 -0.312958 1.86725 -1.17216 1.6068 -1.4243 -0.479097 0.741532 0.0043969 0.778841 -0.622832 1.22401 -1.24172 0.810829 0.313835 0.97278 -0.903035 1.56564 -1.42614 -1.48925 -1.99861 -1.9148 -0.845198 1.7422 1.62844 -1.83136 0.238502 -0.126363 -0.800256 -1.38635 1.04306 -0.38231 -0.932438 -0.333935 -1.07961 0.945714 -1.82614 0.164398 -1.91085 1.12754 0.747373 -0.0993395 -1.91573 -0.605544 1.83733 -0.120592 0.820553 0.284038 -1.83834 -0.558151 
st	op	ed	phy
SITE: 0	1	3	0
SITE: 0	2	4	0
SITE: 0	4	5	1
SITE: 0	3	6	1
SITE: 0	6	7	0
SITE: 0	7	8	0
SITE: 0	5	9	1
SITE: 0	8	10	0
SITE: 0	10	11	1
SITE: 0	11	12	0
SITE: 0	12	13	1
SITE: 0	13	14	1
SITE: 0	14	15	1
SITE: 0	15	16	1
SITE: 0	16	17	0
SITE: 0	17	18	1
SITE: 0	18	19	1
SITE: 0	19	20	0
SITE: 0	20	21	0
SITE: 0	21	22	0
SITE: 0	0	23	0
SITE: 9	23	24	1
SITE: 9	24	25	1
SITE: 9	25	26	1
SITE: 9	26	27	0
SITE: 9	27	28	1
SITE: 9	28	29	1
SITE: 9	29	30	1
SITE: 9	30	31	0
SITE: 9	31	32	1
SITE: 9	32	33	0
SITE: 9	33	34	1
SITE: 9	34	35	0
SITE: 9	35	36	1
SITE: 9	36	37	0
SITE: 9	37	38	1
SITE: 9	38	39	1
SITE: 9	39	40	0
SITE: 9	40	41	1
SITE: 9	22	42	0
SITE: 9	42	43	1
SITE: 9	43	44	0
SITE: 9	44	45	0
SITE: 9	41	46	1
SITE: 9	46	47	0
SITE: 9	45	48	1
SITE: 9	48	49	1
SITE: 9	49	50	0
SITE: 9	50	51	0
SITE: 9	51	52	0
SITE: 9	52	53	0
SITE: 9	53	54	1
SITE: 9	54	55	1
SITE: 9	55	56	0
SITE: 9	56	57	1
SITE: 9	57	58	1
SITE: 9	58	59	0
SITE: 9	47	60	1
SITE: 9	60	61	1
SITE: 9	59	62	1
SITE: 9	62	63	0
SITE: 9	61	63	0
SITE: 9	63	63	1
SITE: 9	9	9	0
MPS Info: -4.18173 1.36579 0.073623 
Writing MPS done!
