LHHLLHHLLHHHHLLLLHLLLLHLHLHLLLHLLLLLLLHLHHLLHHHHHHLLHLHHHLHLLHHL
W_LIST: -0.990523 -1.03733 -0.642547 -1.47902 -1.91595 1.61813 0.242628 1.54946 0.537655 -0.039019 -1.00406 -0.725004 -1.77637 -0.603246 -1.09255 -0.0454583 1.42097 -1.55862 -1.48759 1.36919 1.64788 1.38906 0.29028 0.30876 0.901697 1.64927 0.519705 -1.01515 -0.808233 -0.469667 -0.763929 0.558015 -0.827112 1.09468 -1.7582 1.37483 -1.24653 1.68357 -0.751305 -0.95407 -0.25601 0.806691 1.48542 -0.843938 -1.07229 0.31484 0.482192 -0.817503 -0.623046 1.12123 -0.751424 0.108239 0.404853 -0.789976 -0.310713 0.251639 -1.76645 1.26803 1.85671 1.99417 0.276593 1.99833 1.51781 -1.62669 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 0	0	4	0
SITE: 2	4	5	0
SITE: 2	5	6	0
SITE: 2	2	7	1
SITE: 3	7	8	1
SITE: 3	3	9	0
SITE: 6	8	10	1
SITE: 6	10	11	1
SITE: 6	6	12	1
SITE: 9	12	13	1
SITE: 9	11	14	1
SITE: 9	14	15	0
SITE: 9	9	16	1
SITE: 13	16	17	1
SITE: 13	17	18	1
SITE: 13	18	19	0
SITE: 13	19	20	1
SITE: 13	13	21	0
SITE: 15	21	22	1
SITE: 15	22	23	1
SITE: 15	20	24	1
SITE: 15	24	25	0
SITE: 15	25	26	1
SITE: 15	26	27	0
SITE: 15	27	28	0
SITE: 15	28	29	0
SITE: 15	23	30	0
SITE: 15	30	31	1
SITE: 15	31	32	1
SITE: 15	32	33	0
SITE: 15	33	34	1
SITE: 15	34	35	0
SITE: 15	35	36	1
SITE: 15	36	37	0
SITE: 15	37	38	1
SITE: 15	38	39	1
SITE: 15	39	40	0
SITE: 15	15	41	1
SITE: 29	41	42	0
SITE: 29	42	43	1
SITE: 29	43	44	0
SITE: 29	44	45	1
SITE: 29	40	46	0
SITE: 29	46	47	0
SITE: 29	47	48	1
SITE: 29	48	49	1
SITE: 29	49	50	0
SITE: 29	50	51	0
SITE: 29	51	52	1
SITE: 29	45	53	0
SITE: 29	53	54	0
SITE: 29	52	55	0
SITE: 29	55	56	0
SITE: 29	56	57	1
SITE: 29	57	58	1
SITE: 29	58	59	0
SITE: 29	59	60	1
SITE: 29	60	61	0
SITE: 29	61	62	0
SITE: 29	62	63	0
SITE: 29	63	63	0
SITE: 29	29	54	1
WARN: Unitary gate is identity
SITE: 54	54	54	0
MPS Info: -6.41969 2.15576 0.275125 
Writing MPS done!
