HLHHHHHLHLLHLLHHHHLLLLHHHHHHHHLHLHLLLHLHLLHHHLHHLHLLLHHLHLHHHLHL
W_LIST: -0.367547 -0.821329 1.36842 1.47937 -1.68236 -0.379388 -1.29449 0.351238 -1.12811 -0.324431 -0.268551 -1.86943 -0.555328 -0.0309417 0.958224 -0.49865 0.27521 -1.03646 -1.56792 1.02322 1.75595 -1.12369 -0.317478 1.86614 0.922572 -1.73349 0.827305 -0.526616 -1.76319 -0.931324 -0.220009 -1.66124 1.46993 -1.30197 1.51024 -0.506334 1.56085 -1.17485 -0.563854 1.83511 0.514619 1.51567 0.281742 -1.91422 1.72315 0.65284 -1.88833 -0.0375614 0.531477 -0.0910954 0.758969 -0.960832 1.43949 -1.99638 0.490916 1.82694 -1.97984 1.58596 0.511501 1.75142 -1.54805 -0.202267 -0.22163 -1.00417 
st	op	ed	phy
SITE: 0	2	3	0
SITE: 0	3	4	0
SITE: 0	4	5	1
SITE: 0	1	6	0
SITE: 0	6	7	1
SITE: 0	5	8	1
SITE: 0	8	9	1
SITE: 0	9	10	0
SITE: 0	0	11	0
SITE: 7	11	12	1
SITE: 7	12	13	0
SITE: 7	13	14	1
SITE: 7	14	15	0
SITE: 7	15	16	1
SITE: 7	10	17	1
SITE: 7	17	18	1
SITE: 7	18	19	0
SITE: 7	19	20	1
SITE: 7	20	21	1
SITE: 7	21	22	0
SITE: 7	16	23	1
SITE: 7	23	24	0
SITE: 7	24	25	0
SITE: 7	25	26	1
SITE: 7	26	27	0
SITE: 7	22	28	0
SITE: 7	28	29	1
SITE: 7	29	30	1
SITE: 7	27	31	1
SITE: 7	31	32	1
SITE: 7	32	33	1
SITE: 7	33	34	1
SITE: 7	34	35	1
SITE: 7	35	36	0
SITE: 7	36	37	1
SITE: 7	37	38	1
SITE: 7	38	39	0
SITE: 7	39	40	0
SITE: 7	30	41	0
SITE: 7	41	42	1
SITE: 7	40	43	1
SITE: 7	43	44	1
SITE: 7	44	45	0
SITE: 7	45	46	1
SITE: 7	46	47	1
SITE: 7	42	48	1
SITE: 7	48	49	1
SITE: 7	47	50	1
SITE: 7	50	51	1
SITE: 7	51	52	0
SITE: 7	52	53	1
SITE: 7	53	54	1
SITE: 7	49	55	1
SITE: 7	55	56	1
SITE: 7	56	57	1
SITE: 7	57	58	1
SITE: 7	54	59	1
SITE: 7	59	60	0
SITE: 7	60	61	1
SITE: 7	61	62	0
SITE: 7	63	63	0
SITE: 7	62	62	0
SITE: 7	7	58	0
WARN: Unitary gate is identity
SITE: 58	58	58	1
MPS Info: 10.7789 1.16419 0.0379543 
Writing MPS done!
