LLHHLHLLHLLHLHHLHLLHLLLLHLLHLLLHHLHLHHHHLLLLHHLHLHHLHHHLHLHLLHLL
W_LIST: 2.37541 -2.17239 -2.49924 2.71099 2.50252 -2.05425 -1.94156 1.62852 -2.28334 -0.529178 0.209669 1.7681 2.29323 -1.74289 0.363138 3.1731 1.01389 -1.60389 2.62183 0.0621283 -0.725724 0.893162 -0.397446 -1.66202 -1.02311 -1.54695 -3.19461 3.00739 -0.113463 2.64421 -1.1413 2.46077 -2.17669 1.25223 -2.48291 2.219 -2.20154 -1.66694 1.5042 0.140387 2.24234 1.59379 0.529924 0.974914 -1.72954 -3.07544 -0.467281 1.29544 0.303361 2.0992 1.96141 2.22572 -1.16049 1.0739 1.77826 0.88375 1.9962 -0.796487 -3.16476 -1.69446 1.48301 3.00332 1.10869 2.14928 
st	op	ed	phy
SITE: 0	2	3	1
SITE: 0	1	4	0
SITE: 0	0	5	1
SITE: 3	4	6	1
SITE: 3	5	7	1
SITE: 3	6	8	0
SITE: 3	8	9	1
SITE: 3	7	10	1
SITE: 3	9	11	0
SITE: 3	11	12	0
SITE: 3	12	13	1
SITE: 3	13	14	1
SITE: 3	10	15	1
SITE: 3	15	16	1
SITE: 3	3	17	0
SITE: 14	17	18	0
SITE: 14	18	19	1
SITE: 14	16	20	0
SITE: 14	20	21	0
SITE: 14	21	22	1
SITE: 14	22	23	0
SITE: 14	23	24	0
SITE: 14	14	25	1
SITE: 19	25	26	0
SITE: 19	26	27	0
SITE: 19	27	28	0
SITE: 19	19	29	0
SITE: 24	29	30	1
SITE: 24	30	31	0
SITE: 24	31	32	0
SITE: 24	32	33	1
SITE: 24	33	34	1
SITE: 24	34	35	1
SITE: 24	35	36	1
SITE: 24	36	37	1
SITE: 24	37	38	1
SITE: 24	38	39	0
SITE: 24	39	40	0
SITE: 24	40	41	1
SITE: 24	41	42	1
SITE: 24	42	43	0
SITE: 24	43	44	1
SITE: 24	44	45	1
SITE: 24	45	46	1
SITE: 24	46	47	0
SITE: 24	47	48	0
SITE: 24	48	49	1
SITE: 24	49	50	0
SITE: 24	50	51	0
SITE: 24	51	52	1
SITE: 24	52	53	1
SITE: 24	53	54	0
SITE: 24	54	55	0
SITE: 24	55	56	1
SITE: 24	56	57	0
SITE: 24	57	58	0
SITE: 24	58	59	1
SITE: 24	59	60	0
SITE: 24	60	61	1
SITE: 24	61	62	0
SITE: 24	63	63	1
SITE: 24	62	62	1
SITE: 24	28	28	0
SITE: 24	24	24	0
MPS Info: -1.69302 1.27501 0.0512044 
Writing MPS done!
