HHHHHLLHHHHHHLLHHHHLLLLLHLLHHHLLHLHLHHLLLLHLHHLLHLLHHLLLHHHHLHLH
W_LIST: 1.42968 1.0807 1.60146 2.17172 0.961511 -1.30016 2.04425 1.78184 -1.5462 -0.255051 0.150093 0.694682 1.85155 -0.62325 2.21072 -3.04151 0.270843 -2.24735 -2.53033 -1.94671 2.8157 1.97129 0.0785496 -2.4447 1.51523 -0.838889 -0.261829 -0.0328575 -1.98171 0.242541 -0.909691 0.783072 -1.17931 -1.10553 -2.08262 1.03624 -2.86976 -1.76457 -2.45808 1.60107 1.41898 3.14732 -2.32442 1.87803 1.40839 -1.91468 1.88808 0.490298 1.06354 2.39144 -2.9092 2.13222 2.69515 -2.11877 0.0165478 1.46813 2.24474 2.32301 -3.13249 1.82663 0.577312 -0.802375 0.036689 0.370164 
st	op	ed	phy
SITE: 0	2	3	0
SITE: 0	3	4	0
SITE: 0	0	5	0
SITE: 1	4	6	0
SITE: 1	6	7	1
SITE: 1	5	8	0
SITE: 1	8	9	1
SITE: 1	1	10	0
SITE: 7	9	11	1
SITE: 7	7	12	0
SITE: 10	12	13	0
SITE: 10	11	14	0
SITE: 10	14	15	1
SITE: 10	15	16	1
SITE: 10	13	17	0
SITE: 10	17	18	1
SITE: 10	18	19	1
SITE: 10	19	20	0
SITE: 10	20	21	1
SITE: 10	21	22	1
SITE: 10	16	23	1
SITE: 10	23	24	0
SITE: 10	24	25	0
SITE: 10	25	26	0
SITE: 10	26	27	1
SITE: 10	27	28	1
SITE: 10	28	29	1
SITE: 10	10	30	0
SITE: 22	30	31	0
SITE: 22	31	32	1
SITE: 22	32	33	1
SITE: 22	33	34	0
SITE: 22	34	35	1
SITE: 22	35	36	1
SITE: 22	36	37	1
SITE: 22	37	38	1
SITE: 22	38	39	0
SITE: 22	39	40	1
SITE: 22	40	41	1
SITE: 22	41	42	1
SITE: 22	42	43	1
SITE: 22	43	44	1
SITE: 22	44	45	0
SITE: 22	45	46	1
SITE: 22	46	47	1
SITE: 22	47	48	0
SITE: 22	48	49	0
SITE: 22	49	50	1
SITE: 22	50	51	0
SITE: 22	51	52	0
SITE: 22	52	53	0
SITE: 22	53	54	0
SITE: 22	54	55	1
SITE: 22	55	56	1
SITE: 22	56	57	0
SITE: 22	57	58	0
SITE: 22	58	59	1
SITE: 22	59	60	0
SITE: 22	60	61	1
SITE: 22	61	62	1
SITE: 22	63	63	0
SITE: 22	29	62	0
WARN: Unitary gate is identity
SITE: 62	62	62	0
WARN: Unitary gate is identity
SITE: 22	22	22	1
MPS Info: 8.80947 1.16719 0.249551 
Writing MPS done!
