LHLLHLLLHHHHLLLHLHHLLHHLLHLLLLHLHLLHLLLHLHLHHHLHHLLLLLLHHLHLHHLL
W_LIST: -0.553299 -2.68586 2.35391 -3.29328 -0.968427 2.77982 1.92937 -2.72979 1.96443 0.494287 -1.1341 1.52673 -0.623164 -0.456495 0.643765 -1.84156 1.4355 2.8998 -0.888736 3.28048 -0.482812 0.573138 1.56646 0.83958 -2.64119 -1.15854 2.1588 2.77349 -2.25996 -1.39047 -1.58371 2.80044 2.65349 0.527146 -0.464282 2.98561 -1.55226 2.89706 -0.0724622 -1.58224 -0.687476 -3.1396 -3.17465 -2.09682 -0.108084 -1.3167 1.53037 -1.61345 -0.0985605 -1.9578 3.02539 -2.84128 -1.83188 -3.30279 -3.07988 -0.570367 2.84857 -1.74685 -0.860449 -0.908104 2.70966 -0.944075 1.86086 -2.44545 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 0	3	4	0
SITE: 0	2	5	1
SITE: 0	5	6	1
SITE: 0	6	7	1
SITE: 0	7	8	0
SITE: 0	8	9	0
SITE: 0	4	10	1
SITE: 0	10	11	1
SITE: 0	11	12	0
SITE: 0	0	13	0
SITE: 9	13	14	0
SITE: 9	14	15	1
SITE: 9	15	16	1
SITE: 9	16	17	1
SITE: 9	17	18	0
SITE: 9	18	19	1
SITE: 9	19	20	1
SITE: 9	20	21	0
SITE: 9	21	22	0
SITE: 9	22	23	0
SITE: 9	23	24	1
SITE: 9	24	25	0
SITE: 9	25	26	1
SITE: 9	26	27	1
SITE: 9	27	28	1
SITE: 9	28	29	0
SITE: 9	9	30	0
SITE: 12	30	31	1
SITE: 12	31	32	1
SITE: 12	32	33	0
SITE: 12	29	34	0
SITE: 12	34	35	0
SITE: 12	35	36	0
SITE: 12	33	37	1
SITE: 12	37	38	1
SITE: 12	36	39	0
SITE: 12	39	40	1
SITE: 12	40	41	0
SITE: 12	41	42	1
SITE: 12	42	43	0
SITE: 12	43	44	1
SITE: 12	38	45	0
SITE: 12	45	46	1
SITE: 12	46	47	1
SITE: 12	47	48	1
SITE: 12	44	49	1
SITE: 12	49	50	0
SITE: 12	50	51	1
SITE: 12	51	52	0
SITE: 12	52	53	0
SITE: 12	53	54	0
SITE: 12	54	55	0
SITE: 12	55	56	1
SITE: 12	56	57	0
SITE: 12	57	58	0
SITE: 12	58	59	0
SITE: 12	59	60	0
SITE: 12	60	61	0
SITE: 12	61	62	1
SITE: 12	63	63	0
WARN: Unitary gate is identity
SITE: 62	62	62	1
WARN: Unitary gate is identity
SITE: 48	48	48	0
WARN: Unitary gate is identity
SITE: 12	12	12	1
MPS Info: -14.0026 0.842688 0.684553 
Writing MPS done!
