LHHLHHHHLLLHLLHHHLLHLLLLHLHLLHHLHHLLLLHHHLLLLHLLHLLLLLLLLHHHHHHH
W_LIST: 0.431315 0.792507 -1.9199 -3.02693 0.629325 2.22646 -2.26023 -3.16883 1.34892 0.241978 -1.18101 2.85782 -0.199474 -1.73233 -1.32312 -2.51358 2.39443 -3.42561 -2.63408 -1.50651 2.89697 -0.555034 1.19853 1.78303 1.62718 -2.05157 -0.850685 -0.930126 -0.43053 1.11141 -1.99521 -2.39809 1.82023 3.1708 -0.950248 -2.73854 -0.97165 3.29146 -3.04471 -3.34447 0.149353 2.16178 -0.352039 -3.29723 -3.56769 -2.72297 -0.906749 -0.888407 -0.94384 -2.47301 1.35848 -3.02008 1.06885 -0.121029 -1.44879 -1.26918 2.85769 1.9714 -0.981187 2.45188 -3.34637 3.14521 3.2235 -0.732367 
st	op	ed	phy
SITE: 0	2	3	1
SITE: 0	3	4	0
SITE: 0	1	5	0
SITE: 0	5	6	0
SITE: 0	6	7	1
SITE: 0	7	8	1
SITE: 0	4	9	0
SITE: 0	8	10	1
SITE: 0	10	11	0
SITE: 0	11	12	0
SITE: 0	0	13	1
SITE: 9	13	14	0
SITE: 9	12	15	1
SITE: 9	15	16	1
SITE: 9	16	17	0
SITE: 9	17	18	0
SITE: 9	18	19	0
SITE: 9	14	20	1
SITE: 9	20	21	1
SITE: 9	21	22	0
SITE: 9	22	23	1
SITE: 9	23	24	1
SITE: 9	19	25	1
SITE: 9	25	26	0
SITE: 9	24	27	0
SITE: 9	27	28	0
SITE: 9	26	29	0
SITE: 9	29	30	0
SITE: 9	30	31	1
SITE: 9	31	32	0
SITE: 9	32	33	0
SITE: 9	33	34	0
SITE: 9	34	35	0
SITE: 9	35	36	0
SITE: 9	36	37	0
SITE: 9	37	38	1
SITE: 9	38	39	1
SITE: 9	39	40	1
SITE: 9	40	41	1
SITE: 9	41	42	1
SITE: 9	42	43	0
SITE: 9	43	44	0
SITE: 9	44	45	0
SITE: 9	45	46	1
SITE: 9	46	47	0
SITE: 9	28	48	1
SITE: 9	48	49	1
SITE: 9	49	50	0
SITE: 9	50	51	1
SITE: 9	51	52	0
SITE: 9	52	53	1
SITE: 9	53	54	0
SITE: 9	54	55	0
SITE: 9	55	56	0
SITE: 9	56	57	1
SITE: 9	57	58	0
SITE: 9	58	59	1
SITE: 9	59	60	0
SITE: 9	60	61	1
SITE: 9	61	62	0
SITE: 9	62	63	0
SITE: 9	63	63	1
WARN: Unitary gate is identity
SITE: 9	9	9	1
WARN: Unitary gate is identity
SITE: 47	47	47	1
MPS Info: -3.40399 1.66766 0.000310311 
Writing MPS done!
