LLHHLLLLLHHHLLLLHHHHHHLLHLLHLHLLLLHLHHLLLLHLLLLLLLLHLHHLLHLLHHLH
W_LIST: 3.62189 0.905614 0.767211 -0.912704 -0.850662 1.22756 0.714105 -0.436692 0.634929 -3.37788 3.0865 -3.02912 -3.22766 0.0219255 -1.07598 -2.43873 -3.13062 -3.65506 -1.05031 3.28901 -0.431776 -1.66923 1.1656 -1.31222 0.776172 2.95142 2.65419 3.49534 -3.3577 1.70931 2.41704 1.04734 1.35824 -1.61356 2.48033 -2.09978 -2.79734 -3.09129 0.0918738 0.813063 -0.0504789 0.85799 -0.930616 -3.28393 2.43903 2.52209 -0.487007 -1.05969 -2.71194 -3.2611 1.04721 3.21895 2.59327 -1.07395 -2.6516 -2.84549 2.93561 2.03095 -2.17658 -1.22021 1.30863 0.608819 0.45368 -2.11818 
st	op	ed	phy
SITE: 0	0	3	1
SITE: 1	2	4	0
SITE: 1	4	5	0
SITE: 1	5	6	1
SITE: 1	1	7	1
SITE: 3	7	8	0
SITE: 3	8	9	1
SITE: 3	9	10	1
SITE: 3	10	11	0
SITE: 3	11	12	1
SITE: 3	12	13	0
SITE: 3	13	14	1
SITE: 3	14	15	0
SITE: 3	15	16	0
SITE: 3	16	17	1
SITE: 3	17	18	1
SITE: 3	18	19	1
SITE: 3	19	20	0
SITE: 3	6	21	1
SITE: 3	21	22	1
SITE: 3	22	23	1
SITE: 3	23	24	0
SITE: 3	24	25	0
SITE: 3	25	26	1
SITE: 3	26	27	1
SITE: 3	27	28	0
SITE: 3	28	29	0
SITE: 3	29	30	0
SITE: 3	30	31	1
SITE: 3	31	32	1
SITE: 3	32	33	1
SITE: 3	33	34	0
SITE: 3	34	35	0
SITE: 3	35	36	0
SITE: 3	36	37	1
SITE: 3	37	38	1
SITE: 3	38	39	0
SITE: 3	39	40	1
SITE: 3	40	41	0
SITE: 3	41	42	1
SITE: 3	42	43	1
SITE: 3	43	44	0
SITE: 3	44	45	1
SITE: 3	45	46	1
SITE: 3	46	47	0
SITE: 3	47	48	0
SITE: 3	48	49	0
SITE: 3	49	50	0
SITE: 3	50	51	1
SITE: 3	51	52	0
SITE: 3	52	53	1
SITE: 3	53	54	1
SITE: 3	54	55	1
SITE: 3	55	56	0
SITE: 3	56	57	1
SITE: 3	57	58	0
SITE: 3	58	59	0
SITE: 3	59	60	0
SITE: 3	60	61	0
SITE: 3	61	62	0
SITE: 3	63	63	1
SITE: 3	20	62	1
SITE: 3	62	62	1
WARN: Unitary gate is identity
SITE: 3	3	3	1
MPS Info: -8.56183 1.58554 0.0350238 
Writing MPS done!
