HHHHHLHHLHLHLHHLLHHLHHLLHHHLLHLHHLHHLHHLHHLHLHHHHHLHHLLHLHHLLHLH
W_LIST: -0.739485 -2.1113 1.20583 2.63925 1.2122 1.60099 1.41329 2.15833 -0.781455 -2.16939 -0.214643 -2.4796 -2.80982 -1.18387 -1.58858 1.35274 1.04002 1.90751 -0.692218 1.02244 -0.580859 2.70855 2.2317 -0.746082 0.592368 -1.27701 2.7296 0.639121 -0.746811 1.17056 0.838946 -1.68109 -2.51048 -1.08961 2.36934 2.22931 0.211608 -0.131174 0.881661 -0.39083 -2.8597 -1.98559 -0.635074 1.95586 0.92878 -2.24252 2.17892 2.29352 0.152601 -1.32715 0.086548 2.48353 -1.24711 1.65316 2.14314 0.3595 -1.94565 0.99705 -0.15915 0.709603 -2.2956 1.52029 -0.775304 0.556489 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 0	3	4	0
SITE: 0	2	5	0
SITE: 0	5	6	1
SITE: 0	6	7	0
SITE: 0	7	8	0
SITE: 0	0	9	1
SITE: 4	9	10	1
SITE: 4	8	11	0
SITE: 4	11	12	1
SITE: 4	12	13	0
SITE: 4	10	14	0
SITE: 4	14	15	1
SITE: 4	13	16	1
SITE: 4	16	17	1
SITE: 4	17	18	0
SITE: 4	18	19	1
SITE: 4	19	20	1
SITE: 4	20	21	1
SITE: 4	21	22	0
SITE: 4	22	23	1
SITE: 4	23	24	0
SITE: 4	24	25	0
SITE: 4	25	26	1
SITE: 4	26	27	0
SITE: 4	27	28	1
SITE: 4	28	29	0
SITE: 4	29	30	0
SITE: 4	30	31	1
SITE: 4	31	32	1
SITE: 4	32	33	1
SITE: 4	33	34	0
SITE: 4	34	35	0
SITE: 4	35	36	0
SITE: 4	36	37	1
SITE: 4	37	38	1
SITE: 4	38	39	0
SITE: 4	4	40	0
SITE: 15	40	41	1
SITE: 15	41	42	1
SITE: 15	42	43	0
SITE: 15	43	44	0
SITE: 15	44	45	1
SITE: 15	45	46	1
SITE: 15	46	47	0
SITE: 15	47	48	0
SITE: 15	48	49	0
SITE: 15	49	50	1
SITE: 15	39	51	0
SITE: 15	51	52	0
SITE: 15	52	53	1
SITE: 15	53	54	1
SITE: 15	54	55	1
SITE: 15	15	56	1
SITE: 50	56	57	0
SITE: 50	57	58	0
SITE: 50	55	59	0
SITE: 50	59	60	1
SITE: 50	60	61	0
SITE: 50	61	62	0
SITE: 50	63	63	0
SITE: 50	58	62	1
WARN: Unitary gate is identity
SITE: 50	50	50	1
WARN: Unitary gate is identity
SITE: 62	62	62	0
MPS Info: 19.9466 1.19777 0.0588056 
Writing MPS done!
