LLLHHLLLHHHHLLLHHHHHLLLLHHHHHHLHHHLLLHHHLHHHLHLLLHHLHHHHHHHLHHHL
W_LIST: 2.35945 -2.46838 3.59907 -2.91786 3.00754 -0.174826 -3.57025 -4.30778 3.00515 -2.52754 -2.75622 1.21241 -2.22325 -0.74846 3.5296 -2.27194 3.25915 1.4643 1.03112 -4.30076 3.67295 -2.90474 -4.29365 1.75274 4.13751 3.73901 0.558841 3.47416 -2.68019 -2.7656 1.04101 4.24199 -2.5838 -0.830956 2.84177 3.30878 0.469347 -3.03689 -2.30995 -2.8122 1.06252 -3.19179 1.61025 -0.271853 1.26794 1.44393 -3.86354 -0.144036 -1.5231 -2.21764 -4.05233 0.924795 0.585503 -0.720635 0.108293 -0.0854641 -0.568259 -3.43997 -0.754796 -1.11511 4.01716 2.61546 0.725412 3.14671 
st	op	ed	phy
SITE: 0	2	3	1
SITE: 0	3	4	1
SITE: 0	1	5	0
SITE: 0	0	6	1
SITE: 4	6	7	0
SITE: 4	7	8	0
SITE: 4	8	9	0
SITE: 4	4	10	0
SITE: 5	10	11	1
SITE: 5	9	12	1
SITE: 5	12	13	0
SITE: 5	11	14	0
SITE: 5	14	15	1
SITE: 5	15	16	1
SITE: 5	16	17	0
SITE: 5	17	18	0
SITE: 5	18	19	0
SITE: 5	19	20	1
SITE: 5	20	21	1
SITE: 5	21	22	0
SITE: 5	22	23	0
SITE: 5	23	24	1
SITE: 5	24	25	0
SITE: 5	25	26	0
SITE: 5	26	27	0
SITE: 5	27	28	0
SITE: 5	28	29	1
SITE: 5	29	30	1
SITE: 5	5	31	1
SITE: 13	31	32	0
SITE: 13	32	33	1
SITE: 13	33	34	1
SITE: 13	34	35	1
SITE: 13	35	36	1
SITE: 13	30	37	1
SITE: 13	37	38	1
SITE: 13	38	39	1
SITE: 13	39	40	1
SITE: 13	40	41	1
SITE: 13	41	42	1
SITE: 13	42	43	0
SITE: 13	13	44	0
SITE: 36	44	45	1
SITE: 36	45	46	0
SITE: 36	46	47	0
SITE: 36	43	48	1
SITE: 36	48	49	0
SITE: 36	49	50	1
SITE: 36	50	51	1
SITE: 36	47	52	1
SITE: 36	52	53	0
SITE: 36	53	54	1
SITE: 36	36	55	0
SITE: 51	51	56	1
SITE: 54	54	57	1
SITE: 55	57	58	1
SITE: 55	58	59	1
SITE: 55	59	60	0
SITE: 55	60	61	0
SITE: 55	61	62	0
SITE: 55	63	63	1
SITE: 55	55	62	1
SITE: 56	56	62	1
WARN: Unitary gate is identity
SITE: 62	62	62	0
MPS Info: 19.4689 0.799599 0.0359432 
Writing MPS done!
