HHLLHLHHHHLHHLLHLLHLHHHLHHHHLHLLHLHLHHHLLLHLHLLHHLLHHLHLHHHHLLLH
W_LIST: 0.781857 2.20672 -1.04915 -4.18751 4.01261 -0.498101 1.14358 2.55632 0.281394 2.71503 -1.66881 2.91255 2.61723 -0.407725 2.80208 2.65424 1.92749 -0.389819 3.14829 -1.04274 -0.592706 1.66124 -2.4905 -1.43354 3.06744 4.323 -3.15502 -3.16298 -3.24874 -2.39096 -4.04766 -4.00729 0.299298 2.50513 -1.27428 1.10628 1.92429 1.53978 2.56465 0.580403 -3.24166 0.0448224 1.11011 -2.20807 -1.83072 1.42866 0.354108 4.21732 -0.186227 -1.20743 3.12542 -0.577704 -2.479 1.8086 -3.74444 1.93493 1.9027 4.32682 0.176302 -2.99164 -3.99719 1.08877 -4.20721 -3.84365 
st	op	ed	phy
SITE: 0	1	3	0
SITE: 0	3	4	0
SITE: 0	4	5	0
SITE: 0	0	6	0
SITE: 2	6	7	0
SITE: 2	7	8	0
SITE: 2	8	9	0
SITE: 2	9	10	0
SITE: 2	10	11	0
SITE: 2	11	12	0
SITE: 2	12	13	0
SITE: 2	2	14	1
SITE: 5	14	15	1
SITE: 5	15	16	0
SITE: 5	16	17	1
SITE: 5	13	18	0
SITE: 5	18	19	0
SITE: 5	19	20	0
SITE: 5	20	21	0
SITE: 5	21	22	0
SITE: 5	22	23	1
SITE: 5	23	24	0
SITE: 5	24	25	0
SITE: 5	25	26	0
SITE: 5	26	27	1
SITE: 5	27	28	1
SITE: 5	28	29	0
SITE: 5	29	30	1
SITE: 5	30	31	0
SITE: 5	31	32	0
SITE: 5	32	33	0
SITE: 5	33	34	1
SITE: 5	34	35	1
SITE: 5	35	36	1
SITE: 5	36	37	0
SITE: 5	37	38	0
SITE: 5	38	39	0
SITE: 5	39	40	1
SITE: 5	40	41	0
SITE: 5	41	42	1
SITE: 5	42	43	0
SITE: 5	43	44	0
SITE: 5	44	45	1
SITE: 5	45	46	1
SITE: 5	46	47	0
SITE: 5	47	48	0
SITE: 5	48	49	0
SITE: 5	49	50	0
SITE: 5	50	51	1
SITE: 5	51	52	1
SITE: 5	52	53	1
SITE: 5	53	54	1
SITE: 5	54	55	1
SITE: 5	55	56	1
SITE: 5	56	57	0
SITE: 5	57	58	0
SITE: 5	58	59	0
SITE: 5	59	60	1
SITE: 5	60	61	0
SITE: 5	61	62	1
SITE: 5	62	63	0
SITE: 5	63	63	1
SITE: 5	17	17	0
SITE: 5	5	5	0
MPS Info: 14.8413 1.05896 0.00727388 
Writing MPS done!
