HLLHHHHHLLHHHHHHHLHLLLLLHLHHLHLLHLHHHLHHLLLHLHLLLLHHHLLLHLHHLHLH
W_LIST: -1.23077 -1.43466 1.76742 2.83519 -0.681742 -2.28717 -3.52083 -1.32893 2.72861 4.50258 0.627922 -1.02391 4.53355 -1.27222 -1.13581 3.51649 0.247907 -3.50993 -3.48479 -0.618397 3.86475 0.78703 0.534746 2.01428 -2.55418 -4.40139 3.14658 -4.11546 -2.10569 1.59411 3.00678 -1.08091 -4.18796 3.85619 -1.47106 -1.89496 -3.1823 2.3247 0.157136 -3.4371 -2.28095 -4.47922 4.11257 1.51225 -3.71111 -0.119669 -3.15682 -3.58706 1.61331 0.465996 -2.3309 -3.7249 3.98038 2.53826 -0.537182 -3.70664 -2.30155 -1.63141 2.1487 -2.86613 -1.64468 3.21138 -4.32479 1.94687 
st	op	ed	phy
SITE: 0	2	3	1
SITE: 0	3	4	0
SITE: 0	1	5	0
SITE: 0	5	6	1
SITE: 0	6	7	1
SITE: 0	7	8	1
SITE: 0	8	9	1
SITE: 0	9	10	1
SITE: 0	4	11	1
SITE: 0	11	12	1
SITE: 0	12	13	0
SITE: 0	0	14	1
SITE: 10	14	15	1
SITE: 10	15	16	0
SITE: 10	13	17	1
SITE: 10	17	18	0
SITE: 10	18	19	1
SITE: 10	16	20	0
SITE: 10	20	21	1
SITE: 10	19	22	0
SITE: 10	22	23	1
SITE: 10	23	24	1
SITE: 10	24	25	1
SITE: 10	25	26	0
SITE: 10	26	27	0
SITE: 10	27	28	1
SITE: 10	28	29	0
SITE: 10	29	30	0
SITE: 10	30	31	1
SITE: 10	31	32	0
SITE: 10	32	33	1
SITE: 10	33	34	1
SITE: 10	34	35	1
SITE: 10	35	36	1
SITE: 10	36	37	1
SITE: 10	37	38	1
SITE: 10	21	39	0
SITE: 10	39	40	1
SITE: 10	40	41	0
SITE: 10	41	42	0
SITE: 10	42	43	1
SITE: 10	43	44	0
SITE: 10	44	45	0
SITE: 10	38	46	1
SITE: 10	46	47	0
SITE: 10	47	48	0
SITE: 10	48	49	1
SITE: 10	45	50	0
SITE: 10	50	51	1
SITE: 10	51	52	1
SITE: 10	52	53	0
SITE: 10	53	54	1
SITE: 10	54	55	0
SITE: 10	55	56	0
SITE: 10	56	57	1
SITE: 10	57	58	0
SITE: 10	58	59	0
SITE: 10	59	60	1
SITE: 10	60	61	0
SITE: 10	61	62	0
SITE: 10	62	63	0
WARN: Unitary gate is identity
SITE: 63	63	63	0
WARN: Unitary gate is identity
SITE: 49	49	49	0
WARN: Unitary gate is identity
SITE: 10	10	10	1
MPS Info: 1.63694 0.727784 0.136097 
Writing MPS done!
