LHHLHHLLLLHHHHHLHHLLLLHHHHHHHLHHLHHLHLHHLHHHLLLLHLLHHHHLHLHHLHLH
W_LIST: -2.39002 -0.572089 -1.60278 4.60943 2.29114 -1.00379 4.16919 -1.07129 -4.12479 -1.53854 -1.37812 1.13848 -4.56081 -0.838839 -1.21386 1.30931 1.94328 -0.784519 3.44438 0.983619 -0.713417 -0.183747 -2.25548 3.8926 -1.37338 1.42501 0.117514 1.84648 -2.82882 -1.31848 -0.0763381 2.83056 -2.21552 -1.22068 0.0719658 -2.15447 2.90459 -2.86884 -2.96292 4.267 1.56461 0.48466 -0.759911 -3.49223 1.66774 4.09728 3.90209 0.265555 -0.0754313 -4.18004 -4.21615 1.98955 -2.45914 -1.87028 -4.59015 -3.67874 -3.39514 -0.225659 -2.59796 0.678041 2.5656 -3.81403 0.41602 -2.70773 
st	op	ed	phy
SITE: 0	0	3	0
SITE: 1	3	4	1
SITE: 1	2	5	1
SITE: 1	4	6	0
SITE: 1	6	7	1
SITE: 1	7	8	0
SITE: 1	8	9	0
SITE: 1	5	10	1
SITE: 1	10	11	1
SITE: 1	9	12	0
SITE: 1	12	13	1
SITE: 1	13	14	1
SITE: 1	14	15	1
SITE: 1	15	16	1
SITE: 1	16	17	0
SITE: 1	17	18	1
SITE: 1	18	19	1
SITE: 1	19	20	1
SITE: 1	20	21	0
SITE: 1	11	22	0
SITE: 1	22	23	1
SITE: 1	23	24	0
SITE: 1	24	25	1
SITE: 1	25	26	0
SITE: 1	1	27	1
SITE: 21	27	28	0
SITE: 21	28	29	1
SITE: 21	29	30	0
SITE: 21	26	31	0
SITE: 21	31	32	0
SITE: 21	32	33	0
SITE: 21	30	34	0
SITE: 21	33	35	1
SITE: 21	35	36	0
SITE: 21	36	37	0
SITE: 21	37	38	0
SITE: 21	38	39	1
SITE: 21	39	40	0
SITE: 21	40	41	1
SITE: 21	34	42	0
SITE: 21	42	43	1
SITE: 21	43	44	1
SITE: 21	44	45	1
SITE: 21	45	46	1
SITE: 21	46	47	1
SITE: 21	47	48	0
SITE: 21	48	49	0
SITE: 21	49	50	0
SITE: 21	50	51	0
SITE: 21	51	52	0
SITE: 21	52	53	1
SITE: 21	53	54	1
SITE: 21	54	55	1
SITE: 21	55	56	0
SITE: 21	56	57	1
SITE: 21	41	58	1
SITE: 21	58	59	1
SITE: 21	57	60	0
SITE: 21	60	61	1
SITE: 21	61	62	1
SITE: 21	63	63	1
SITE: 21	62	62	0
WARN: Unitary gate is identity
SITE: 59	59	59	1
WARN: Unitary gate is identity
SITE: 21	21	21	1
MPS Info: 9.50021 0.728383 0.0632039 
Writing MPS done!
