HHHLHHLHLHHHHHHHHLLHLHLHLLLLLHLLLLHLHLHHLLLLLHLHHLHLLHLLLHHHLHHH
W_LIST: -1.84011 2.75813 -1.10374 -0.787314 0.570992 3.43206 2.29837 3.13592 2.30712 2.40716 -3.65847 1.69551 -2.82853 -2.17941 3.52859 -2.52049 -2.81025 -0.00491855 1.16139 -1.47348 3.11205 0.649779 -2.38625 3.16998 -0.232095 -0.550778 2.91649 -1.2608 0.00695082 -0.554517 3.54748 -1.51124 -1.1592 0.663681 -2.67274 3.94764 3.5344 -0.973565 0.578725 2.95026 3.77791 -3.99189 2.2171 0.931611 -1.29684 2.85508 -3.80572 2.63909 -3.60878 -2.09658 2.72949 -2.7661 -1.34918 -1.52907 -1.98419 -0.174733 3.22985 -0.00443125 -0.399732 2.80103 -2.74491 2.53769 0.392675 2.88834 
st	op	ed	phy
SITE: 0	1	3	0
SITE: 0	0	4	1
SITE: 2	3	5	0
SITE: 2	5	6	0
SITE: 2	6	7	1
SITE: 2	7	8	0
SITE: 2	8	9	1
SITE: 2	9	10	0
SITE: 2	10	11	1
SITE: 2	4	12	0
SITE: 2	12	13	1
SITE: 2	13	14	1
SITE: 2	14	15	0
SITE: 2	15	16	1
SITE: 2	16	17	1
SITE: 2	11	18	0
SITE: 2	18	19	1
SITE: 2	19	20	1
SITE: 2	20	21	1
SITE: 2	17	22	0
SITE: 2	22	23	0
SITE: 2	23	24	0
SITE: 2	21	25	0
SITE: 2	25	26	0
SITE: 2	26	27	1
SITE: 2	27	28	0
SITE: 2	24	29	1
SITE: 2	28	30	1
SITE: 2	30	31	1
SITE: 2	31	32	0
SITE: 2	29	33	1
SITE: 2	33	34	1
SITE: 2	34	35	1
SITE: 2	35	36	1
SITE: 2	36	37	0
SITE: 2	37	38	0
SITE: 2	38	39	0
SITE: 2	39	40	0
SITE: 2	40	41	1
SITE: 2	41	42	0
SITE: 2	42	43	1
SITE: 2	32	44	0
SITE: 2	44	45	0
SITE: 2	45	46	0
SITE: 2	46	47	0
SITE: 2	47	48	0
SITE: 2	48	49	1
SITE: 2	49	50	0
SITE: 2	50	51	0
SITE: 2	51	52	0
SITE: 2	43	53	1
SITE: 2	53	54	1
SITE: 2	54	55	0
SITE: 2	52	56	0
SITE: 2	56	57	1
SITE: 2	57	58	1
SITE: 2	58	59	1
SITE: 2	59	60	0
SITE: 2	60	61	0
SITE: 2	61	62	0
SITE: 2	63	63	0
SITE: 2	62	62	0
WARN: Unitary gate is identity
SITE: 2	2	2	0
WARN: Unitary gate is identity
SITE: 55	55	55	0
MPS Info: 6.85423 1.06104 0.39243 
Writing MPS done!
