LHLLLHHHLHLHHHHHHHLLHLHHLHHHHLLHLLHHLHHHHLLHHHLHLHLHLLLLHLLLLLLL
W_LIST: -1.37781 -0.820274 0.29736 1.90853 2.19435 -3.1677 -3.45535 -2.98391 -1.05946 0.378622 1.61508 1.98107 0.893578 -2.12218 -3.86634 -0.96581 -0.124828 -3.9527 -2.84664 -3.10807 3.12286 3.5985 1.55297 -0.274284 1.76999 3.91095 3.74725 1.98806 -0.0885443 -3.40068 -2.39813 1.46684 -2.12949 1.22402 2.4541 -2.24048 -0.584863 -1.65941 1.39747 -1.57083 3.05498 -2.72099 -1.50327 -1.57542 -1.8173 -1.51112 -1.64277 1.91709 1.70667 0.982183 2.48052 3.52699 3.95429 0.350288 -1.90403 -2.0172 0.0085077 2.02736 2.66575 -0.423248 0.272621 -2.08237 1.01873 -2.64941 
st	op	ed	phy
SITE: 0	0	3	0
SITE: 1	3	4	1
SITE: 1	4	5	1
SITE: 1	5	6	1
SITE: 1	6	7	1
SITE: 1	7	8	1
SITE: 1	8	9	0
SITE: 1	2	10	0
SITE: 1	10	11	1
SITE: 1	11	12	0
SITE: 1	12	13	0
SITE: 1	13	14	1
SITE: 1	14	15	1
SITE: 1	15	16	1
SITE: 1	1	17	0
SITE: 9	17	18	1
SITE: 9	18	19	0
SITE: 9	19	20	0
SITE: 9	20	21	0
SITE: 9	21	22	1
SITE: 9	22	23	0
SITE: 9	16	24	1
SITE: 9	24	25	1
SITE: 9	25	26	0
SITE: 9	26	27	0
SITE: 9	27	28	0
SITE: 9	23	29	1
SITE: 9	29	30	0
SITE: 9	30	31	0
SITE: 9	31	32	0
SITE: 9	32	33	0
SITE: 9	33	34	1
SITE: 9	34	35	0
SITE: 9	35	36	1
SITE: 9	28	37	0
SITE: 9	37	38	1
SITE: 9	38	39	0
SITE: 9	39	40	1
SITE: 9	40	41	0
SITE: 9	41	42	0
SITE: 9	36	43	0
SITE: 9	43	44	1
SITE: 9	44	45	1
SITE: 9	45	46	1
SITE: 9	46	47	0
SITE: 9	47	48	0
SITE: 9	48	49	1
SITE: 9	49	50	0
SITE: 9	50	51	1
SITE: 9	51	52	0
SITE: 9	52	53	1
SITE: 9	9	54	1
SITE: 42	54	55	0
SITE: 42	55	56	0
SITE: 42	53	57	1
SITE: 42	57	58	1
SITE: 42	58	59	1
SITE: 42	59	60	0
SITE: 42	60	61	1
SITE: 42	61	62	0
SITE: 42	63	63	0
SITE: 42	62	62	1
SITE: 42	42	56	0
WARN: Unitary gate is identity
SITE: 56	56	56	1
MPS Info: 3.43189 1.35749 0.00261784 
Writing MPS done!
