HHHLLHLHHLLHLHHLLLLLLLHHLLHHHLHLLLHLLLLHLHLHLLLHHLLHLLHHLLHLHLLH
W_LIST: -1.44828 0.76333 0.206681 0.823162 -0.00709719 0.73441 -0.361901 0.9976 2.32464 -0.863979 2.44026 -3.59169 0.531467 -1.63572 -2.72318 0.248977 -1.29873 -1.50887 3.08508 2.99786 -0.785285 0.66267 -0.96362 2.44949 -1.21226 1.8356 2.80871 -2.39669 -0.900253 -3.59309 -0.935798 2.78047 -2.37701 -2.01314 -1.96773 1.16053 -3.59859 0.510942 0.356803 3.99998 -3.08999 -3.91835 2.8736 -2.88516 1.75883 1.37618 0.74228 3.78004 2.88802 3.15171 0.364358 -2.98172 1.03373 0.324848 2.77735 2.3218 0.627132 -0.702393 -3.27768 -3.82959 1.92167 -1.35288 -1.65979 -1.72027 
st	op	ed	phy
SITE: 0	0	3	1
SITE: 1	3	4	1
SITE: 1	1	5	0
SITE: 2	5	6	0
SITE: 2	2	7	0
SITE: 4	7	8	0
SITE: 4	8	9	0
SITE: 4	9	10	0
SITE: 4	10	11	1
SITE: 4	11	12	1
SITE: 4	4	13	1
SITE: 6	13	14	1
SITE: 6	14	15	1
SITE: 6	12	16	0
SITE: 6	16	17	0
SITE: 6	17	18	0
SITE: 6	18	19	1
SITE: 6	19	20	1
SITE: 6	20	21	0
SITE: 6	21	22	1
SITE: 6	22	23	1
SITE: 6	23	24	0
SITE: 6	24	25	0
SITE: 6	25	26	1
SITE: 6	26	27	0
SITE: 6	27	28	1
SITE: 6	28	29	1
SITE: 6	29	30	0
SITE: 6	15	31	1
SITE: 6	31	32	1
SITE: 6	32	33	0
SITE: 6	33	34	0
SITE: 6	34	35	1
SITE: 6	35	36	1
SITE: 6	36	37	0
SITE: 6	37	38	1
SITE: 6	30	39	1
SITE: 6	39	40	0
SITE: 6	40	41	0
SITE: 6	41	42	1
SITE: 6	42	43	1
SITE: 6	43	44	1
SITE: 6	44	45	1
SITE: 6	45	46	1
SITE: 6	46	47	1
SITE: 6	47	48	0
SITE: 6	48	49	0
SITE: 6	49	50	1
SITE: 6	50	51	1
SITE: 6	51	52	1
SITE: 6	52	53	1
SITE: 6	53	54	0
SITE: 6	54	55	0
SITE: 6	55	56	0
SITE: 6	56	57	1
SITE: 6	57	58	0
SITE: 6	58	59	1
SITE: 6	59	60	0
SITE: 6	60	61	0
SITE: 6	61	62	0
SITE: 6	63	63	1
SITE: 6	62	62	0
SITE: 6	38	38	0
SITE: 6	6	6	1
MPS Info: 1.59082 1.37108 0.0871817 
Writing MPS done!
