HHLHLLHHLHLHHLHHLHHLLHLLLLLHHLHLHHLLLHLHHLLLLHHHHLLLHHLLLLLLLHHL
W_LIST: -0.523683 1.60653 3.00887 -1.78516 3.23962 3.53491 -3.86933 -3.24205 3.59148 3.07894 -3.01264 -3.02058 -0.0243238 -1.52126 -1.51302 3.35834 -3.92788 -1.40443 3.06901 -0.271338 -0.763671 -1.43988 -1.08517 3.56096 2.79191 2.75905 -3.52977 -3.89899 -1.09124 -1.28542 3.17299 0.73662 3.6824 -0.892474 0.285962 -3.2157 -3.83712 -0.860741 1.99429 2.95781 3.46414 -1.37656 3.43287 0.100781 0.717918 0.64378 -2.93183 2.33603 -2.48108 1.30924 -0.133563 1.60447 3.64066 -3.91643 2.93768 -1.36314 2.18446 3.36119 2.85328 -2.27814 -0.0432584 -2.593 -0.407683 3.20424 
st	op	ed	phy
SITE: 0	2	3	1
SITE: 0	3	4	1
SITE: 0	4	5	1
SITE: 0	5	6	1
SITE: 0	6	7	1
SITE: 0	7	8	1
SITE: 0	8	9	1
SITE: 0	9	10	0
SITE: 0	10	11	0
SITE: 0	11	12	1
SITE: 0	1	13	0
SITE: 0	13	14	0
SITE: 0	14	15	1
SITE: 0	15	16	0
SITE: 0	16	17	0
SITE: 0	12	18	0
SITE: 0	18	19	0
SITE: 0	17	20	1
SITE: 0	20	21	0
SITE: 0	21	22	1
SITE: 0	22	23	0
SITE: 0	23	24	1
SITE: 0	24	25	1
SITE: 0	25	26	1
SITE: 0	26	27	0
SITE: 0	27	28	1
SITE: 0	19	29	1
SITE: 0	29	30	0
SITE: 0	30	31	0
SITE: 0	31	32	1
SITE: 0	32	33	0
SITE: 0	33	34	1
SITE: 0	0	35	1
SITE: 28	35	36	0
SITE: 28	36	37	0
SITE: 28	34	38	1
SITE: 28	38	39	1
SITE: 28	39	40	0
SITE: 28	40	41	0
SITE: 28	41	42	0
SITE: 28	42	43	1
SITE: 28	37	44	1
SITE: 28	44	45	1
SITE: 28	43	46	0
SITE: 28	46	47	1
SITE: 28	47	48	0
SITE: 28	48	49	1
SITE: 28	49	50	1
SITE: 28	50	51	0
SITE: 28	51	52	1
SITE: 28	52	53	0
SITE: 28	53	54	1
SITE: 28	54	55	1
SITE: 28	55	56	0
SITE: 28	56	57	1
SITE: 28	57	58	1
SITE: 28	58	59	1
SITE: 28	59	60	0
SITE: 28	60	61	1
SITE: 28	61	62	1
SITE: 28	63	63	1
WARN: Unitary gate is identity
SITE: 62	62	62	1
WARN: Unitary gate is identity
SITE: 45	45	45	1
WARN: Unitary gate is identity
SITE: 28	28	28	0
MPS Info: -6.73719 0.884413 0.147243 
Writing MPS done!
