HLLLHHLHLLHLLLLHLLHLHHLHHLLHHHLHLHHLLHLHHHHLHLLLLHLHLLLHLHHLHLHH
W_LIST: -2.90564 -2.91787 3.91271 -0.34972 0.921377 0.435772 3.99268 -0.661425 -0.191536 3.97904 3.44479 -2.02112 -2.99696 -1.32095 -3.39525 -3.20028 -2.5289 -3.22168 -2.95911 -1.99243 3.27415 -3.11934 0.702113 -0.493956 -2.20078 2.37508 -0.62211 -0.528 -1.42548 -3.247 2.36336 3.15988 0.286367 1.0687 2.22991 -0.874108 -2.25454 -3.26119 -3.1401 -0.865976 0.933855 -0.928414 2.41158 3.32618 -1.10368 1.36208 -3.36151 -0.190995 -3.877 -3.91507 -1.00493 3.63029 -1.79722 2.66133 -0.781752 -3.81178 2.90977 -1.52753 -2.41754 2.4369 2.51812 -2.76321 1.78351 -0.17788 
st	op	ed	phy
SITE: 0	2	3	1
SITE: 0	1	4	0
SITE: 0	0	5	1
SITE: 3	4	6	0
SITE: 3	6	7	1
SITE: 3	7	8	1
SITE: 3	3	9	0
SITE: 5	9	10	1
SITE: 5	10	11	0
SITE: 5	11	12	0
SITE: 5	12	13	0
SITE: 5	13	14	0
SITE: 5	14	15	0
SITE: 5	15	16	1
SITE: 5	16	17	0
SITE: 5	17	18	0
SITE: 5	18	19	1
SITE: 5	19	20	0
SITE: 5	20	21	0
SITE: 5	21	22	1
SITE: 5	8	23	0
SITE: 5	23	24	1
SITE: 5	24	25	1
SITE: 5	25	26	1
SITE: 5	26	27	0
SITE: 5	27	28	0
SITE: 5	28	29	1
SITE: 5	29	30	1
SITE: 5	30	31	1
SITE: 5	31	32	0
SITE: 5	32	33	1
SITE: 5	33	34	0
SITE: 5	34	35	0
SITE: 5	35	36	0
SITE: 5	36	37	0
SITE: 5	37	38	1
SITE: 5	38	39	0
SITE: 5	39	40	1
SITE: 5	40	41	0
SITE: 5	41	42	1
SITE: 5	42	43	0
SITE: 5	43	44	1
SITE: 5	44	45	1
SITE: 5	45	46	1
SITE: 5	46	47	0
SITE: 5	47	48	1
SITE: 5	48	49	0
SITE: 5	49	50	1
SITE: 5	50	51	0
SITE: 5	51	52	0
SITE: 5	52	53	0
SITE: 5	53	54	1
SITE: 5	54	55	0
SITE: 5	55	56	1
SITE: 5	56	57	1
SITE: 5	57	58	1
SITE: 5	58	59	1
SITE: 5	59	60	1
SITE: 5	60	61	0
SITE: 5	61	62	0
SITE: 5	62	63	0
SITE: 5	5	63	0
SITE: 22	63	63	0
WARN: Unitary gate is identity
SITE: 22	22	22	0
MPS Info: -4.33841 1.07127 0.104448 
Writing MPS done!
