HLLHHHHHLLHHHHHHHLHLLLLLHLHHLHLLHLHHHLHHLLLHLHLLLLHHHLLLHLHHLHLH
W_LIST: -1.05645 -1.23147 1.5171 2.43364 -0.585186 -1.96324 -3.02217 -1.14072 2.34216 3.86488 0.538989 -0.878893 3.89146 -1.09203 -0.974944 3.01845 0.212796 -3.01281 -2.99124 -0.530813 3.31738 0.675562 0.459009 1.729 -2.19243 -3.77802 2.70093 -3.53259 -1.80746 1.36833 2.58093 -0.92782 -3.59482 3.31003 -1.26271 -1.62657 -2.73159 1.99545 0.134881 -2.9503 -1.95789 -3.84482 3.53011 1.29807 -3.1855 -0.10272 -2.70972 -3.07902 1.38481 0.399996 -2.00077 -3.19734 3.41663 2.17877 -0.4611 -3.18166 -1.97558 -1.40036 1.84437 -2.4602 -1.41174 2.75655 -3.71226 1.67113 
st	op	ed	phy
SITE: 0	2	3	1
SITE: 0	3	4	0
SITE: 0	1	5	0
SITE: 0	5	6	1
SITE: 0	6	7	1
SITE: 0	7	8	1
SITE: 0	8	9	1
SITE: 0	9	10	1
SITE: 0	4	11	1
SITE: 0	11	12	1
SITE: 0	12	13	0
SITE: 0	0	14	1
SITE: 10	14	15	1
SITE: 10	15	16	0
SITE: 10	16	17	0
SITE: 10	17	18	0
SITE: 10	18	19	1
SITE: 10	19	20	0
SITE: 10	20	21	1
SITE: 10	13	22	1
SITE: 10	22	23	1
SITE: 10	23	24	1
SITE: 10	24	25	1
SITE: 10	25	26	0
SITE: 10	26	27	0
SITE: 10	27	28	1
SITE: 10	28	29	0
SITE: 10	29	30	0
SITE: 10	30	31	1
SITE: 10	31	32	0
SITE: 10	32	33	1
SITE: 10	33	34	1
SITE: 10	34	35	1
SITE: 10	35	36	1
SITE: 10	36	37	1
SITE: 10	37	38	1
SITE: 10	21	39	0
SITE: 10	39	40	1
SITE: 10	40	41	0
SITE: 10	41	42	0
SITE: 10	42	43	1
SITE: 10	38	44	1
SITE: 10	44	45	0
SITE: 10	43	46	0
SITE: 10	46	47	0
SITE: 10	47	48	0
SITE: 10	48	49	1
SITE: 10	45	50	0
SITE: 10	50	51	1
SITE: 10	51	52	1
SITE: 10	52	53	0
SITE: 10	53	54	1
SITE: 10	54	55	0
SITE: 10	55	56	0
SITE: 10	56	57	1
SITE: 10	57	58	0
SITE: 10	58	59	0
SITE: 10	59	60	1
SITE: 10	60	61	0
SITE: 10	61	62	0
SITE: 10	62	63	0
WARN: Unitary gate is identity
SITE: 63	63	63	0
WARN: Unitary gate is identity
SITE: 49	49	49	0
WARN: Unitary gate is identity
SITE: 10	10	10	1
MPS Info: 0.788976 0.921338 0.169397 
Writing MPS done!
