LHLHLLLLHLLLHLHLLHHLHLLLHLHHLHLLLHHLLHLHHLLLHLHLHLLHLHLHLLHLHLHL
W_LIST: -3.90071 -2.17746 1.01984 1.17324 3.47321 1.53738 2.59355 -0.440273 1.92572 -1.20647 1.72287 -0.164999 -2.80328 -0.948955 -3.46225 2.90515 -1.07365 -0.882271 2.98868 -0.617305 -0.655603 -3.95262 -1.69293 1.11834 -1.18721 -0.623709 -3.22217 -3.41045 -2.0462 2.25292 -0.283094 -1.48263 1.97945 -3.28913 3.5544 -1.09686 2.97026 0.280846 2.18174 -2.25301 -3.76524 3.33242 -1.77081 -0.969505 3.51336 -3.01822 2.69765 3.11597 2.67344 0.0969146 -2.62317 0.535396 0.675294 -1.12283 3.73931 -3.78784 1.97107 -0.320872 1.50807 -2.52089 -1.86791 -0.793604 -2.14712 3.82676 
st	op	ed	phy
SITE: 0	0	3	0
SITE: 1	1	4	1
SITE: 2	4	5	1
SITE: 2	3	6	0
SITE: 2	6	7	1
SITE: 2	7	8	0
SITE: 2	8	9	0
SITE: 2	9	10	0
SITE: 2	10	11	1
SITE: 2	2	12	1
SITE: 5	12	13	1
SITE: 5	13	14	0
SITE: 5	14	15	1
SITE: 5	15	16	1
SITE: 5	16	17	0
SITE: 5	11	18	0
SITE: 5	18	19	0
SITE: 5	5	20	1
SITE: 17	20	21	1
SITE: 17	21	22	0
SITE: 17	22	23	0
SITE: 17	23	24	1
SITE: 17	24	25	1
SITE: 17	25	26	0
SITE: 17	26	27	1
SITE: 17	27	28	1
SITE: 17	28	29	0
SITE: 17	29	30	0
SITE: 17	30	31	1
SITE: 17	31	32	0
SITE: 17	32	33	1
SITE: 17	33	34	1
SITE: 17	34	35	0
SITE: 17	35	36	0
SITE: 17	36	37	1
SITE: 17	37	38	1
SITE: 17	38	39	1
SITE: 17	39	40	1
SITE: 17	40	41	1
SITE: 17	41	42	1
SITE: 17	42	43	0
SITE: 17	43	44	0
SITE: 17	44	45	0
SITE: 17	45	46	0
SITE: 17	46	47	0
SITE: 17	47	48	1
SITE: 17	48	49	0
SITE: 17	49	50	1
SITE: 17	50	51	0
SITE: 17	51	52	0
SITE: 17	52	53	1
SITE: 17	53	54	1
SITE: 17	54	55	1
SITE: 17	55	56	1
SITE: 17	56	57	1
SITE: 17	57	58	0
SITE: 17	58	59	0
SITE: 17	59	60	0
SITE: 17	60	61	1
SITE: 17	61	62	0
SITE: 17	63	63	1
SITE: 17	62	62	1
SITE: 17	17	19	0
WARN: Unitary gate is identity
SITE: 19	19	19	0
MPS Info: -4.24441 0.765742 0.0719921 
Writing MPS done!
