HLHLHHLLHHHLLHLLHHLLHHHLHLLHLHHLLLHHHHLHLLHLLHHLLLLHHHLLLLHLLLLL
W_LIST: -2.51381 3.08734 -2.77687 1.26076 0.343288 -2.26187 1.33241 -2.79974 -0.174015 0.707903 1.54352 0.691674 0.363036 -0.777264 -1.64702 -0.43081 -1.01737 3.27438 -1.03542 2.47891 -0.623182 -3.10645 2.12474 -1.21445 -3.18095 -3.23854 -0.72989 -1.6639 -2.33268 1.71442 -2.11992 -0.54841 -0.931442 -1.60813 2.93493 -3.66121 -1.38753 -1.77668 -3.36202 0.183744 2.06595 -0.854881 3.06808 -0.490591 1.95199 -0.11682 1.18649 0.94995 2.6198 1.33322 -3.37005 3.41467 0.585685 -3.48475 3.9798 -1.31525 0.307057 -2.22549 2.70451 3.80628 -0.8153 1.34622 -0.268957 3.21352 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 0	2	4	1
SITE: 0	0	5	1
SITE: 3	5	6	1
SITE: 3	3	7	1
SITE: 4	7	8	0
SITE: 4	6	9	1
SITE: 4	9	10	0
SITE: 4	10	11	0
SITE: 4	11	12	1
SITE: 4	4	13	1
SITE: 8	13	14	1
SITE: 8	14	15	0
SITE: 8	8	16	0
SITE: 12	16	17	1
SITE: 12	17	18	0
SITE: 12	18	19	0
SITE: 12	19	20	1
SITE: 12	20	21	1
SITE: 12	21	22	1
SITE: 12	22	23	0
SITE: 12	23	24	0
SITE: 12	24	25	1
SITE: 12	25	26	0
SITE: 12	15	27	0
SITE: 12	27	28	1
SITE: 12	28	29	0
SITE: 12	29	30	0
SITE: 12	30	31	1
SITE: 12	31	32	0
SITE: 12	32	33	0
SITE: 12	33	34	0
SITE: 12	34	35	0
SITE: 12	35	36	1
SITE: 12	36	37	1
SITE: 12	37	38	1
SITE: 12	38	39	0
SITE: 12	39	40	0
SITE: 12	40	41	1
SITE: 12	41	42	0
SITE: 12	42	43	0
SITE: 12	26	44	0
SITE: 12	44	45	1
SITE: 12	45	46	1
SITE: 12	46	47	0
SITE: 12	47	48	1
SITE: 12	48	49	1
SITE: 12	49	50	1
SITE: 12	50	51	0
SITE: 12	51	52	0
SITE: 12	52	53	0
SITE: 12	53	54	1
SITE: 12	54	55	1
SITE: 12	55	56	0
SITE: 12	56	57	1
SITE: 12	57	58	0
SITE: 12	58	59	0
SITE: 12	59	60	1
SITE: 12	60	61	0
SITE: 12	61	62	1
SITE: 12	63	63	1
WARN: Unitary gate is identity
SITE: 62	62	62	0
WARN: Unitary gate is identity
SITE: 43	43	43	1
WARN: Unitary gate is identity
SITE: 12	12	12	1
MPS Info: -4.03226 1.24347 9.35208e-05 
Writing MPS done!
