HHLLHLHHHHLHHLLHLLHLHHHLHHHHLHLLHLHLHHHLLLHLHLLHHLLHHLHLHHHHLLLH
W_LIST: 0.72227 2.03854 -0.969194 -3.86837 3.7068 -0.460139 1.05643 2.3615 0.259948 2.50811 -1.54163 2.69058 2.41777 -0.376651 2.58852 2.45196 1.78059 -0.36011 2.90835 -0.963272 -0.547534 1.53463 -2.30069 -1.32428 2.83366 3.99353 -2.91457 -2.92192 -3.00115 -2.20874 -3.73917 -3.70189 0.276488 2.31421 -1.17716 1.02197 1.77763 1.42243 2.36919 0.536169 -2.99461 0.0414064 1.02551 -2.03979 -1.6912 1.31978 0.32712 3.89591 -0.172034 -1.11541 2.88722 -0.533676 -2.29007 1.67077 -3.45906 1.78746 1.75769 3.99706 0.162865 -2.76364 -3.69255 1.0058 -3.88657 -3.55072 
st	op	ed	phy
SITE: 0	1	3	0
SITE: 0	3	4	0
SITE: 0	4	5	0
SITE: 0	0	6	0
SITE: 2	6	7	0
SITE: 2	7	8	0
SITE: 2	8	9	0
SITE: 2	9	10	0
SITE: 2	10	11	0
SITE: 2	11	12	0
SITE: 2	12	13	0
SITE: 2	5	14	1
SITE: 2	14	15	1
SITE: 2	15	16	0
SITE: 2	16	17	1
SITE: 2	13	18	0
SITE: 2	18	19	0
SITE: 2	19	20	0
SITE: 2	17	21	1
SITE: 2	21	22	0
SITE: 2	22	23	1
SITE: 2	23	24	0
SITE: 2	24	25	0
SITE: 2	25	26	0
SITE: 2	26	27	1
SITE: 2	27	28	1
SITE: 2	28	29	0
SITE: 2	29	30	1
SITE: 2	30	31	0
SITE: 2	31	32	0
SITE: 2	32	33	0
SITE: 2	33	34	1
SITE: 2	34	35	1
SITE: 2	20	36	0
SITE: 2	36	37	0
SITE: 2	37	38	0
SITE: 2	38	39	0
SITE: 2	39	40	1
SITE: 2	40	41	0
SITE: 2	35	42	1
SITE: 2	42	43	0
SITE: 2	43	44	0
SITE: 2	41	45	1
SITE: 2	45	46	1
SITE: 2	44	47	1
SITE: 2	47	48	0
SITE: 2	48	49	0
SITE: 2	49	50	0
SITE: 2	50	51	1
SITE: 2	51	52	1
SITE: 2	52	53	1
SITE: 2	53	54	1
SITE: 2	54	55	1
SITE: 2	55	56	1
SITE: 2	56	57	0
SITE: 2	57	58	0
SITE: 2	58	59	0
SITE: 2	59	60	1
SITE: 2	60	61	0
SITE: 2	61	62	1
SITE: 2	62	63	0
WARN: Unitary gate is identity
SITE: 63	63	63	1
WARN: Unitary gate is identity
SITE: 2	2	2	1
WARN: Unitary gate is identity
SITE: 46	46	46	0
MPS Info: 13.9892 1.07335 0.00977619 
Writing MPS done!
