HLLLHHLHLHLHLHLHLLHHLHLLLLLLLHLHHLLLHHHHLLHLHHHLHLHHLHHLHLHHLHLH
W_LIST: 2.57146 3.72494 -3.36481 -1.08501 2.20024 -2.85915 2.04158 1.88221 2.79364 2.39395 3.55257 3.83281 1.30619 -0.147729 -2.99117 0.670679 -3.47772 -0.151245 2.87622 0.498342 -0.504307 -2.67047 -2.54379 0.898669 2.84201 -2.15957 0.40847 2.07349 -3.38313 2.4066 -3.52161 0.21041 -3.6047 -3.44445 3.33021 0.269506 1.30058 -1.32093 -2.35583 -1.54816 2.11364 -2.875 2.14404 3.93209 -3.77302 -0.14502 0.97891 1.00789 -2.91023 3.19966 1.89138 0.638696 2.92379 1.18821 -3.13841 2.41759 -3.12766 -3.87576 -3.57522 0.339258 0.377588 -1.47444 -1.38234 -1.70171 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 0	2	4	0
SITE: 0	4	5	0
SITE: 0	5	6	1
SITE: 0	0	7	0
SITE: 3	7	8	0
SITE: 3	8	9	1
SITE: 3	9	10	0
SITE: 3	10	11	1
SITE: 3	11	12	0
SITE: 3	6	13	1
SITE: 3	12	14	1
SITE: 3	14	15	0
SITE: 3	15	16	0
SITE: 3	16	17	0
SITE: 3	17	18	1
SITE: 3	18	19	0
SITE: 3	19	20	0
SITE: 3	13	21	1
SITE: 3	21	22	1
SITE: 3	22	23	0
SITE: 3	20	24	0
SITE: 3	24	25	1
SITE: 3	25	26	0
SITE: 3	26	27	1
SITE: 3	27	28	1
SITE: 3	28	29	0
SITE: 3	29	30	0
SITE: 3	30	31	0
SITE: 3	31	32	0
SITE: 3	32	33	1
SITE: 3	33	34	0
SITE: 3	34	35	1
SITE: 3	23	36	1
SITE: 3	36	37	0
SITE: 3	37	38	1
SITE: 3	38	39	1
SITE: 3	39	40	1
SITE: 3	40	41	1
SITE: 3	41	42	0
SITE: 3	42	43	0
SITE: 3	43	44	1
SITE: 3	44	45	1
SITE: 3	45	46	1
SITE: 3	46	47	0
SITE: 3	47	48	1
SITE: 3	48	49	1
SITE: 3	49	50	1
SITE: 3	50	51	0
SITE: 3	51	52	0
SITE: 3	52	53	1
SITE: 3	53	54	0
SITE: 3	54	55	1
SITE: 3	55	56	1
SITE: 3	56	57	1
SITE: 3	57	58	0
SITE: 3	58	59	1
SITE: 3	59	60	1
SITE: 3	60	61	1
SITE: 3	61	62	1
SITE: 3	63	63	1
SITE: 3	62	62	0
SITE: 3	3	35	0
SITE: 35	35	35	0
MPS Info: -8.50291 1.12065 0.0457004 
Writing MPS done!
