HLHHLHHHHLLLLHLHLLHLHLHHHLHHHHLHLHHLHLHLHLLHHLLHHLHHLHHLLLLHLLLL
W_LIST: -3.11705 1.83294 3.64068 -3.60581 2.31703 -3.85791 -2.72698 3.2831 1.96076 0.251243 -2.07968 -2.7394 3.91671 0.138423 0.0342195 0.444084 1.9494 -3.89016 -1.16395 0.325358 -0.450272 -3.92684 1.15233 -0.322642 -3.14755 -3.85095 -3.43773 2.31775 -3.8606 -3.82423 -1.24965 -0.899217 -0.456174 -0.64278 -3.03557 1.32892 -3.29573 3.24986 1.7379 -0.15357 -1.50104 3.47949 -0.457803 -0.60305 1.6247 2.02398 3.79365 -2.60214 -0.332964 2.5935 0.646575 0.10416 -2.55889 2.58501 -2.7376 1.20524 -3.23436 -1.7168 3.75218 0.217882 -0.534735 -0.574744 1.74794 2.60955 
st	op	ed	phy
SITE: 0	2	3	0
SITE: 0	3	4	1
SITE: 0	0	5	1
SITE: 1	5	6	1
SITE: 1	6	7	1
SITE: 1	7	8	0
SITE: 1	8	9	0
SITE: 1	1	10	1
SITE: 4	10	11	0
SITE: 4	11	12	0
SITE: 4	12	13	1
SITE: 4	4	14	1
SITE: 9	9	15	1
SITE: 13	13	16	1
SITE: 14	16	17	1
SITE: 14	17	18	0
SITE: 14	18	19	1
SITE: 14	14	20	0
SITE: 15	20	21	1
SITE: 15	21	22	0
SITE: 15	22	23	0
SITE: 15	15	24	0
SITE: 19	24	25	1
SITE: 19	25	26	0
SITE: 19	26	27	1
SITE: 19	27	28	0
SITE: 19	28	29	1
SITE: 19	29	30	1
SITE: 19	30	31	0
SITE: 19	23	32	1
SITE: 19	32	33	0
SITE: 19	31	34	0
SITE: 19	34	35	1
SITE: 19	35	36	1
SITE: 19	36	37	1
SITE: 19	37	38	1
SITE: 19	38	39	0
SITE: 19	33	40	1
SITE: 19	40	41	1
SITE: 19	41	42	1
SITE: 19	42	43	0
SITE: 19	39	44	0
SITE: 19	44	45	0
SITE: 19	45	46	1
SITE: 19	46	47	1
SITE: 19	47	48	1
SITE: 19	43	49	0
SITE: 19	49	50	1
SITE: 19	48	51	1
SITE: 19	51	52	0
SITE: 19	52	53	0
SITE: 19	53	54	0
SITE: 19	54	55	1
SITE: 19	55	56	1
SITE: 19	56	57	0
SITE: 19	57	58	0
SITE: 19	58	59	1
SITE: 19	50	60	0
SITE: 19	60	61	0
SITE: 19	59	62	0
SITE: 19	63	63	1
WARN: Unitary gate is identity
SITE: 62	62	62	1
WARN: Unitary gate is identity
SITE: 61	61	61	0
WARN: Unitary gate is identity
SITE: 19	19	19	1
MPS Info: 0.513205 1.16769 0.401076 
Writing MPS done!
