LLHHLLLLLLHHLLLHHHLLLHLHHLHLHLHLHHLHLHLLHHLHHHLHLHHLLLHLHLHHHLHH
W_LIST: -5.10379 -5.01162 1.47977 3.00959 -3.09852 -3.15099 -0.666109 4.76798 -1.94329 0.048139 1.19617 -3.45416 -3.25285 -1.91269 4.52329 2.2524 0.133589 -4.43204 -3.9216 1.70129 4.33401 -1.35487 1.09753 -2.13924 2.39189 1.9343 -3.04294 1.29825 -1.64495 3.2584 -2.32578 -3.72603 2.96742 -0.0692538 -0.0316774 4.66658 -2.68634 -2.51776 4.29386 0.234771 3.17099 -4.62406 2.46821 0.453368 -0.0836359 2.79089 0.416533 1.66964 1.98822 -2.76175 -0.675583 -1.27373 4.79147 -1.46228 -1.25532 -0.169017 1.80214 3.20984 -0.730878 1.17986 -4.68634 -2.02952 0.708092 3.86107 
st	op	ed	phy
SITE: 0	0	3	0
SITE: 1	1	4	0
SITE: 2	3	5	0
SITE: 2	5	6	0
SITE: 2	2	7	0
SITE: 4	7	8	1
SITE: 4	8	9	0
SITE: 4	4	10	0
SITE: 6	10	11	0
SITE: 6	11	12	1
SITE: 6	12	13	0
SITE: 6	13	14	0
SITE: 6	14	15	1
SITE: 6	15	16	0
SITE: 6	6	17	0
SITE: 9	17	18	1
SITE: 9	18	19	0
SITE: 9	19	20	1
SITE: 9	20	21	1
SITE: 9	21	22	1
SITE: 9	22	23	1
SITE: 9	23	24	1
SITE: 9	24	25	0
SITE: 9	25	26	1
SITE: 9	26	27	1
SITE: 9	27	28	1
SITE: 9	28	29	1
SITE: 9	29	30	1
SITE: 9	30	31	1
SITE: 9	31	32	0
SITE: 9	32	33	0
SITE: 9	33	34	0
SITE: 9	16	35	0
SITE: 9	35	36	0
SITE: 9	36	37	0
SITE: 9	37	38	1
SITE: 9	38	39	1
SITE: 9	34	40	1
SITE: 9	40	41	0
SITE: 9	41	42	1
SITE: 9	42	43	1
SITE: 9	43	44	1
SITE: 9	44	45	1
SITE: 9	45	46	0
SITE: 9	46	47	1
SITE: 9	47	48	0
SITE: 9	48	49	1
SITE: 9	49	50	1
SITE: 9	50	51	1
SITE: 9	51	52	0
SITE: 9	52	53	1
SITE: 9	53	54	0
SITE: 9	54	55	1
SITE: 9	55	56	0
SITE: 9	56	57	0
SITE: 9	57	58	1
SITE: 9	58	59	1
SITE: 9	59	60	0
SITE: 9	60	61	1
SITE: 9	61	62	0
SITE: 9	63	63	0
SITE: 9	62	62	0
WARN: Unitary gate is identity
SITE: 9	9	9	0
WARN: Unitary gate is identity
SITE: 39	39	39	1
MPS Info: -4.18625 1.33377 0.000279368 
Writing MPS done!
