LHHLLHHLLHHHHLLLLHLLLLHLHLHLLLHLLLLLLLHLHHLLHHHHHHLLHLHHHLHLLHHL
W_LIST: -2.63974 -2.76449 -1.71239 -3.94159 -5.10601 4.31233 0.646604 4.12932 1.43285 -0.103986 -2.67581 -1.93214 -4.73404 -1.60765 -2.91164 -0.121146 3.7869 -4.15373 -3.96442 3.64889 4.39161 3.70183 0.773597 0.822845 2.40302 4.39529 1.38501 -2.70537 -2.15394 -1.25166 -2.03587 1.48711 -2.20425 2.91733 -4.6856 3.66392 -3.322 4.4867 -2.00223 -2.5426 -0.682266 2.14983 3.95865 -2.2491 -2.85767 0.839048 1.28504 -2.17865 -1.66042 2.98808 -2.00254 0.288457 1.07893 -2.10529 -0.82805 0.670618 -4.7076 3.3793 4.94813 5.31447 0.73712 5.32556 4.04497 -4.33512 
st	op	ed	phy
SITE: 0	0	3	0
SITE: 1	3	4	0
SITE: 1	4	5	0
SITE: 1	5	6	0
SITE: 1	1	7	1
SITE: 2	7	8	1
SITE: 2	2	9	1
SITE: 6	8	10	1
SITE: 6	10	11	1
SITE: 6	11	12	1
SITE: 6	12	13	1
SITE: 6	13	14	0
SITE: 6	14	15	0
SITE: 6	9	16	1
SITE: 6	16	17	1
SITE: 6	17	18	1
SITE: 6	18	19	0
SITE: 6	19	20	1
SITE: 6	20	21	1
SITE: 6	21	22	1
SITE: 6	6	23	0
SITE: 15	23	24	1
SITE: 15	24	25	0
SITE: 15	25	26	1
SITE: 15	26	27	0
SITE: 15	27	28	0
SITE: 15	28	29	0
SITE: 15	22	30	1
SITE: 15	30	31	1
SITE: 15	31	32	1
SITE: 15	32	33	0
SITE: 15	33	34	1
SITE: 15	34	35	0
SITE: 15	35	36	1
SITE: 15	36	37	0
SITE: 15	37	38	1
SITE: 15	38	39	1
SITE: 15	39	40	0
SITE: 15	40	41	1
SITE: 15	41	42	0
SITE: 15	42	43	1
SITE: 15	43	44	0
SITE: 15	44	45	1
SITE: 15	29	46	0
SITE: 15	46	47	0
SITE: 15	47	48	1
SITE: 15	48	49	1
SITE: 15	49	50	0
SITE: 15	50	51	0
SITE: 15	45	52	0
SITE: 15	52	53	0
SITE: 15	53	54	0
SITE: 15	51	55	1
SITE: 15	55	56	0
SITE: 15	56	57	1
SITE: 15	57	58	1
SITE: 15	58	59	0
SITE: 15	59	60	1
SITE: 15	60	61	1
SITE: 15	61	62	0
SITE: 15	62	63	0
SITE: 15	63	63	0
WARN: Unitary gate is identity
SITE: 15	15	15	0
WARN: Unitary gate is identity
SITE: 54	54	54	1
MPS Info: -18.5779 0.67936 0.0977631 
Writing MPS done!
