LLHHHHHLLLLLHLLHHLLHHHHLHHLLHHLHLLLHHLHHLHLLHLHHLLHLLLHHHLHLLLLL
W_LIST: -0.791709 4.25085 3.88849 -3.82497 1.38336 -0.750182 -1.03386 0.985332 -1.36504 2.44692 -2.91479 -0.790619 -0.514924 -1.37887 -0.492848 -4.56631 3.86188 1.38501 1.33347 -2.88541 4.43481 4.82936 -4.79935 -2.28559 -0.253634 0.911036 4.70598 -0.378076 -2.53568 -1.96921 -4.48344 2.73196 4.57699 5.15726 5.14896 0.246926 1.53124 1.74505 1.27071 0.704377 -3.57221 -3.42975 -0.253523 -1.61094 -4.93819 4.70516 -0.728576 -5.06486 -1.7319 4.63545 -2.99776 4.1251 0.959531 -5.25255 -0.507599 3.96535 3.7351 0.841391 -4.11762 3.08543 2.13972 -2.48313 -4.11237 -5.15227 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 0	3	4	1
SITE: 0	2	5	0
SITE: 0	0	6	0
SITE: 4	6	7	1
SITE: 4	5	8	1
SITE: 4	8	9	0
SITE: 4	9	10	1
SITE: 4	10	11	0
SITE: 4	7	12	1
SITE: 4	12	13	1
SITE: 4	13	14	0
SITE: 4	4	15	0
SITE: 11	15	16	1
SITE: 11	16	17	0
SITE: 11	17	18	1
SITE: 11	18	19	1
SITE: 11	19	20	1
SITE: 11	20	21	0
SITE: 11	21	22	0
SITE: 11	22	23	1
SITE: 11	23	24	0
SITE: 11	14	25	0
SITE: 11	25	26	0
SITE: 11	26	27	1
SITE: 11	27	28	0
SITE: 11	28	29	1
SITE: 11	29	30	1
SITE: 11	30	31	0
SITE: 11	31	32	0
SITE: 11	32	33	1
SITE: 11	33	34	1
SITE: 11	34	35	1
SITE: 11	35	36	1
SITE: 11	36	37	0
SITE: 11	37	38	1
SITE: 11	38	39	0
SITE: 11	39	40	0
SITE: 11	40	41	0
SITE: 11	41	42	1
SITE: 11	11	43	1
SITE: 24	43	44	0
SITE: 24	44	45	1
SITE: 24	45	46	1
SITE: 24	46	47	1
SITE: 24	47	48	1
SITE: 24	48	49	0
SITE: 24	49	50	1
SITE: 24	50	51	1
SITE: 24	51	52	1
SITE: 24	52	53	1
SITE: 24	53	54	0
SITE: 24	24	55	0
SITE: 42	55	56	0
SITE: 42	56	57	0
SITE: 42	57	58	1
SITE: 42	58	59	1
SITE: 42	59	60	1
SITE: 42	60	61	1
SITE: 42	61	62	0
SITE: 42	63	63	0
SITE: 42	62	62	0
WARN: Unitary gate is identity
SITE: 54	54	54	0
WARN: Unitary gate is identity
SITE: 42	42	42	1
MPS Info: -7.63397 1.0098 0.323666 
Writing MPS done!
