HLHHLHLLHHHLHHLLHLLLHLHLHLHHHLHLHHHLLLLHHLLHHLLHHLLHLHLHLHLLLHHH
W_LIST: -0.679819 0.0343906 4.64933 -1.04969 -3.8384 -0.550801 1.55584 1.16467 0.311077 -5.51769 -5.75673 3.82828 0.50668 -3.01158 -3.98427 3.21533 -4.13097 -5.77241 -4.29406 2.4341 4.71671 2.24393 2.14713 1.25579 -3.33875 -4.74841 -3.88684 0.728644 -0.419302 -1.63952 2.56598 -0.86552 5.89487 3.51703 -4.93831 2.07493 -1.23508 -4.54663 4.55244 -3.91949 2.41365 -0.268788 -1.41601 2.11579 -4.28731 -3.36528 4.02468 0.709612 -5.49364 -1.29042 2.9739 0.169766 -2.15818 -5.83649 -2.61556 3.44679 2.34875 -2.86358 1.19506 1.6923 -2.53846 -4.98374 3.40626 3.41264 
st	op	ed	phy
SITE: 0	2	3	0
SITE: 0	0	4	1
SITE: 1	4	5	0
SITE: 1	3	6	1
SITE: 1	6	7	1
SITE: 1	7	8	1
SITE: 1	1	9	1
SITE: 5	9	10	1
SITE: 5	10	11	1
SITE: 5	11	12	1
SITE: 5	5	13	1
SITE: 8	13	14	1
SITE: 8	14	15	0
SITE: 8	15	16	1
SITE: 8	16	17	1
SITE: 8	17	18	0
SITE: 8	18	19	0
SITE: 8	19	20	1
SITE: 8	20	21	0
SITE: 8	21	22	1
SITE: 8	22	23	0
SITE: 8	23	24	1
SITE: 8	24	25	1
SITE: 8	25	26	0
SITE: 8	26	27	1
SITE: 8	8	28	1
SITE: 12	27	29	0
SITE: 12	29	30	0
SITE: 12	30	31	0
SITE: 12	31	32	0
SITE: 12	32	33	0
SITE: 12	33	34	0
SITE: 12	34	35	1
SITE: 12	35	36	1
SITE: 12	36	37	0
SITE: 12	37	38	0
SITE: 12	38	39	1
SITE: 12	39	40	1
SITE: 12	40	41	0
SITE: 12	12	42	1
SITE: 28	42	43	0
SITE: 28	43	44	0
SITE: 28	44	45	1
SITE: 28	45	46	0
SITE: 28	46	47	1
SITE: 28	41	48	1
SITE: 28	48	49	1
SITE: 28	49	50	0
SITE: 28	50	51	1
SITE: 28	28	52	0
SITE: 47	52	53	0
SITE: 47	53	54	1
SITE: 47	54	55	0
SITE: 47	55	56	0
SITE: 47	56	57	1
SITE: 47	57	58	1
SITE: 47	58	59	1
SITE: 47	59	60	1
SITE: 47	60	61	0
SITE: 47	61	62	1
SITE: 47	63	63	0
SITE: 47	62	62	0
SITE: 47	47	51	1
WARN: Unitary gate is identity
SITE: 51	51	51	0
MPS Info: 8.89623 0.630319 7.72435e-06 
Writing MPS done!
