LLHLHHLLLHHLLHHLLHLLHHLLLHLHHLHHLHHHLHHLHLLLHLLLHHLHLLHLHHHHLHLH
W_LIST: -5.64725 -4.38668 4.7127 -1.53096 6.4766 -1.3452 6.22913 -4.38308 -6.28802 0.862376 -6.08846 1.46797 3.50903 -4.11443 2.99837 1.42707 -5.01641 6.71726 -4.92539 6.00305 5.38935 -0.343696 3.14314 -4.37016 3.08287 3.61209 0.742368 -5.26287 0.513514 -0.0280357 -4.57747 -4.27956 3.06546 -1.78031 -3.59323 -2.60402 -0.188674 1.89693 -3.28564 0.898629 -3.59323 0.341983 -4.58815 0.79222 0.462921 -0.0810603 -4.01548 -5.59106 -6.22149 -5.83255 6.08364 4.12059 -2.20424 1.45748 -3.8932 -4.63282 -5.43574 3.32533 -2.7933 -6.17076 -6.64566 0.696265 -2.59961 6.12777 
st	op	ed	phy
SITE: 0	0	3	0
SITE: 1	2	4	0
SITE: 1	4	5	0
SITE: 1	1	6	0
SITE: 3	6	7	1
SITE: 3	7	8	0
SITE: 3	8	9	0
SITE: 3	9	10	0
SITE: 3	10	11	1
SITE: 3	5	12	1
SITE: 3	12	13	1
SITE: 3	13	14	1
SITE: 3	14	15	0
SITE: 3	15	16	1
SITE: 3	16	17	0
SITE: 3	17	18	0
SITE: 3	18	19	0
SITE: 3	19	20	1
SITE: 3	20	21	0
SITE: 3	3	22	0
SITE: 11	22	23	1
SITE: 11	23	24	0
SITE: 11	24	25	1
SITE: 11	25	26	0
SITE: 11	26	27	1
SITE: 11	27	28	1
SITE: 11	21	29	1
SITE: 11	28	30	0
SITE: 11	30	31	1
SITE: 11	31	32	1
SITE: 11	32	33	1
SITE: 11	33	34	1
SITE: 11	34	35	1
SITE: 11	35	36	1
SITE: 11	36	37	0
SITE: 11	37	38	0
SITE: 11	38	39	1
SITE: 11	39	40	1
SITE: 11	40	41	1
SITE: 11	11	42	1
SITE: 29	42	43	0
SITE: 29	43	44	1
SITE: 29	44	45	1
SITE: 29	41	46	1
SITE: 29	46	47	0
SITE: 29	47	48	0
SITE: 29	48	49	1
SITE: 29	49	50	1
SITE: 29	50	51	1
SITE: 29	51	52	0
SITE: 29	52	53	0
SITE: 29	53	54	1
SITE: 29	54	55	1
SITE: 29	55	56	0
SITE: 29	56	57	1
SITE: 29	57	58	0
SITE: 29	58	59	1
SITE: 29	59	60	1
SITE: 29	60	61	0
SITE: 29	61	62	0
SITE: 29	63	63	0
WARN: Unitary gate is identity
SITE: 62	62	62	0
WARN: Unitary gate is identity
SITE: 29	29	29	0
WARN: Unitary gate is identity
SITE: 45	45	45	1
MPS Info: 9.6822 0.68166 8.79432e-05 
Writing MPS done!
