LHHLLHHLLHLHLHLLHHHLHLHHLLHLLHHLLLHLLLHHHHLHHHHHHHHHLLHLLHHHLLLH
W_LIST: 3.3753 -6.04218 3.8425 -3.73666 -0.421203 4.78088 2.05664 -3.1573 6.98321 5.98751 -4.01668 2.71728 5.79324 -3.86404 -1.35442 1.22879 6.73231 -3.5543 5.53946 5.85169 -1.56337 5.55698 -0.622757 -5.43881 4.84201 -4.86787 4.37694 -5.04914 0.0957222 1.51999 4.41049 -5.25048 -1.17959 0.67115 4.83672 -1.67703 -4.21045 -1.10363 0.296367 2.11889 -6.75608 -1.09784 0.135242 -3.17603 -1.81407 -5.18319 5.44741 5.25017 -3.96639 -6.36294 4.99444 -3.34713 6.99841 -4.32032 3.45752 -5.69362 1.4709 5.21443 -3.38183 -6.27696 6.55606 -5.5165 0.139382 -4.09988 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 0	3	4	0
SITE: 0	2	5	0
SITE: 0	5	6	0
SITE: 0	0	7	1
SITE: 4	7	8	0
SITE: 4	8	9	1
SITE: 4	9	10	0
SITE: 4	10	11	0
SITE: 4	11	12	0
SITE: 4	12	13	1
SITE: 4	13	14	1
SITE: 4	6	15	0
SITE: 4	14	16	0
SITE: 4	16	17	0
SITE: 4	17	18	1
SITE: 4	18	19	0
SITE: 4	19	20	1
SITE: 4	15	21	1
SITE: 4	21	22	1
SITE: 4	20	23	1
SITE: 4	23	24	1
SITE: 4	24	25	1
SITE: 4	25	26	0
SITE: 4	26	27	0
SITE: 4	27	28	0
SITE: 4	22	29	1
SITE: 4	29	30	0
SITE: 4	30	31	0
SITE: 4	31	32	0
SITE: 4	28	33	1
SITE: 4	33	34	1
SITE: 4	34	35	0
SITE: 4	32	36	0
SITE: 4	36	37	0
SITE: 4	37	38	0
SITE: 4	38	39	0
SITE: 4	39	40	0
SITE: 4	40	41	1
SITE: 4	41	42	1
SITE: 4	35	43	0
SITE: 4	43	44	1
SITE: 4	44	45	1
SITE: 4	45	46	1
SITE: 4	46	47	0
SITE: 4	47	48	0
SITE: 4	48	49	1
SITE: 4	49	50	1
SITE: 4	50	51	0
SITE: 4	51	52	1
SITE: 4	52	53	1
SITE: 4	53	54	0
SITE: 4	54	55	0
SITE: 4	55	56	0
SITE: 4	56	57	1
SITE: 4	57	58	0
SITE: 4	58	59	1
SITE: 4	59	60	1
SITE: 4	60	61	1
SITE: 4	61	62	0
SITE: 4	63	63	1
WARN: Unitary gate is identity
SITE: 42	42	42	0
WARN: Unitary gate is identity
SITE: 4	4	4	1
WARN: Unitary gate is identity
SITE: 62	62	62	1
MPS Info: 20.573 0.335584 0.0092718 
Writing MPS done!
