LLLLLLLLHLLHHLHLHHLHHHLLLHHHHLLHHLLHLHLHHLHHLHHLLLHLLHLHHHHHLLHL
W_LIST: 6.48807 -0.319671 -0.508511 -0.765168 -6.91022 -6.5887 -4.80582 2.97157 3.33934 3.61317 6.34224 -5.03614 3.21427 -2.61213 4.88165 0.237438 -4.52405 1.08793 1.86374 5.09489 5.67303 -6.93965 -5.45223 3.21795 -0.362328 -5.26766 -5.45018 -3.98048 -1.99323 -4.73988 -6.64968 3.8949 5.5952 -1.07154 4.98642 2.95792 3.68069 -2.10641 4.20641 -5.77978 5.42967 5.70306 -4.24781 4.98272 0.800957 -2.69381 -3.23812 3.45629 -6.69087 4.98509 -0.451576 1.31427 -2.98832 -5.20932 -1.78892 3.00235 -5.99587 0.659908 -6.32447 -6.80798 2.56464 5.41969 -0.165646 0.761886 
st	op	ed	phy
SITE: 0	0	3	1
SITE: 1	1	4	0
SITE: 2	4	5	0
SITE: 2	5	6	0
SITE: 2	6	7	0
SITE: 2	7	8	1
SITE: 2	8	9	0
SITE: 2	9	10	1
SITE: 2	10	11	1
SITE: 2	11	12	1
SITE: 2	12	13	0
SITE: 2	13	14	0
SITE: 2	14	15	0
SITE: 2	15	16	1
SITE: 2	16	17	1
SITE: 2	3	18	0
SITE: 2	18	19	1
SITE: 2	19	20	0
SITE: 2	20	21	0
SITE: 2	21	22	1
SITE: 2	22	23	0
SITE: 2	23	24	1
SITE: 2	2	25	1
SITE: 17	25	26	1
SITE: 17	26	27	1
SITE: 17	27	28	1
SITE: 17	28	29	1
SITE: 17	29	30	0
SITE: 17	30	31	0
SITE: 17	31	32	0
SITE: 17	32	33	0
SITE: 17	24	34	0
SITE: 17	34	35	1
SITE: 17	35	36	0
SITE: 17	36	37	1
SITE: 17	37	38	1
SITE: 17	38	39	1
SITE: 17	39	40	1
SITE: 17	40	41	0
SITE: 17	41	42	1
SITE: 17	42	43	1
SITE: 17	43	44	0
SITE: 17	44	45	1
SITE: 17	45	46	1
SITE: 17	46	47	1
SITE: 17	47	48	1
SITE: 17	48	49	0
SITE: 17	49	50	1
SITE: 17	33	51	0
SITE: 17	51	52	1
SITE: 17	52	53	0
SITE: 17	53	54	1
SITE: 17	54	55	0
SITE: 17	55	56	0
SITE: 17	56	57	1
SITE: 17	50	58	1
SITE: 17	58	59	1
SITE: 17	59	60	1
SITE: 17	60	61	1
SITE: 17	61	62	1
SITE: 17	63	63	1
SITE: 17	62	62	1
WARN: Unitary gate is identity
SITE: 57	57	57	1
WARN: Unitary gate is identity
SITE: 17	17	17	0
MPS Info: 4.97839 0.505955 4.35308e-05 
Writing MPS done!
