HLLLHHLHLHLLHLLHLLLLLHHLLLHHHLHHLLLLHHHHHLHHLLLLHHLLLLHLLHLLHLLL
W_LIST: 6.36474 2.45164 -0.667199 -2.66456 3.23724 0.239987 0.607711 -4.06079 -4.73849 1.43862 -6.2137 -0.788474 2.58058 -1.76083 6.88218 2.36332 -6.57837 5.36465 -1.75575 1.78026 -1.16622 1.92264 4.14373 -6.01545 -5.58128 5.10049 6.90737 2.34621 -3.41372 -5.0766 -4.0906 6.19376 5.16205 -6.73656 -2.75178 -5.09031 -1.59334 1.6917 2.38525 3.96913 -5.32402 3.60767 3.41172 2.69067 -6.94082 2.35896 0.935725 6.71645 -4.62352 -5.21824 -4.15487 3.92403 5.9007 -5.25384 6.4035 -3.40439 -4.91328 -4.11716 -2.72546 1.23092 5.45048 6.6963 -4.85307 2.38789 
st	op	ed	phy
SITE: 0	0	3	0
SITE: 1	1	4	1
SITE: 2	4	5	0
SITE: 2	3	6	0
SITE: 2	5	7	0
SITE: 2	7	8	1
SITE: 2	8	9	0
SITE: 2	9	10	0
SITE: 2	10	11	0
SITE: 2	2	12	0
SITE: 6	12	13	0
SITE: 6	13	14	0
SITE: 6	14	15	1
SITE: 6	15	16	0
SITE: 6	16	17	0
SITE: 6	17	18	1
SITE: 6	18	19	0
SITE: 6	19	20	1
SITE: 6	20	21	0
SITE: 6	21	22	0
SITE: 6	22	23	0
SITE: 6	23	24	0
SITE: 6	24	25	0
SITE: 6	25	26	1
SITE: 6	26	27	0
SITE: 6	27	28	0
SITE: 6	28	29	1
SITE: 6	29	30	0
SITE: 6	30	31	1
SITE: 6	31	32	0
SITE: 6	32	33	1
SITE: 6	33	34	0
SITE: 6	34	35	0
SITE: 6	35	36	0
SITE: 6	36	37	1
SITE: 6	37	38	0
SITE: 6	38	39	0
SITE: 6	39	40	0
SITE: 6	40	41	1
SITE: 6	41	42	1
SITE: 6	42	43	0
SITE: 6	43	44	0
SITE: 6	44	45	0
SITE: 6	45	46	1
SITE: 6	6	47	1
SITE: 11	47	48	1
SITE: 11	48	49	1
SITE: 11	49	50	1
SITE: 11	50	51	0
SITE: 11	51	52	1
SITE: 11	52	53	1
SITE: 11	53	54	0
SITE: 11	54	55	0
SITE: 11	55	56	0
SITE: 11	56	57	0
SITE: 11	57	58	1
SITE: 11	58	59	0
SITE: 11	59	60	1
SITE: 11	60	61	0
SITE: 11	61	62	1
SITE: 11	62	63	0
WARN: Unitary gate is identity
SITE: 63	63	63	1
WARN: Unitary gate is identity
SITE: 11	11	11	1
WARN: Unitary gate is identity
SITE: 46	46	46	0
MPS Info: -28.2228 0.859008 0.552355 
Writing MPS done!
