LLHHLHLLHLLHLHHLHLLHLLLLHLLHLLLHHLHLHHHHLLLLHHLHLHHLHHHLHLHLLHLL
W_LIST: 5.70668 -5.21895 -6.00418 6.51289 6.01206 -4.93515 -4.66441 3.91236 -5.4855 -1.2713 0.50371 4.2477 5.50926 -4.18713 0.872403 7.62306 2.43577 -3.85319 6.29868 0.149257 -1.74348 2.14573 -0.954826 -3.99283 -2.45793 -3.71638 -7.67474 7.22497 -0.272584 6.35247 -2.74187 5.91175 -5.22928 3.00837 -5.96495 5.33093 -5.28899 -4.00465 3.61369 0.337265 5.38701 3.82892 1.27309 2.34214 -4.15505 -7.38844 -1.1226 3.11217 0.728795 5.04313 4.71209 5.34708 -2.78796 2.57994 4.2721 2.12312 4.79568 -1.91348 -7.60303 -4.07077 3.56278 7.21519 2.66352 5.16343 
st	op	ed	phy
SITE: 0	2	3	1
SITE: 0	3	4	0
SITE: 0	4	5	1
SITE: 0	0	6	1
SITE: 1	1	7	0
SITE: 5	5	8	1
SITE: 6	8	9	1
SITE: 6	6	10	0
SITE: 7	7	11	1
SITE: 9	11	12	0
SITE: 9	12	13	1
SITE: 9	13	14	1
SITE: 9	9	15	0
SITE: 10	15	16	1
SITE: 10	16	17	0
SITE: 10	17	18	0
SITE: 10	18	19	1
SITE: 10	10	20	1
SITE: 14	20	21	0
SITE: 14	21	22	1
SITE: 14	22	23	0
SITE: 14	23	24	0
SITE: 14	24	25	1
SITE: 14	25	26	0
SITE: 14	26	27	0
SITE: 14	27	28	0
SITE: 14	19	29	0
SITE: 14	29	30	1
SITE: 14	30	31	0
SITE: 14	31	32	0
SITE: 14	32	33	1
SITE: 14	33	34	1
SITE: 14	34	35	1
SITE: 14	35	36	1
SITE: 14	36	37	1
SITE: 14	37	38	1
SITE: 14	38	39	0
SITE: 14	39	40	0
SITE: 14	40	41	1
SITE: 14	41	42	1
SITE: 14	42	43	1
SITE: 14	43	44	1
SITE: 14	44	45	1
SITE: 14	45	46	1
SITE: 14	46	47	0
SITE: 14	47	48	0
SITE: 14	48	49	1
SITE: 14	49	50	0
SITE: 14	50	51	0
SITE: 14	51	52	1
SITE: 14	52	53	1
SITE: 14	53	54	0
SITE: 14	54	55	0
SITE: 14	55	56	1
SITE: 14	56	57	0
SITE: 14	57	58	0
SITE: 14	58	59	1
SITE: 14	59	60	0
SITE: 14	60	61	1
SITE: 14	61	62	0
SITE: 14	63	63	1
WARN: Unitary gate is identity
SITE: 62	62	62	1
WARN: Unitary gate is identity
SITE: 28	28	28	0
WARN: Unitary gate is identity
SITE: 14	14	14	1
MPS Info: -1.9443 0.674523 0.0133146 
Writing MPS done!
