LLLHHHLLLHLLLHHLHHHHLLLHHHLHLLLHLHLLLHLHLLLLLLHHLHLLHHHHHHHHHLHH
W_LIST: -3.0375 4.69387 0.232004 -0.524404 -4.41709 -6.72697 5.46309 -6.04179 -4.58253 -4.21316 6.53088 -2.3289 0.338712 -2.29852 -3.16004 2.92753 -4.94526 1.86994 2.03359 2.20757 6.61315 -4.54633 -6.96043 -5.65348 7.61096 -0.479488 3.74034 2.43712 -3.42392 -7.571 1.05307 -7.81179 -5.24904 5.4994 3.22089 -6.87691 2.77535 5.36258 -1.36773 3.14156 -2.46991 5.76856 -1.49905 7.61019 -5.33009 -7.47304 6.25466 -4.71402 -7.86128 -5.35754 -3.50362 -2.98086 -3.77366 0.598814 -1.08253 -2.67838 2.49151 -6.8643 -2.44221 1.52815 7.14144 -1.24679 7.32336 -1.58225 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 0	0	4	0
SITE: 2	4	5	1
SITE: 2	5	6	1
SITE: 2	6	7	1
SITE: 2	7	8	0
SITE: 2	8	9	0
SITE: 2	9	10	1
SITE: 2	10	11	1
SITE: 2	11	12	0
SITE: 2	3	13	1
SITE: 2	13	14	1
SITE: 2	14	15	1
SITE: 2	15	16	1
SITE: 2	16	17	1
SITE: 2	17	18	0
SITE: 2	18	19	0
SITE: 2	19	20	0
SITE: 2	20	21	1
SITE: 2	21	22	0
SITE: 2	22	23	0
SITE: 2	23	24	1
SITE: 2	24	25	0
SITE: 2	2	26	0
SITE: 12	26	27	1
SITE: 12	27	28	0
SITE: 12	28	29	0
SITE: 12	29	30	0
SITE: 12	30	31	1
SITE: 12	31	32	1
SITE: 12	32	33	0
SITE: 12	33	34	0
SITE: 12	34	35	1
SITE: 12	35	36	0
SITE: 12	36	37	1
SITE: 12	37	38	0
SITE: 12	38	39	0
SITE: 12	39	40	0
SITE: 12	40	41	0
SITE: 12	41	42	1
SITE: 12	42	43	0
SITE: 12	43	44	1
SITE: 12	44	45	0
SITE: 12	45	46	0
SITE: 12	46	47	0
SITE: 12	47	48	1
SITE: 12	48	49	0
SITE: 12	49	50	1
SITE: 12	50	51	0
SITE: 12	51	52	0
SITE: 12	52	53	1
SITE: 12	12	54	1
SITE: 25	54	55	1
SITE: 25	55	56	1
SITE: 25	56	57	0
SITE: 25	57	58	1
SITE: 25	58	59	1
SITE: 25	59	60	0
SITE: 25	60	61	0
SITE: 25	61	62	0
SITE: 25	62	63	0
SITE: 25	63	63	1
WARN: Unitary gate is identity
SITE: 25	25	25	1
WARN: Unitary gate is identity
SITE: 53	53	53	1
MPS Info: -6.50162 0.606936 0.112753 
Writing MPS done!
