HHHLHHLHLLLLHLLHHLHLLLHHHLLHHHHHHHHLHHLHHLLHHLLHHHHHLHLHHLLLHHHH
W_LIST: 2.51007 -6.24693 1.04516 -0.174329 -0.936783 -5.92399 0.418541 0.520341 3.01855 3.44435 5.81348 1.09779 -2.99603 -1.61176 4.10089 5.5837 -4.72017 2.49654 1.93719 -1.40759 6.74283 -1.16162 -7.68974 1.01537 -0.363988 5.0612 -2.29054 -6.57664 -4.56987 6.27501 -6.29423 -4.07489 -0.892589 -3.77659 0.743015 -1.13431 1.3442 -2.86751 -7.54279 -3.11143 4.85484 5.01934 1.85654 -6.47415 4.42444 4.13256 0.210031 2.62191 7.92415 -0.412334 -6.49114 -7.46374 -4.13209 7.15113 -0.120571 7.21198 -4.16455 1.51722 2.34354 -5.16316 -4.64813 7.31249 -1.16397 -4.03522 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 0	0	4	0
SITE: 2	4	5	1
SITE: 2	5	6	1
SITE: 2	2	7	0
SITE: 3	7	8	0
SITE: 3	8	9	1
SITE: 3	9	10	1
SITE: 3	10	11	1
SITE: 3	11	12	1
SITE: 3	12	13	1
SITE: 3	13	14	0
SITE: 3	14	15	1
SITE: 3	15	16	0
SITE: 3	16	17	1
SITE: 3	17	18	1
SITE: 3	18	19	0
SITE: 3	19	20	0
SITE: 3	20	21	1
SITE: 3	21	22	0
SITE: 3	22	23	1
SITE: 3	23	24	0
SITE: 3	3	25	0
SITE: 6	25	26	1
SITE: 6	26	27	0
SITE: 6	27	28	1
SITE: 6	28	29	1
SITE: 6	29	30	0
SITE: 6	30	31	1
SITE: 6	31	32	1
SITE: 6	32	33	1
SITE: 6	33	34	1
SITE: 6	24	35	1
SITE: 6	35	36	0
SITE: 6	36	37	0
SITE: 6	37	38	1
SITE: 6	38	39	0
SITE: 6	39	40	1
SITE: 6	40	41	0
SITE: 6	41	42	1
SITE: 6	42	43	1
SITE: 6	43	44	1
SITE: 6	44	45	0
SITE: 6	45	46	1
SITE: 6	34	47	0
SITE: 6	47	48	0
SITE: 6	48	49	0
SITE: 6	46	50	1
SITE: 6	50	51	1
SITE: 6	51	52	1
SITE: 6	52	53	0
SITE: 6	53	54	0
SITE: 6	49	55	1
SITE: 6	55	56	0
SITE: 6	56	57	1
SITE: 6	57	58	1
SITE: 6	58	59	1
SITE: 6	59	60	0
SITE: 6	60	61	1
SITE: 6	61	62	0
SITE: 6	63	63	1
SITE: 6	62	62	1
WARN: Unitary gate is identity
SITE: 54	54	54	1
WARN: Unitary gate is identity
SITE: 6	6	6	0
MPS Info: 40.1848 0.807313 7.63687e-05 
Writing MPS done!
