HHHHHLLHHHHHHLLHHHHLLLLLHLLHHHLLHLHLHHLLLLHLHHLLHLLHHLLLHHHHLHLH
W_LIST: 3.43467 2.59627 3.84736 5.21735 2.30994 -3.1235 4.91112 4.2807 -3.71461 -0.612736 0.360584 1.66891 4.44818 -1.4973 5.31104 -7.30694 0.650674 -5.39903 -6.07887 -4.67679 6.76444 4.73583 0.188708 -5.87316 3.64019 -2.01535 -0.62902 -0.0789369 -4.76086 0.582681 -2.18544 1.88125 -2.83318 -2.65592 -5.0033 2.48946 -6.89432 -4.2392 -5.9053 3.84641 3.40897 7.56114 -5.5842 4.51179 3.38353 -4.59984 4.53593 1.17789 2.55505 5.7452 -6.98907 5.12244 6.47483 -5.09015 0.0397545 3.52704 5.39278 5.58081 -7.5255 4.38829 1.38694 -1.92763 0.0881417 0.889284 
st	op	ed	phy
SITE: 0	2	3	0
SITE: 0	3	4	0
SITE: 0	0	5	0
SITE: 1	5	6	0
SITE: 1	6	7	1
SITE: 1	7	8	0
SITE: 1	8	9	1
SITE: 1	4	10	0
SITE: 1	1	11	0
SITE: 9	11	12	0
SITE: 9	12	13	0
SITE: 9	9	14	1
SITE: 10	14	15	1
SITE: 10	15	16	1
SITE: 10	13	17	0
SITE: 10	17	18	1
SITE: 10	18	19	1
SITE: 10	19	20	0
SITE: 10	20	21	1
SITE: 10	21	22	1
SITE: 10	10	23	0
SITE: 16	23	24	0
SITE: 16	24	25	0
SITE: 16	25	26	0
SITE: 16	26	27	1
SITE: 16	27	28	1
SITE: 16	28	29	1
SITE: 16	29	30	0
SITE: 16	30	31	0
SITE: 16	31	32	1
SITE: 16	32	33	1
SITE: 16	33	34	0
SITE: 16	34	35	1
SITE: 16	35	36	1
SITE: 16	36	37	1
SITE: 16	37	38	1
SITE: 16	38	39	0
SITE: 16	39	40	1
SITE: 16	40	41	1
SITE: 16	41	42	1
SITE: 16	42	43	1
SITE: 16	43	44	1
SITE: 16	44	45	0
SITE: 16	45	46	1
SITE: 16	46	47	1
SITE: 16	47	48	1
SITE: 16	48	49	0
SITE: 16	49	50	1
SITE: 16	50	51	0
SITE: 16	51	52	0
SITE: 16	52	53	0
SITE: 16	53	54	0
SITE: 16	54	55	1
SITE: 16	55	56	1
SITE: 16	56	57	0
SITE: 16	57	58	0
SITE: 16	58	59	1
SITE: 16	59	60	0
SITE: 16	60	61	1
SITE: 16	61	62	1
SITE: 16	63	63	0
SITE: 16	22	62	1
WARN: Unitary gate is identity
SITE: 16	16	16	1
WARN: Unitary gate is identity
SITE: 62	62	62	0
MPS Info: 18.2092 0.494096 0.0129228 
Writing MPS done!
