LLHHLLLLLLHLLHHLLLHLHHHLLLHLLLHHLHLHHLLLLHHHLHHHHLHLHLLLHLHHLHLH
W_LIST: -2.25384 0.704275 2.85284 2.69655 -5.57327 3.87774 0.142555 5.68158 -4.54749 5.24456 2.72834 3.09669 7.0587 -1.21115 0.336427 -7.53354 -1.92221 -1.13795 5.88096 -4.84977 -1.18152 -4.52054 -4.11517 -7.09447 5.65062 4.29327 3.52478 0.165329 -5.23833 2.35185 -7.91348 0.771627 -7.68466 0.145749 4.63092 3.54887 4.50937 -7.6684 -1.81157 5.24099 -0.205719 5.91563 -0.18604 -0.0233545 0.78125 5.56916 -0.649337 -2.43214 5.13231 5.13904 7.76613 -3.41209 0.992152 4.30665 -7.55943 2.31469 -2.71392 7.73978 7.8019 4.26692 0.474612 6.97207 3.21842 5.20054 
st	op	ed	phy
SITE: 0	2	3	0
SITE: 0	3	4	0
SITE: 0	4	5	0
SITE: 0	5	6	1
SITE: 0	0	7	0
SITE: 1	7	8	1
SITE: 1	8	9	0
SITE: 1	9	10	1
SITE: 1	10	11	0
SITE: 1	11	12	1
SITE: 1	12	13	1
SITE: 1	13	14	1
SITE: 1	1	15	1
SITE: 6	15	16	0
SITE: 6	16	17	0
SITE: 6	6	18	0
SITE: 14	18	19	0
SITE: 14	19	20	0
SITE: 14	20	21	1
SITE: 14	21	22	1
SITE: 14	22	23	1
SITE: 14	23	24	0
SITE: 14	24	25	1
SITE: 14	25	26	1
SITE: 14	26	27	0
SITE: 14	14	28	0
SITE: 17	28	29	0
SITE: 17	29	30	1
SITE: 17	30	31	1
SITE: 17	27	32	1
SITE: 17	32	33	0
SITE: 17	31	34	0
SITE: 17	34	35	1
SITE: 17	35	36	0
SITE: 17	36	37	0
SITE: 17	37	38	0
SITE: 17	38	39	0
SITE: 17	39	40	1
SITE: 17	40	41	0
SITE: 17	41	42	0
SITE: 17	42	43	0
SITE: 17	33	44	0
SITE: 17	44	45	1
SITE: 17	45	46	0
SITE: 17	43	47	1
SITE: 17	47	48	1
SITE: 17	48	49	0
SITE: 17	49	50	1
SITE: 17	50	51	0
SITE: 17	51	52	0
SITE: 17	52	53	0
SITE: 17	53	54	1
SITE: 17	54	55	0
SITE: 17	55	56	1
SITE: 17	56	57	1
SITE: 17	57	58	1
SITE: 17	58	59	0
SITE: 17	59	60	0
SITE: 17	60	61	1
SITE: 17	61	62	0
SITE: 17	63	63	0
WARN: Unitary gate is identity
SITE: 62	62	62	1
WARN: Unitary gate is identity
SITE: 46	46	46	1
WARN: Unitary gate is identity
SITE: 17	17	17	1
MPS Info: -22.2863 0.677397 4.99432e-05 
Writing MPS done!
