LLLLLHLHHLHLLHLLLHLLHLHHLHLLLHHLHHHLHHHHLLHLLHHLLLLHHHHLLHHLHHHH
W_LIST: -0.138117 -4.4367 -8.07757 2.04903 -7.0583 -6.89591 -3.65184 -3.0642 0.506038 2.36339 5.08705 -6.15379 8.32001 -3.29407 -2.04288 -6.94571 -2.79553 5.95751 -2.1128 -4.28835 -1.69395 3.39491 6.42162 0.262575 -7.2135 -1.75326 -6.07277 -1.4628 -2.67016 8.70393 -6.2384 8.35806 6.10224 -0.747315 -5.82119 -3.15859 0.0981432 -3.47981 6.32934 -3.51736 6.1677 -0.237733 -0.646878 -5.41406 0.444289 -8.37545 -1.72998 3.63154 6.37734 -8.12698 -0.860679 -0.230491 2.12427 -4.58341 6.79014 -7.21262 -2.33299 -5.86578 -4.68279 5.61957 6.69212 1.77061 0.491339 -5.2504 
st	op	ed	phy
SITE: 0	2	3	0
SITE: 0	1	4	0
SITE: 0	4	5	0
SITE: 0	5	6	1
SITE: 0	6	7	0
SITE: 0	3	8	1
SITE: 0	7	9	1
SITE: 0	9	10	1
SITE: 0	10	11	0
SITE: 0	11	12	0
SITE: 0	12	13	1
SITE: 0	13	14	1
SITE: 0	14	15	0
SITE: 0	15	16	0
SITE: 0	16	17	0
SITE: 0	17	18	0
SITE: 0	18	19	0
SITE: 0	19	20	0
SITE: 0	20	21	1
SITE: 0	21	22	1
SITE: 0	22	23	0
SITE: 0	23	24	0
SITE: 0	24	25	0
SITE: 0	25	26	1
SITE: 0	26	27	0
SITE: 0	27	28	0
SITE: 0	28	29	0
SITE: 0	29	30	0
SITE: 0	30	31	1
SITE: 0	31	32	1
SITE: 0	32	33	0
SITE: 0	0	34	1
SITE: 8	34	35	1
SITE: 8	35	36	0
SITE: 8	33	37	1
SITE: 8	37	38	1
SITE: 8	38	39	0
SITE: 8	39	40	1
SITE: 8	40	41	1
SITE: 8	41	42	0
SITE: 8	42	43	0
SITE: 8	43	44	0
SITE: 8	44	45	1
SITE: 8	45	46	1
SITE: 8	46	47	1
SITE: 8	47	48	1
SITE: 8	48	49	1
SITE: 8	49	50	0
SITE: 8	50	51	0
SITE: 8	51	52	0
SITE: 8	52	53	0
SITE: 8	53	54	1
SITE: 8	54	55	0
SITE: 8	55	56	0
SITE: 8	56	57	0
SITE: 8	57	58	1
SITE: 8	58	59	1
SITE: 8	59	60	1
SITE: 8	60	61	0
SITE: 8	61	62	0
SITE: 8	63	63	1
WARN: Unitary gate is identity
SITE: 62	62	62	0
WARN: Unitary gate is identity
SITE: 8	8	8	1
WARN: Unitary gate is identity
SITE: 36	36	36	0
MPS Info: -6.7445 0.360691 0.240877 
Writing MPS done!
