HHHHHHLHHLLHLLLHLLLLHLLLHHHLLLHLLHHLLHLLHHLLLLHLHLHLHLHHHLHLHLHH
W_LIST: 0.584937 -5.36189 -5.33315 3.23053 4.68775 -4.18587 -2.67718 1.08298 8.15968 -7.79253 2.66584 5.4113 -2.93476 -0.976233 4.46275 2.01887 -2.03588 8.07227 -2.43814 1.51048 -1.25627 -3.18171 3.96019 4.76995 1.87104 -1.05343 -8.42699 4.11575 -6.53772 1.43422 4.96448 2.97008 2.80526 3.94622 3.81598 -1.7773 -4.73198 4.74362 3.48851 -6.62119 -5.11126 -2.76636 -7.32178 1.05128 -2.63417 -5.20655 -4.13061 -7.60969 5.65316 8.5631 7.05641 2.63977 0.914552 -0.469336 -7.96326 8.16735 -6.79719 4.42186 -6.53088 1.03643 2.9023 -5.34182 7.8466 4.47081 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 0	2	4	1
SITE: 0	4	5	0
SITE: 0	5	6	1
SITE: 0	3	7	0
SITE: 0	6	8	0
SITE: 0	8	9	0
SITE: 0	9	10	0
SITE: 0	10	11	1
SITE: 0	11	12	0
SITE: 0	12	13	0
SITE: 0	7	14	0
SITE: 0	14	15	1
SITE: 0	15	16	0
SITE: 0	16	17	0
SITE: 0	17	18	1
SITE: 0	18	19	0
SITE: 0	19	20	1
SITE: 0	20	21	1
SITE: 0	21	22	0
SITE: 0	22	23	1
SITE: 0	23	24	1
SITE: 0	24	25	0
SITE: 0	13	26	0
SITE: 0	26	27	1
SITE: 0	27	28	1
SITE: 0	28	29	0
SITE: 0	29	30	1
SITE: 0	30	31	0
SITE: 0	31	32	1
SITE: 0	32	33	1
SITE: 0	33	34	0
SITE: 0	34	35	0
SITE: 0	35	36	0
SITE: 0	36	37	0
SITE: 0	37	38	0
SITE: 0	38	39	1
SITE: 0	39	40	0
SITE: 0	40	41	1
SITE: 0	41	42	1
SITE: 0	42	43	0
SITE: 0	43	44	1
SITE: 0	44	45	0
SITE: 0	45	46	0
SITE: 0	46	47	1
SITE: 0	47	48	0
SITE: 0	48	49	0
SITE: 0	49	50	1
SITE: 0	50	51	0
SITE: 0	51	52	1
SITE: 0	25	53	1
SITE: 0	53	54	0
SITE: 0	54	55	1
SITE: 0	55	56	0
SITE: 0	56	57	1
SITE: 0	57	58	1
SITE: 0	58	59	1
SITE: 0	52	60	0
SITE: 0	60	61	0
SITE: 0	61	62	0
SITE: 0	62	63	0
SITE: 0	63	63	0
WARN: Unitary gate is identity
SITE: 59	59	59	1
WARN: Unitary gate is identity
SITE: 0	0	0	0
MPS Info: 3.57127 0.599245 0.0757123 
Writing MPS done!
