LHHLLHHHHHLHHLLLHHHLHLHHLLHLLLLLHHHHHHHLLHLLLLLHLHLLHLHLLLLLLHLL
W_LIST: -7.89498 8.61241 5.24308 6.26335 6.51402 -2.61059 -0.15011 -5.80182 4.37228 7.92537 -0.401411 5.73255 1.25261 -0.911849 -3.85654 -5.23212 0.985226 -5.36899 -6.94718 8.67156 7.75589 -8.8644 -0.608178 0.89516 -4.87661 3.96601 -7.49239 7.77071 -6.64515 -1.76772 7.27567 6.32042 1.71368 4.5766 -8.41632 -8.73893 8.63385 3.97204 4.4096 -2.7074 -5.92456 7.6634 -2.50719 7.23088 -3.21968 7.88148 -1.69729 -8.42195 2.63304 -5.97329 6.77633 0.719501 6.88095 1.64494 1.12692 -2.90543 -1.42119 -2.29238 -3.08222 -2.59088 6.29703 7.46061 8.55091 -1.75915 
st	op	ed	phy
SITE: 0	1	3	0
SITE: 0	0	4	0
SITE: 2	3	5	1
SITE: 2	4	6	1
SITE: 2	2	7	0
SITE: 5	7	8	1
SITE: 5	8	9	0
SITE: 5	9	10	0
SITE: 5	5	11	1
SITE: 6	11	12	0
SITE: 6	12	13	0
SITE: 6	6	14	1
SITE: 10	14	15	0
SITE: 10	15	16	0
SITE: 10	16	17	0
SITE: 10	17	18	1
SITE: 10	18	19	1
SITE: 10	19	20	1
SITE: 10	20	21	0
SITE: 10	21	22	0
SITE: 10	10	23	1
SITE: 13	23	24	0
SITE: 13	24	25	0
SITE: 13	25	26	1
SITE: 13	26	27	1
SITE: 13	27	28	1
SITE: 13	28	29	0
SITE: 13	29	30	0
SITE: 13	30	31	1
SITE: 13	31	32	1
SITE: 13	32	33	0
SITE: 13	33	34	0
SITE: 13	34	35	1
SITE: 13	35	36	1
SITE: 13	36	37	0
SITE: 13	37	38	0
SITE: 13	38	39	0
SITE: 13	39	40	0
SITE: 13	40	41	0
SITE: 13	41	42	0
SITE: 13	42	43	0
SITE: 13	43	44	1
SITE: 13	44	45	0
SITE: 13	45	46	1
SITE: 13	46	47	0
SITE: 13	47	48	1
SITE: 13	48	49	1
SITE: 13	49	50	1
SITE: 13	50	51	1
SITE: 13	22	52	0
SITE: 13	52	53	0
SITE: 13	53	54	1
SITE: 13	51	55	1
SITE: 13	55	56	0
SITE: 13	54	57	0
SITE: 13	57	58	0
SITE: 13	58	59	0
SITE: 13	59	60	0
SITE: 13	60	61	1
SITE: 13	61	62	0
SITE: 13	62	63	1
SITE: 13	63	63	0
WARN: Unitary gate is identity
SITE: 56	56	56	0
WARN: Unitary gate is identity
SITE: 13	13	13	1
MPS Info: -2.23285 0.509877 0.0723841 
Writing MPS done!
