HHHLHHHHLHLHLLLLHHLLLLLHLHLLLLLLHHLLHLHLLHLHHLHHLLHLHLLHHLHHHHHL
W_LIST: 0.31168 -0.145718 -0.0164916 0.0534703 -0.144148 0.0274661 0.178231 -0.188386 -0.121762 0.27285 0.230914 0.222334 0.181404 -0.163276 0.135824 -0.0890264 -0.11643 -0.150328 0.258495 -0.263552 -0.0701354 -0.0849488 -0.0494146 -0.0730075 0.228955 -0.0771164 -0.179508 0.174091 -0.0270008 -0.207578 0.225873 0.075242 0.284193 0.21655 -0.060125 -0.141138 -0.237849 -0.278356 0.284157 -0.0720664 0.10293 -0.292359 0.0986543 -0.317047 -0.257271 0.294804 0.310579 0.00924593 0.247112 0.0560259 0.153295 -0.0610728 0.100068 -0.243483 0.189451 -0.216429 0.326301 0.256315 0.192179 -0.0399247 -0.0151421 0.195317 0.213169 -0.0407368 
st	op	ed	phy
SITE: 9	10	12	1
SITE: 45	46	48	0
SITE: 43	45	47	1
SITE: 41	42	44	1
SITE: 41	44	47	1
SITE: 41	43	48	1
SITE: 11	13	14	0
SITE: 11	14	15	1
SITE: 11	15	16	0
SITE: 30	32	33	0
SITE: 31	33	35	0
SITE: 56	57	59	1
SITE: 58	60	61	1
SITE: 54	55	58	1
SITE: 58	61	62	1
SITE: 58	59	63	1
SITE: 53	54	58	1
SITE: 52	53	58	0
SITE: 51	52	58	0
SITE: 50	56	58	0
SITE: 49	50	58	0
SITE: 51	58	63	1
SITE: 11	16	17	0
SITE: 11	12	18	1
SITE: 11	18	19	1
SITE: 11	19	20	0
SITE: 11	17	21	1
SITE: 7	8	11	0
SITE: 6	7	11	0
SITE: 5	6	11	0
SITE: 9	11	21	1
SITE: 34	35	37	0
SITE: 31	34	37	1
SITE: 37	38	40	0
SITE: 0	0	3	0
SITE: 1	3	4	0
SITE: 1	2	5	0
SITE: 24	26	27	0
SITE: 22	23	25	1
SITE: 22	25	27	0
SITE: 39	40	47	0
SITE: 39	47	48	0
SITE: 31	36	39	0
SITE: 30	31	39	1
SITE: 30	39	41	1
SITE: 28	30	37	0
SITE: 27	28	37	1
SITE: 29	37	48	1
SITE: 22	27	29	1
SITE: 21	22	29	0
SITE: 20	24	29	0
SITE: 9	20	29	1
SITE: 29	48	49	1
SITE: 5	9	29	0
SITE: 4	5	29	0
SITE: 1	1	29	0
SITE: 4	29	41	0
SITE: 49	62	63	0
SITE: 41	51	63	0
SITE: 4	4	49	0
SITE: 21	49	63	1
SITE: 21	63	63	0
SITE: 21	21	41	0
SITE: 41	41	41	1
MPS Info: 0.476237 2.92976 0.870619 
Writing MPS done!
