HHHLLHLHHLLHLHHLLLLLLLHHLLHHHLHLLLHLLLLHLHLHLLLHHLLHLLHHLLHLHLLH
W_LIST: -0.119483 0.0629747 0.0170512 0.0679109 -0.000585518 0.0605888 -0.0298569 0.082302 0.191782 -0.0712783 0.201321 -0.296314 0.043846 -0.134947 -0.224662 0.0205406 -0.107145 -0.124481 0.254519 0.247323 -0.064786 0.0546703 -0.0794987 0.202083 -0.100012 0.151437 0.231719 -0.197727 -0.0742709 -0.29643 -0.0772033 0.229389 -0.196103 -0.166084 -0.162337 0.0957439 -0.296884 0.0421527 0.0294362 0.329998 -0.254924 -0.323264 0.237072 -0.238026 0.145103 0.113535 0.0612381 0.311853 0.238261 0.260016 0.0300595 -0.245992 0.0852826 0.0267999 0.229132 0.191549 0.0517384 -0.0579475 -0.270409 -0.315941 0.158538 -0.111613 -0.136933 -0.141922 
st	op	ed	phy
SITE: 46	47	49	0
SITE: 44	46	48	1
SITE: 44	48	49	0
SITE: 40	42	43	1
SITE: 41	43	45	1
SITE: 41	45	49	0
SITE: 40	41	49	1
SITE: 44	49	51	1
SITE: 27	29	30	0
SITE: 25	27	28	1
SITE: 25	28	30	0
SITE: 26	30	32	0
SITE: 31	32	34	0
SITE: 26	31	34	1
SITE: 11	13	14	1
SITE: 9	10	12	1
SITE: 9	12	14	0
SITE: 8	9	14	0
SITE: 7	8	14	0
SITE: 11	14	16	1
SITE: 5	7	11	0
SITE: 4	6	11	1
SITE: 3	5	11	1
SITE: 4	11	16	0
SITE: 56	58	59	1
SITE: 57	59	61	0
SITE: 54	56	57	1
SITE: 54	57	60	0
SITE: 44	51	52	1
SITE: 38	40	44	0
SITE: 37	39	44	0
SITE: 18	19	21	1
SITE: 20	21	23	1
SITE: 20	22	24	1
SITE: 16	17	20	0
SITE: 15	18	20	1
SITE: 4	15	20	1
SITE: 4	20	23	0
SITE: 60	61	63	0
SITE: 53	54	60	0
SITE: 55	60	63	0
SITE: 1	3	4	1
SITE: 0	2	4	1
SITE: 1	4	23	0
SITE: 36	38	44	1
SITE: 35	36	44	0
SITE: 26	33	35	1
SITE: 25	34	35	1
SITE: 26	35	44	1
SITE: 25	26	44	0
SITE: 44	52	53	0
SITE: 25	44	50	1
SITE: 1	16	24	0
SITE: 1	23	25	0
SITE: 50	55	62	1
SITE: 50	62	63	1
SITE: 37	50	63	1
SITE: 25	37	63	0
SITE: 24	25	63	0
SITE: 1	24	63	1
SITE: 0	63	63	1
SITE: 0	1	53	1
SITE: 0	0	53	1
SITE: 53	53	53	1
MPS Info: -2.12061 2.9698 0.814402 
Writing MPS done!
