HHHHHLHHLHLHLHHLLHHLHHLLHHHLLHLHHLHHLHHLHHLHLHHHHHLHHLLHLHHLLHLH
W_LIST: -0.0813434 -0.232243 0.132642 0.290318 0.133342 0.176109 0.155462 0.237417 -0.0859601 -0.238633 -0.0236107 -0.272756 -0.30908 -0.130225 -0.174743 0.148802 0.114402 0.209826 -0.0761439 0.112469 -0.0638945 0.29794 0.245487 -0.082069 0.0651605 -0.140471 0.300256 0.0703033 -0.0821492 0.128761 0.092284 -0.18492 -0.276152 -0.119857 0.260627 0.245224 0.0232769 -0.0144292 0.0969827 -0.0429913 -0.314567 -0.218415 -0.0698582 0.215144 0.102166 -0.246677 0.239681 0.252288 0.0167861 -0.145986 0.00952028 0.273188 -0.137182 0.181847 0.235745 0.0395449 -0.214022 0.109675 -0.0175065 0.0780564 -0.252515 0.167232 -0.0852835 0.0612138 
st	op	ed	phy
SITE: 11	12	14	0
SITE: 13	14	16	1
SITE: 3	5	6	1
SITE: 1	3	4	0
SITE: 39	40	42	1
SITE: 37	39	41	0
SITE: 37	41	42	1
SITE: 51	52	54	1
SITE: 19	21	22	0
SITE: 20	22	24	1
SITE: 6	7	9	0
SITE: 4	6	9	1
SITE: 17	18	20	1
SITE: 30	32	33	1
SITE: 31	33	35	0
SITE: 30	31	35	1
SITE: 20	23	25	0
SITE: 20	24	26	0
SITE: 19	20	26	0
SITE: 26	27	29	0
SITE: 19	26	28	0
SITE: 53	54	56	1
SITE: 53	56	57	0
SITE: 53	57	58	0
SITE: 53	55	59	0
SITE: 44	45	47	1
SITE: 46	47	49	0
SITE: 8	9	11	1
SITE: 59	60	62	0
SITE: 53	59	61	1
SITE: 53	61	62	0
SITE: 28	29	34	1
SITE: 34	35	37	1
SITE: 49	51	53	1
SITE: 48	49	53	1
SITE: 48	53	58	0
SITE: 11	15	16	0
SITE: 10	11	16	0
SITE: 13	16	19	1
SITE: 36	37	42	1
SITE: 0	2	4	0
SITE: 42	44	46	0
SITE: 42	46	48	0
SITE: 38	42	48	0
SITE: 43	48	58	0
SITE: 38	43	58	0
SITE: 0	4	8	0
SITE: 0	0	10	1
SITE: 10	13	19	1
SITE: 8	10	19	1
SITE: 8	19	25	1
SITE: 50	58	63	1
SITE: 30	36	38	0
SITE: 38	50	63	0
SITE: 34	38	63	0
SITE: 30	34	63	1
SITE: 28	30	63	0
SITE: 25	28	63	1
SITE: 17	25	63	0
SITE: 8	17	63	0
SITE: 1	8	63	0
SITE: 1	63	63	0
SITE: 1	62	62	1
SITE: 1	1	1	1
MPS Info: 5.47709 3.24568 1.30111 
Writing MPS done!
