LHLHLLLLHLLLHLHLLHHLHLLLHLHHLHLLLHHLLHLHHLLLHLHLHLLHLHLHLLHLHLHL
W_LIST: -0.321808 -0.179641 0.0841368 0.096792 0.28654 0.126834 0.213968 -0.0363225 0.158872 -0.0995341 0.142136 -0.0136124 -0.23127 -0.0782888 -0.285636 0.239675 -0.0885757 -0.0727874 0.246566 -0.0509277 -0.0540872 -0.326092 -0.139667 0.092263 -0.0979451 -0.051456 -0.265829 -0.281362 -0.168811 0.185866 -0.0233553 -0.122317 0.163304 -0.271353 0.293238 -0.0904913 0.245046 0.0231698 0.179994 -0.185873 -0.310632 0.274925 -0.146092 -0.0799842 0.289852 -0.249003 0.222556 0.257067 0.220559 0.00799546 -0.216412 0.0441701 0.0557117 -0.0926337 0.308493 -0.312496 0.162613 -0.0264719 0.124416 -0.207973 -0.154102 -0.0654723 -0.177138 0.315708 
st	op	ed	phy
SITE: 25	27	28	1
SITE: 26	28	30	0
SITE: 25	26	30	1
SITE: 3	4	6	1
SITE: 1	3	5	1
SITE: 46	47	49	1
SITE: 48	50	51	0
SITE: 48	51	52	0
SITE: 44	46	48	1
SITE: 21	23	24	1
SITE: 22	24	29	1
SITE: 19	20	22	1
SITE: 21	22	29	0
SITE: 11	12	14	1
SITE: 13	15	16	1
SITE: 13	16	17	0
SITE: 13	14	18	1
SITE: 9	11	13	0
SITE: 8	10	13	1
SITE: 7	9	13	0
SITE: 6	7	13	0
SITE: 5	6	13	1
SITE: 5	13	17	0
SITE: 52	54	55	1
SITE: 53	55	57	1
SITE: 48	52	53	1
SITE: 45	48	53	1
SITE: 44	45	53	0
SITE: 44	53	56	1
SITE: 41	42	44	0
SITE: 40	41	44	1
SITE: 39	43	44	1
SITE: 38	40	44	1
SITE: 59	60	62	1
SITE: 34	35	37	0
SITE: 32	34	36	0
SITE: 36	37	39	1
SITE: 0	2	5	0
SITE: 56	57	59	1
SITE: 56	59	61	0
SITE: 39	44	56	0
SITE: 56	61	62	0
SITE: 38	39	56	1
SITE: 56	62	63	0
SITE: 29	30	32	0
SITE: 29	32	33	1
SITE: 29	33	36	1
SITE: 19	21	29	1
SITE: 25	29	36	0
SITE: 36	49	56	0
SITE: 31	36	56	1
SITE: 25	31	56	0
SITE: 38	56	63	0
SITE: 1	8	17	0
SITE: 1	17	18	0
SITE: 0	1	18	0
SITE: 5	18	25	0
SITE: 0	5	25	0
SITE: 25	38	63	0
SITE: 19	25	63	0
SITE: 0	63	63	1
SITE: 0	0	58	1
SITE: 19	19	58	0
SITE: 58	58	58	0
MPS Info: -3.36124 3.60913 1.14685 
Writing MPS done!
